#Freq(Hz)	Mag(counts/strain)	Phase(rad)
0	0	0
0.015625	1.670979e+018	-0.00019406
0.03125	1.670979e+018	-0.00038813
0.046875	1.670979e+018	-0.00058219
0.0625	1.670979e+018	-0.00077626
0.078125	1.670978e+018	-0.00097032
0.09375	1.670978e+018	-0.0011644
0.10938	1.670978e+018	-0.0013585
0.125	1.670977e+018	-0.0015525
0.14063	1.670977e+018	-0.0017466
0.15625	1.670976e+018	-0.0019406
0.17188	1.670976e+018	-0.0021347
0.1875	1.670975e+018	-0.0023288
0.20313	1.670974e+018	-0.0025228
0.21875	1.670974e+018	-0.0027169
0.23438	1.670973e+018	-0.002911
0.25	1.670972e+018	-0.003105
0.26563	1.670971e+018	-0.0032991
0.28125	1.670970e+018	-0.0034931
0.29688	1.670969e+018	-0.0036872
0.3125	1.670968e+018	-0.0038813
0.32813	1.670967e+018	-0.0040753
0.34375	1.670966e+018	-0.0042694
0.35938	1.670965e+018	-0.0044635
0.375	1.670964e+018	-0.0046575
0.39063	1.670962e+018	-0.0048516
0.40625	1.670961e+018	-0.0050456
0.42188	1.670959e+018	-0.0052397
0.4375	1.670958e+018	-0.0054338
0.45313	1.670956e+018	-0.0056278
0.46875	1.670955e+018	-0.0058219
0.48438	1.670953e+018	-0.0060159
0.5	1.670952e+018	-0.00621
0.51563	1.670950e+018	-0.0064041
0.53125	1.670948e+018	-0.0065981
0.54688	1.670946e+018	-0.0067922
0.5625	1.670944e+018	-0.0069862
0.57813	1.670942e+018	-0.0071803
0.59375	1.670940e+018	-0.0073743
0.60938	1.670938e+018	-0.0075684
0.625	1.670936e+018	-0.0077625
0.64063	1.670934e+018	-0.0079565
0.65625	1.670932e+018	-0.0081506
0.67188	1.670929e+018	-0.0083446
0.6875	1.670927e+018	-0.0085387
0.70313	1.670925e+018	-0.0087327
0.71875	1.670922e+018	-0.0089268
0.73438	1.670920e+018	-0.0091208
0.75	1.670917e+018	-0.0093149
0.76563	1.670915e+018	-0.0095089
0.78125	1.670912e+018	-0.009703
0.79688	1.670909e+018	-0.009897
0.8125	1.670907e+018	-0.010091
0.82813	1.670904e+018	-0.010285
0.84375	1.670901e+018	-0.010479
0.85938	1.670898e+018	-0.010673
0.875	1.670895e+018	-0.010867
0.89063	1.670892e+018	-0.011061
0.90625	1.670889e+018	-0.011255
0.92188	1.670886e+018	-0.011449
0.9375	1.670883e+018	-0.011643
0.95313	1.670879e+018	-0.011837
0.96875	1.670876e+018	-0.012032
0.98438	1.670873e+018	-0.012226
1	1.670869e+018	-0.01242
1.0156	1.670866e+018	-0.012614
1.0313	1.670862e+018	-0.012808
1.0469	1.670859e+018	-0.013002
1.0625	1.670855e+018	-0.013196
1.0781	1.670852e+018	-0.01339
1.0938	1.670848e+018	-0.013584
1.1094	1.670844e+018	-0.013778
1.125	1.670840e+018	-0.013972
1.1406	1.670836e+018	-0.014166
1.1563	1.670832e+018	-0.01436
1.1719	1.670828e+018	-0.014554
1.1875	1.670824e+018	-0.014748
1.2031	1.670820e+018	-0.014942
1.2188	1.670816e+018	-0.015136
1.2344	1.670812e+018	-0.01533
1.25	1.670808e+018	-0.015524
1.2656	1.670803e+018	-0.015718
1.2813	1.670799e+018	-0.015912
1.2969	1.670795e+018	-0.016106
1.3125	1.670790e+018	-0.0163
1.3281	1.670786e+018	-0.016494
1.3438	1.670781e+018	-0.016688
1.3594	1.670776e+018	-0.016882
1.375	1.670772e+018	-0.017076
1.3906	1.670767e+018	-0.01727
1.4063	1.670762e+018	-0.017464
1.4219	1.670757e+018	-0.017658
1.4375	1.670753e+018	-0.017852
1.4531	1.670748e+018	-0.018046
1.4688	1.670743e+018	-0.01824
1.4844	1.670737e+018	-0.018434
1.5	1.670732e+018	-0.018628
1.5156	1.670727e+018	-0.018823
1.5313	1.670722e+018	-0.019017
1.5469	1.670717e+018	-0.019211
1.5625	1.670711e+018	-0.019405
1.5781	1.670706e+018	-0.019599
1.5938	1.670701e+018	-0.019793
1.6094	1.670695e+018	-0.019987
1.625	1.670690e+018	-0.020181
1.6406	1.670684e+018	-0.020375
1.6563	1.670678e+018	-0.020569
1.6719	1.670673e+018	-0.020763
1.6875	1.670667e+018	-0.020957
1.7031	1.670661e+018	-0.021151
1.7188	1.670655e+018	-0.021345
1.7344	1.670649e+018	-0.021539
1.75	1.670643e+018	-0.021733
1.7656	1.670637e+018	-0.021927
1.7813	1.670631e+018	-0.022121
1.7969	1.670625e+018	-0.022315
1.8125	1.670619e+018	-0.022508
1.8281	1.670613e+018	-0.022702
1.8438	1.670606e+018	-0.022896
1.8594	1.670600e+018	-0.02309
1.875	1.670594e+018	-0.023284
1.8906	1.670587e+018	-0.023478
1.9063	1.670581e+018	-0.023672
1.9219	1.670574e+018	-0.023866
1.9375	1.670568e+018	-0.02406
1.9531	1.670561e+018	-0.024254
1.9688	1.670554e+018	-0.024448
1.9844	1.670547e+018	-0.024642
2	1.670541e+018	-0.024836
2.0156	1.670534e+018	-0.02503
2.0313	1.670527e+018	-0.025224
2.0469	1.670520e+018	-0.025418
2.0625	1.670513e+018	-0.025612
2.0781	1.670506e+018	-0.025806
2.0938	1.670499e+018	-0.026
2.1094	1.670491e+018	-0.026194
2.125	1.670484e+018	-0.026388
2.1406	1.670477e+018	-0.026582
2.1563	1.670470e+018	-0.026776
2.1719	1.670462e+018	-0.02697
2.1875	1.670455e+018	-0.027164
2.2031	1.670447e+018	-0.027358
2.2188	1.670440e+018	-0.027552
2.2344	1.670432e+018	-0.027746
2.25	1.670424e+018	-0.02794
2.2656	1.670417e+018	-0.028134
2.2813	1.670409e+018	-0.028327
2.2969	1.670401e+018	-0.028521
2.3125	1.670393e+018	-0.028715
2.3281	1.670385e+018	-0.028909
2.3438	1.670377e+018	-0.029103
2.3594	1.670369e+018	-0.029297
2.375	1.670361e+018	-0.029491
2.3906	1.670353e+018	-0.029685
2.4063	1.670345e+018	-0.029879
2.4219	1.670336e+018	-0.030073
2.4375	1.670328e+018	-0.030267
2.4531	1.670320e+018	-0.030461
2.4688	1.670311e+018	-0.030655
2.4844	1.670303e+018	-0.030849
2.5	1.670294e+018	-0.031042
2.5156	1.670286e+018	-0.031236
2.5313	1.670277e+018	-0.03143
2.5469	1.670268e+018	-0.031624
2.5625	1.670260e+018	-0.031818
2.5781	1.670251e+018	-0.032012
2.5938	1.670242e+018	-0.032206
2.6094	1.670233e+018	-0.0324
2.625	1.670224e+018	-0.032594
2.6406	1.670215e+018	-0.032788
2.6563	1.670206e+018	-0.032982
2.6719	1.670197e+018	-0.033175
2.6875	1.670188e+018	-0.033369
2.7031	1.670179e+018	-0.033563
2.7188	1.670169e+018	-0.033757
2.7344	1.670160e+018	-0.033951
2.75	1.670151e+018	-0.034145
2.7656	1.670141e+018	-0.034339
2.7813	1.670132e+018	-0.034533
2.7969	1.670122e+018	-0.034727
2.8125	1.670113e+018	-0.03492
2.8281	1.670103e+018	-0.035114
2.8438	1.670093e+018	-0.035308
2.8594	1.670083e+018	-0.035502
2.875	1.670074e+018	-0.035696
2.8906	1.670064e+018	-0.03589
2.9063	1.670054e+018	-0.036084
2.9219	1.670044e+018	-0.036278
2.9375	1.670034e+018	-0.036471
2.9531	1.670024e+018	-0.036665
2.9688	1.670014e+018	-0.036859
2.9844	1.670004e+018	-0.037053
3	1.669993e+018	-0.037247
3.0156	1.669983e+018	-0.037441
3.0313	1.669973e+018	-0.037635
3.0469	1.669962e+018	-0.037828
3.0625	1.669952e+018	-0.038022
3.0781	1.669941e+018	-0.038216
3.0938	1.669931e+018	-0.03841
3.1094	1.669920e+018	-0.038604
3.125	1.669909e+018	-0.038798
3.1406	1.669899e+018	-0.038991
3.1563	1.669888e+018	-0.039185
3.1719	1.669877e+018	-0.039379
3.1875	1.669866e+018	-0.039573
3.2031	1.669855e+018	-0.039767
3.2188	1.669844e+018	-0.039961
3.2344	1.669833e+018	-0.040154
3.25	1.669822e+018	-0.040348
3.2656	1.669811e+018	-0.040542
3.2813	1.669800e+018	-0.040736
3.2969	1.669789e+018	-0.04093
3.3125	1.669777e+018	-0.041123
3.3281	1.669766e+018	-0.041317
3.3438	1.669755e+018	-0.041511
3.3594	1.669743e+018	-0.041705
3.375	1.669732e+018	-0.041899
3.3906	1.669720e+018	-0.042092
3.4063	1.669709e+018	-0.042286
3.4219	1.669697e+018	-0.04248
3.4375	1.669685e+018	-0.042674
3.4531	1.669673e+018	-0.042868
3.4688	1.669662e+018	-0.043061
3.4844	1.669650e+018	-0.043255
3.5	1.669638e+018	-0.043449
3.5156	1.669626e+018	-0.043643
3.5313	1.669614e+018	-0.043837
3.5469	1.669602e+018	-0.04403
3.5625	1.669589e+018	-0.044224
3.5781	1.669577e+018	-0.044418
3.5938	1.669565e+018	-0.044612
3.6094	1.669553e+018	-0.044805
3.625	1.669540e+018	-0.044999
3.6406	1.669528e+018	-0.045193
3.6563	1.669515e+018	-0.045387
3.6719	1.669503e+018	-0.04558
3.6875	1.669490e+018	-0.045774
3.7031	1.669478e+018	-0.045968
3.7188	1.669465e+018	-0.046162
3.7344	1.669452e+018	-0.046355
3.75	1.669440e+018	-0.046549
3.7656	1.669427e+018	-0.046743
3.7813	1.669414e+018	-0.046937
3.7969	1.669401e+018	-0.04713
3.8125	1.669388e+018	-0.047324
3.8281	1.669375e+018	-0.047518
3.8438	1.669362e+018	-0.047711
3.8594	1.669349e+018	-0.047905
3.875	1.669335e+018	-0.048099
3.8906	1.669322e+018	-0.048293
3.9063	1.669309e+018	-0.048486
3.9219	1.669295e+018	-0.04868
3.9375	1.669282e+018	-0.048874
3.9531	1.669269e+018	-0.049067
3.9688	1.669255e+018	-0.049261
3.9844	1.669241e+018	-0.049455
4	1.669228e+018	-0.049648
4.0156	1.669214e+018	-0.049842
4.0313	1.669200e+018	-0.050036
4.0469	1.669187e+018	-0.05023
4.0625	1.669173e+018	-0.050423
4.0781	1.669159e+018	-0.050617
4.0938	1.669145e+018	-0.050811
4.1094	1.669131e+018	-0.051004
4.125	1.669117e+018	-0.051198
4.1406	1.669103e+018	-0.051392
4.1563	1.669089e+018	-0.051585
4.1719	1.669074e+018	-0.051779
4.1875	1.669060e+018	-0.051973
4.2031	1.669046e+018	-0.052166
4.2188	1.669031e+018	-0.05236
4.2344	1.669017e+018	-0.052553
4.25	1.669002e+018	-0.052747
4.2656	1.668988e+018	-0.052941
4.2813	1.668973e+018	-0.053134
4.2969	1.668959e+018	-0.053328
4.3125	1.668944e+018	-0.053522
4.3281	1.668929e+018	-0.053715
4.3438	1.668914e+018	-0.053909
4.3594	1.668900e+018	-0.054103
4.375	1.668885e+018	-0.054296
4.3906	1.668870e+018	-0.05449
4.4063	1.668855e+018	-0.054683
4.4219	1.668840e+018	-0.054877
4.4375	1.668825e+018	-0.055071
4.4531	1.668809e+018	-0.055264
4.4688	1.668794e+018	-0.055458
4.4844	1.668779e+018	-0.055651
4.5	1.668764e+018	-0.055845
4.5156	1.668748e+018	-0.056039
4.5313	1.668733e+018	-0.056232
4.5469	1.668717e+018	-0.056426
4.5625	1.668702e+018	-0.056619
4.5781	1.668686e+018	-0.056813
4.5938	1.668671e+018	-0.057006
4.6094	1.668655e+018	-0.0572
4.625	1.668639e+018	-0.057394
4.6406	1.668623e+018	-0.057587
4.6563	1.668607e+018	-0.057781
4.6719	1.668591e+018	-0.057974
4.6875	1.668576e+018	-0.058168
4.7031	1.668560e+018	-0.058361
4.7188	1.668543e+018	-0.058555
4.7344	1.668527e+018	-0.058748
4.75	1.668511e+018	-0.058942
4.7656	1.668495e+018	-0.059136
4.7813	1.668479e+018	-0.059329
4.7969	1.668462e+018	-0.059523
4.8125	1.668446e+018	-0.059716
4.8281	1.668429e+018	-0.05991
4.8438	1.668413e+018	-0.060103
4.8594	1.668396e+018	-0.060297
4.875	1.668380e+018	-0.06049
4.8906	1.668363e+018	-0.060684
4.9063	1.668347e+018	-0.060877
4.9219	1.668330e+018	-0.061071
4.9375	1.668313e+018	-0.061264
4.9531	1.668296e+018	-0.061458
4.9688	1.668279e+018	-0.061651
4.9844	1.668262e+018	-0.061845
5	1.668245e+018	-0.062038
5.0156	1.668228e+018	-0.062232
5.0313	1.668211e+018	-0.062425
5.0469	1.668194e+018	-0.062619
5.0625	1.668177e+018	-0.062812
5.0781	1.668159e+018	-0.063005
5.0938	1.668142e+018	-0.063199
5.1094	1.668125e+018	-0.063392
5.125	1.668107e+018	-0.063586
5.1406	1.668090e+018	-0.063779
5.1563	1.668072e+018	-0.063973
5.1719	1.668055e+018	-0.064166
5.1875	1.668037e+018	-0.06436
5.2031	1.668019e+018	-0.064553
5.2188	1.668001e+018	-0.064746
5.2344	1.667984e+018	-0.06494
5.25	1.667966e+018	-0.065133
5.2656	1.667948e+018	-0.065327
5.2813	1.667930e+018	-0.06552
5.2969	1.667912e+018	-0.065714
5.3125	1.667894e+018	-0.065907
5.3281	1.667876e+018	-0.0661
5.3438	1.667857e+018	-0.066294
5.3594	1.667839e+018	-0.066487
5.375	1.667821e+018	-0.066681
5.3906	1.667803e+018	-0.066874
5.4063	1.667784e+018	-0.067067
5.4219	1.667766e+018	-0.067261
5.4375	1.667747e+018	-0.067454
5.4531	1.667729e+018	-0.067647
5.4688	1.667710e+018	-0.067841
5.4844	1.667692e+018	-0.068034
5.5	1.667673e+018	-0.068228
5.5156	1.667654e+018	-0.068421
5.5313	1.667635e+018	-0.068614
5.5469	1.667616e+018	-0.068808
5.5625	1.667597e+018	-0.069001
5.5781	1.667579e+018	-0.069194
5.5938	1.667559e+018	-0.069388
5.6094	1.667540e+018	-0.069581
5.625	1.667521e+018	-0.069774
5.6406	1.667502e+018	-0.069968
5.6563	1.667483e+018	-0.070161
5.6719	1.667464e+018	-0.070354
5.6875	1.667444e+018	-0.070548
5.7031	1.667425e+018	-0.070741
5.7188	1.667405e+018	-0.070934
5.7344	1.667386e+018	-0.071127
5.75	1.667366e+018	-0.071321
5.7656	1.667347e+018	-0.071514
5.7813	1.667327e+018	-0.071707
5.7969	1.667307e+018	-0.071901
5.8125	1.667288e+018	-0.072094
5.8281	1.667268e+018	-0.072287
5.8438	1.667248e+018	-0.07248
5.8594	1.667228e+018	-0.072674
5.875	1.667208e+018	-0.072867
5.8906	1.667188e+018	-0.07306
5.9063	1.667168e+018	-0.073253
5.9219	1.667148e+018	-0.073447
5.9375	1.667128e+018	-0.07364
5.9531	1.667108e+018	-0.073833
5.9688	1.667087e+018	-0.074026
5.9844	1.667067e+018	-0.07422
6	1.667047e+018	-0.074413
6.0156	1.667026e+018	-0.074606
6.0313	1.667006e+018	-0.074799
6.0469	1.666985e+018	-0.074992
6.0625	1.666965e+018	-0.075186
6.0781	1.666944e+018	-0.075379
6.0938	1.666923e+018	-0.075572
6.1094	1.666902e+018	-0.075765
6.125	1.666882e+018	-0.075958
6.1406	1.666861e+018	-0.076152
6.1563	1.666840e+018	-0.076345
6.1719	1.666819e+018	-0.076538
6.1875	1.666798e+018	-0.076731
6.2031	1.666777e+018	-0.076924
6.2188	1.666756e+018	-0.077118
6.2344	1.666735e+018	-0.077311
6.25	1.666713e+018	-0.077504
6.2656	1.666692e+018	-0.077697
6.2813	1.666671e+018	-0.07789
6.2969	1.666649e+018	-0.078083
6.3125	1.666628e+018	-0.078276
6.3281	1.666606e+018	-0.07847
6.3438	1.666585e+018	-0.078663
6.3594	1.666563e+018	-0.078856
6.375	1.666542e+018	-0.079049
6.3906	1.666520e+018	-0.079242
6.4063	1.666498e+018	-0.079435
6.4219	1.666476e+018	-0.079628
6.4375	1.666455e+018	-0.079821
6.4531	1.666433e+018	-0.080014
6.4688	1.666411e+018	-0.080208
6.4844	1.666389e+018	-0.080401
6.5	1.666367e+018	-0.080594
6.5156	1.666345e+018	-0.080787
6.5313	1.666322e+018	-0.08098
6.5469	1.666300e+018	-0.081173
6.5625	1.666278e+018	-0.081366
6.5781	1.666256e+018	-0.081559
6.5938	1.666233e+018	-0.081752
6.6094	1.666211e+018	-0.081945
6.625	1.666188e+018	-0.082138
6.6406	1.666166e+018	-0.082331
6.6563	1.666143e+018	-0.082524
6.6719	1.666121e+018	-0.082717
6.6875	1.666098e+018	-0.08291
6.7031	1.666075e+018	-0.083103
6.7188	1.666052e+018	-0.083296
6.7344	1.666030e+018	-0.083489
6.75	1.666007e+018	-0.083682
6.7656	1.665984e+018	-0.083875
6.7813	1.665961e+018	-0.084068
6.7969	1.665938e+018	-0.084261
6.8125	1.665915e+018	-0.084454
6.8281	1.665891e+018	-0.084647
6.8438	1.665868e+018	-0.08484
6.8594	1.665845e+018	-0.085033
6.875	1.665822e+018	-0.085226
6.8906	1.665798e+018	-0.085419
6.9063	1.665775e+018	-0.085612
6.9219	1.665751e+018	-0.085805
6.9375	1.665728e+018	-0.085998
6.9531	1.665704e+018	-0.086191
6.9688	1.665681e+018	-0.086384
6.9844	1.665657e+018	-0.086577
7	1.665633e+018	-0.08677
7.0156	1.665610e+018	-0.086963
7.0313	1.665586e+018	-0.087156
7.0469	1.665562e+018	-0.087348
7.0625	1.665538e+018	-0.087541
7.0781	1.665514e+018	-0.087734
7.0938	1.665490e+018	-0.087927
7.1094	1.665466e+018	-0.08812
7.125	1.665442e+018	-0.088313
7.1406	1.665417e+018	-0.088506
7.1563	1.665393e+018	-0.088699
7.1719	1.665369e+018	-0.088892
7.1875	1.665345e+018	-0.089084
7.2031	1.665320e+018	-0.089277
7.2188	1.665296e+018	-0.08947
7.2344	1.665271e+018	-0.089663
7.25	1.665247e+018	-0.089856
7.2656	1.665222e+018	-0.090049
7.2813	1.665197e+018	-0.090241
7.2969	1.665173e+018	-0.090434
7.3125	1.665148e+018	-0.090627
7.3281	1.665123e+018	-0.09082
7.3438	1.665098e+018	-0.091013
7.3594	1.665073e+018	-0.091206
7.375	1.665048e+018	-0.091398
7.3906	1.665023e+018	-0.091591
7.4063	1.664998e+018	-0.091784
7.4219	1.664973e+018	-0.091977
7.4375	1.664948e+018	-0.092169
7.4531	1.664923e+018	-0.092362
7.4688	1.664897e+018	-0.092555
7.4844	1.664872e+018	-0.092748
7.5	1.664847e+018	-0.092941
7.5156	1.664821e+018	-0.093133
7.5313	1.664796e+018	-0.093326
7.5469	1.664770e+018	-0.093519
7.5625	1.664745e+018	-0.093711
7.5781	1.664719e+018	-0.093904
7.5938	1.664693e+018	-0.094097
7.6094	1.664668e+018	-0.09429
7.625	1.664642e+018	-0.094482
7.6406	1.664616e+018	-0.094675
7.6563	1.664590e+018	-0.094868
7.6719	1.664564e+018	-0.09506
7.6875	1.664538e+018	-0.095253
7.7031	1.664512e+018	-0.095446
7.7188	1.664486e+018	-0.095639
7.7344	1.664460e+018	-0.095831
7.75	1.664434e+018	-0.096024
7.7656	1.664407e+018	-0.096217
7.7813	1.664381e+018	-0.096409
7.7969	1.664355e+018	-0.096602
7.8125	1.664328e+018	-0.096794
7.8281	1.664302e+018	-0.096987
7.8438	1.664275e+018	-0.09718
7.8594	1.664249e+018	-0.097372
7.875	1.664222e+018	-0.097565
7.8906	1.664195e+018	-0.097758
7.9063	1.664169e+018	-0.09795
7.9219	1.664142e+018	-0.098143
7.9375	1.664115e+018	-0.098335
7.9531	1.664088e+018	-0.098528
7.9688	1.664061e+018	-0.098721
7.9844	1.664034e+018	-0.098913
8	1.664007e+018	-0.099106
8.0156	1.663980e+018	-0.099298
8.0313	1.663953e+018	-0.099491
8.0469	1.663926e+018	-0.099683
8.0625	1.663898e+018	-0.099876
8.0781	1.663871e+018	-0.10007
8.0938	1.663844e+018	-0.10026
8.1094	1.663816e+018	-0.10045
8.125	1.663789e+018	-0.10065
8.1406	1.663762e+018	-0.10084
8.1563	1.663734e+018	-0.10103
8.1719	1.663706e+018	-0.10122
8.1875	1.663679e+018	-0.10142
8.2031	1.663651e+018	-0.10161
8.2188	1.663623e+018	-0.1018
8.2344	1.663595e+018	-0.10199
8.25	1.663568e+018	-0.10219
8.2656	1.663540e+018	-0.10238
8.2813	1.663512e+018	-0.10257
8.2969	1.663484e+018	-0.10276
8.3125	1.663456e+018	-0.10296
8.3281	1.663427e+018	-0.10315
8.3438	1.663399e+018	-0.10334
8.3594	1.663371e+018	-0.10353
8.375	1.663343e+018	-0.10373
8.3906	1.663314e+018	-0.10392
8.4063	1.663286e+018	-0.10411
8.4219	1.663258e+018	-0.1043
8.4375	1.663229e+018	-0.1045
8.4531	1.663201e+018	-0.10469
8.4688	1.663172e+018	-0.10488
8.4844	1.663143e+018	-0.10507
8.5	1.663115e+018	-0.10527
8.5156	1.663086e+018	-0.10546
8.5313	1.663057e+018	-0.10565
8.5469	1.663028e+018	-0.10584
8.5625	1.663000e+018	-0.10603
8.5781	1.662971e+018	-0.10623
8.5938	1.662942e+018	-0.10642
8.6094	1.662913e+018	-0.10661
8.625	1.662883e+018	-0.1068
8.6406	1.662854e+018	-0.107
8.6563	1.662825e+018	-0.10719
8.6719	1.662796e+018	-0.10738
8.6875	1.662767e+018	-0.10757
8.7031	1.662737e+018	-0.10777
8.7188	1.662708e+018	-0.10796
8.7344	1.662678e+018	-0.10815
8.75	1.662649e+018	-0.10834
8.7656	1.662619e+018	-0.10853
8.7813	1.662590e+018	-0.10873
8.7969	1.662560e+018	-0.10892
8.8125	1.662530e+018	-0.10911
8.8281	1.662501e+018	-0.1093
8.8438	1.662471e+018	-0.1095
8.8594	1.662441e+018	-0.10969
8.875	1.662411e+018	-0.10988
8.8906	1.662381e+018	-0.11007
8.9063	1.662351e+018	-0.11026
8.9219	1.662321e+018	-0.11046
8.9375	1.662291e+018	-0.11065
8.9531	1.662261e+018	-0.11084
8.9688	1.662230e+018	-0.11103
8.9844	1.662200e+018	-0.11123
9	1.662170e+018	-0.11142
9.0156	1.662140e+018	-0.11161
9.0313	1.662109e+018	-0.1118
9.0469	1.662079e+018	-0.11199
9.0625	1.662048e+018	-0.11219
9.0781	1.662018e+018	-0.11238
9.0938	1.661987e+018	-0.11257
9.1094	1.661956e+018	-0.11276
9.125	1.661926e+018	-0.11296
9.1406	1.661895e+018	-0.11315
9.1563	1.661864e+018	-0.11334
9.1719	1.661833e+018	-0.11353
9.1875	1.661802e+018	-0.11372
9.2031	1.661771e+018	-0.11392
9.2188	1.661740e+018	-0.11411
9.2344	1.661709e+018	-0.1143
9.25	1.661678e+018	-0.11449
9.2656	1.661647e+018	-0.11468
9.2813	1.661615e+018	-0.11488
9.2969	1.661584e+018	-0.11507
9.3125	1.661553e+018	-0.11526
9.3281	1.661521e+018	-0.11545
9.3438	1.661490e+018	-0.11564
9.3594	1.661458e+018	-0.11584
9.375	1.661427e+018	-0.11603
9.3906	1.661395e+018	-0.11622
9.4063	1.661364e+018	-0.11641
9.4219	1.661332e+018	-0.1166
9.4375	1.661300e+018	-0.1168
9.4531	1.661268e+018	-0.11699
9.4688	1.661237e+018	-0.11718
9.4844	1.661205e+018	-0.11737
9.5	1.661173e+018	-0.11756
9.5156	1.661141e+018	-0.11776
9.5313	1.661109e+018	-0.11795
9.5469	1.661077e+018	-0.11814
9.5625	1.661044e+018	-0.11833
9.5781	1.661012e+018	-0.11852
9.5938	1.660980e+018	-0.11872
9.6094	1.660948e+018	-0.11891
9.625	1.660915e+018	-0.1191
9.6406	1.660883e+018	-0.11929
9.6563	1.660850e+018	-0.11948
9.6719	1.660818e+018	-0.11968
9.6875	1.660785e+018	-0.11987
9.7031	1.660753e+018	-0.12006
9.7188	1.660720e+018	-0.12025
9.7344	1.660687e+018	-0.12044
9.75	1.660655e+018	-0.12064
9.7656	1.660622e+018	-0.12083
9.7813	1.660589e+018	-0.12102
9.7969	1.660556e+018	-0.12121
9.8125	1.660523e+018	-0.1214
9.8281	1.660490e+018	-0.12159
9.8438	1.660457e+018	-0.12179
9.8594	1.660424e+018	-0.12198
9.875	1.660391e+018	-0.12217
9.8906	1.660358e+018	-0.12236
9.9063	1.660324e+018	-0.12255
9.9219	1.660291e+018	-0.12275
9.9375	1.660258e+018	-0.12294
9.9531	1.660224e+018	-0.12313
9.9688	1.660191e+018	-0.12332
9.9844	1.660157e+018	-0.12351
10	1.660124e+018	-0.1237
10.0156	1.660090e+018	-0.1239
10.0313	1.660056e+018	-0.12409
10.0469	1.660023e+018	-0.12428
10.0625	1.659989e+018	-0.12447
10.0781	1.659955e+018	-0.12466
10.0938	1.659921e+018	-0.12485
10.1094	1.659887e+018	-0.12505
10.125	1.659853e+018	-0.12524
10.1406	1.659819e+018	-0.12543
10.1563	1.659785e+018	-0.12562
10.1719	1.659751e+018	-0.12581
10.1875	1.659717e+018	-0.126
10.2031	1.659683e+018	-0.1262
10.2188	1.659648e+018	-0.12639
10.2344	1.659614e+018	-0.12658
10.25	1.659580e+018	-0.12677
10.2656	1.659545e+018	-0.12696
10.2813	1.659511e+018	-0.12715
10.2969	1.659476e+018	-0.12735
10.3125	1.659442e+018	-0.12754
10.3281	1.659407e+018	-0.12773
10.3438	1.659372e+018	-0.12792
10.3594	1.659338e+018	-0.12811
10.375	1.659303e+018	-0.1283
10.3906	1.659268e+018	-0.1285
10.4063	1.659233e+018	-0.12869
10.4219	1.659198e+018	-0.12888
10.4375	1.659163e+018	-0.12907
10.4531	1.659128e+018	-0.12926
10.4688	1.659093e+018	-0.12945
10.4844	1.659058e+018	-0.12964
10.5	1.659023e+018	-0.12984
10.5156	1.658988e+018	-0.13003
10.5313	1.658952e+018	-0.13022
10.5469	1.658917e+018	-0.13041
10.5625	1.658882e+018	-0.1306
10.5781	1.658846e+018	-0.13079
10.5938	1.658811e+018	-0.13099
10.6094	1.658775e+018	-0.13118
10.625	1.658740e+018	-0.13137
10.6406	1.658704e+018	-0.13156
10.6563	1.658668e+018	-0.13175
10.6719	1.658633e+018	-0.13194
10.6875	1.658597e+018	-0.13213
10.7031	1.658561e+018	-0.13233
10.7188	1.658525e+018	-0.13252
10.7344	1.658489e+018	-0.13271
10.75	1.658453e+018	-0.1329
10.7656	1.658417e+018	-0.13309
10.7813	1.658381e+018	-0.13328
10.7969	1.658345e+018	-0.13347
10.8125	1.658309e+018	-0.13367
10.8281	1.658273e+018	-0.13386
10.8438	1.658236e+018	-0.13405
10.8594	1.658200e+018	-0.13424
10.875	1.658164e+018	-0.13443
10.8906	1.658127e+018	-0.13462
10.9063	1.658091e+018	-0.13481
10.9219	1.658054e+018	-0.135
10.9375	1.658018e+018	-0.1352
10.9531	1.657981e+018	-0.13539
10.9688	1.657944e+018	-0.13558
10.9844	1.657908e+018	-0.13577
11	1.657871e+018	-0.13596
11.0156	1.657834e+018	-0.13615
11.0313	1.657797e+018	-0.13634
11.0469	1.657760e+018	-0.13653
11.0625	1.657723e+018	-0.13673
11.0781	1.657686e+018	-0.13692
11.0938	1.657649e+018	-0.13711
11.1094	1.657612e+018	-0.1373
11.125	1.657575e+018	-0.13749
11.1406	1.657538e+018	-0.13768
11.1563	1.657500e+018	-0.13787
11.1719	1.657463e+018	-0.13806
11.1875	1.657426e+018	-0.13826
11.2031	1.657388e+018	-0.13845
11.2188	1.657351e+018	-0.13864
11.2344	1.657313e+018	-0.13883
11.25	1.657276e+018	-0.13902
11.2656	1.657238e+018	-0.13921
11.2813	1.657200e+018	-0.1394
11.2969	1.657163e+018	-0.13959
11.3125	1.657125e+018	-0.13978
11.3281	1.657087e+018	-0.13998
11.3438	1.657049e+018	-0.14017
11.3594	1.657011e+018	-0.14036
11.375	1.656973e+018	-0.14055
11.3906	1.656935e+018	-0.14074
11.4063	1.656897e+018	-0.14093
11.4219	1.656859e+018	-0.14112
11.4375	1.656821e+018	-0.14131
11.4531	1.656783e+018	-0.1415
11.4688	1.656744e+018	-0.1417
11.4844	1.656706e+018	-0.14189
11.5	1.656668e+018	-0.14208
11.5156	1.656629e+018	-0.14227
11.5313	1.656591e+018	-0.14246
