#Freq(Hz)	Mag(strain/ct)	Phase(rad)
496.0469	1.5114e-018	1.6925
496.0625	1.5114e-018	1.6926
496.0781	1.5115e-018	1.6927
496.0938	1.5116e-018	1.6927
496.1094	1.5116e-018	1.6928
496.125	1.5117e-018	1.6929
496.1406	1.5117e-018	1.693
496.1563	1.5118e-018	1.6931
496.1719	1.5119e-018	1.6932
496.1875	1.5119e-018	1.6933
496.2031	1.512e-018	1.6933
496.2188	1.512e-018	1.6934
496.2344	1.5121e-018	1.6935
496.25	1.5122e-018	1.6936
496.2656	1.5122e-018	1.6937
496.2813	1.5123e-018	1.6938
496.2969	1.5123e-018	1.6939
496.3125	1.5124e-018	1.6939
496.3281	1.5125e-018	1.694
496.3438	1.5125e-018	1.6941
496.3594	1.5126e-018	1.6942
496.375	1.5126e-018	1.6943
496.3906	1.5127e-018	1.6944
496.4063	1.5128e-018	1.6945
496.4219	1.5128e-018	1.6945
496.4375	1.5129e-018	1.6946
496.4531	1.5129e-018	1.6947
496.4688	1.513e-018	1.6948
496.4844	1.5131e-018	1.6949
496.5	1.5131e-018	1.695
496.5156	1.5132e-018	1.6951
496.5313	1.5132e-018	1.6951
496.5469	1.5133e-018	1.6952
496.5625	1.5134e-018	1.6953
496.5781	1.5134e-018	1.6954
496.5938	1.5135e-018	1.6955
496.6094	1.5135e-018	1.6956
496.625	1.5136e-018	1.6957
496.6406	1.5137e-018	1.6957
496.6563	1.5137e-018	1.6958
496.6719	1.5138e-018	1.6959
496.6875	1.5138e-018	1.696
496.7031	1.5139e-018	1.6961
496.7188	1.514e-018	1.6962
496.7344	1.514e-018	1.6963
496.75	1.5141e-018	1.6963
496.7656	1.5142e-018	1.6964
496.7813	1.5142e-018	1.6965
496.7969	1.5143e-018	1.6966
496.8125	1.5143e-018	1.6967
496.8281	1.5144e-018	1.6968
496.8438	1.5145e-018	1.6969
496.8594	1.5145e-018	1.6969
496.875	1.5146e-018	1.697
496.8906	1.5146e-018	1.6971
496.9063	1.5147e-018	1.6972
496.9219	1.5148e-018	1.6973
496.9375	1.5148e-018	1.6974
496.9531	1.5149e-018	1.6975
496.9688	1.5149e-018	1.6975
496.9844	1.515e-018	1.6976
497	1.5151e-018	1.6977
497.0156	1.5151e-018	1.6978
497.0313	1.5152e-018	1.6979
497.0469	1.5152e-018	1.698
497.0625	1.5153e-018	1.6981
497.0781	1.5154e-018	1.6981
497.0938	1.5154e-018	1.6982
497.1094	1.5155e-018	1.6983
497.125	1.5155e-018	1.6984
497.1406	1.5156e-018	1.6985
497.1563	1.5157e-018	1.6986
497.1719	1.5157e-018	1.6986
497.1875	1.5158e-018	1.6987
497.2031	1.5159e-018	1.6988
497.2188	1.5159e-018	1.6989
497.2344	1.516e-018	1.699
497.25	1.516e-018	1.6991
497.2656	1.5161e-018	1.6992
497.2813	1.5162e-018	1.6992
497.2969	1.5162e-018	1.6993
497.3125	1.5163e-018	1.6994
497.3281	1.5163e-018	1.6995
497.3438	1.5164e-018	1.6996
497.3594	1.5165e-018	1.6997
497.375	1.5165e-018	1.6998
497.3906	1.5166e-018	1.6998
497.4063	1.5166e-018	1.6999
497.4219	1.5167e-018	1.7
497.4375	1.5168e-018	1.7001
497.4531	1.5168e-018	1.7002
497.4688	1.5169e-018	1.7003
497.4844	1.517e-018	1.7004
497.5	1.517e-018	1.7004
497.5156	1.5171e-018	1.7005
497.5313	1.5171e-018	1.7006
497.5469	1.5172e-018	1.7007
497.5625	1.5173e-018	1.7008
497.5781	1.5173e-018	1.7009
497.5938	1.5174e-018	1.701
497.6094	1.5174e-018	1.701
497.625	1.5175e-018	1.7011
497.6406	1.5176e-018	1.7012
497.6563	1.5176e-018	1.7013
497.6719	1.5177e-018	1.7014
497.6875	1.5177e-018	1.7015
497.7031	1.5178e-018	1.7016
497.7188	1.5179e-018	1.7016
497.7344	1.5179e-018	1.7017
497.75	1.518e-018	1.7018
497.7656	1.5181e-018	1.7019
497.7813	1.5181e-018	1.702
497.7969	1.5182e-018	1.7021
497.8125	1.5182e-018	1.7021
497.8281	1.5183e-018	1.7022
497.8438	1.5184e-018	1.7023
497.8594	1.5184e-018	1.7024
497.875	1.5185e-018	1.7025
497.8906	1.5185e-018	1.7026
497.9063	1.5186e-018	1.7027
497.9219	1.5187e-018	1.7027
497.9375	1.5187e-018	1.7028
497.9531	1.5188e-018	1.7029
497.9688	1.5188e-018	1.703
497.9844	1.5189e-018	1.7031
498	1.519e-018	1.7032
498.0156	1.519e-018	1.7033
498.0313	1.5191e-018	1.7033
498.0469	1.5192e-018	1.7034
498.0625	1.5192e-018	1.7035
498.0781	1.5193e-018	1.7036
498.0938	1.5193e-018	1.7037
498.1094	1.5194e-018	1.7038
498.125	1.5195e-018	1.7039
498.1406	1.5195e-018	1.7039
498.1563	1.5196e-018	1.704
498.1719	1.5196e-018	1.7041
498.1875	1.5197e-018	1.7042
498.2031	1.5198e-018	1.7043
498.2188	1.5198e-018	1.7044
498.2344	1.5199e-018	1.7044
498.25	1.52e-018	1.7045
498.2656	1.52e-018	1.7046
498.2813	1.5201e-018	1.7047
498.2969	1.5201e-018	1.7048
498.3125	1.5202e-018	1.7049
498.3281	1.5203e-018	1.705
498.3438	1.5203e-018	1.705
498.3594	1.5204e-018	1.7051
498.375	1.5204e-018	1.7052
498.3906	1.5205e-018	1.7053
498.4063	1.5206e-018	1.7054
498.4219	1.5206e-018	1.7055
498.4375	1.5207e-018	1.7056
498.4531	1.5208e-018	1.7056
498.4688	1.5208e-018	1.7057
498.4844	1.5209e-018	1.7058
498.5	1.5209e-018	1.7059
498.5156	1.521e-018	1.706
498.5313	1.5211e-018	1.7061
498.5469	1.5211e-018	1.7061
498.5625	1.5212e-018	1.7062
498.5781	1.5212e-018	1.7063
498.5938	1.5213e-018	1.7064
498.6094	1.5214e-018	1.7065
498.625	1.5214e-018	1.7066
498.6406	1.5215e-018	1.7067
498.6563	1.5216e-018	1.7067
498.6719	1.5216e-018	1.7068
498.6875	1.5217e-018	1.7069
498.7031	1.5217e-018	1.707
498.7188	1.5218e-018	1.7071
498.7344	1.5219e-018	1.7072
498.75	1.5219e-018	1.7073
498.7656	1.522e-018	1.7073
498.7813	1.5221e-018	1.7074
498.7969	1.5221e-018	1.7075
498.8125	1.5222e-018	1.7076
498.8281	1.5222e-018	1.7077
498.8438	1.5223e-018	1.7078
498.8594	1.5224e-018	1.7079
498.875	1.5224e-018	1.7079
498.8906	1.5225e-018	1.708
498.9063	1.5225e-018	1.7081
498.9219	1.5226e-018	1.7082
498.9375	1.5227e-018	1.7083
498.9531	1.5227e-018	1.7084
498.9688	1.5228e-018	1.7084
498.9844	1.5229e-018	1.7085
499	1.5229e-018	1.7086
499.0156	1.523e-018	1.7087
499.0313	1.523e-018	1.7088
499.0469	1.5231e-018	1.7089
499.0625	1.5232e-018	1.709
499.0781	1.5232e-018	1.709
499.0938	1.5233e-018	1.7091
499.1094	1.5234e-018	1.7092
499.125	1.5234e-018	1.7093
499.1406	1.5235e-018	1.7094
499.1563	1.5235e-018	1.7095
499.1719	1.5236e-018	1.7096
499.1875	1.5237e-018	1.7096
499.2031	1.5237e-018	1.7097
499.2188	1.5238e-018	1.7098
499.2344	1.5239e-018	1.7099
499.25	1.5239e-018	1.71
499.2656	1.524e-018	1.7101
499.2813	1.524e-018	1.7101
499.2969	1.5241e-018	1.7102
499.3125	1.5242e-018	1.7103
499.3281	1.5242e-018	1.7104
499.3438	1.5243e-018	1.7105
499.3594	1.5243e-018	1.7106
499.375	1.5244e-018	1.7107
499.3906	1.5245e-018	1.7107
499.4063	1.5245e-018	1.7108
499.4219	1.5246e-018	1.7109
499.4375	1.5247e-018	1.711
499.4531	1.5247e-018	1.7111
499.4688	1.5248e-018	1.7112
499.4844	1.5248e-018	1.7112
499.5	1.5249e-018	1.7113
499.5156	1.525e-018	1.7114
499.5313	1.525e-018	1.7115
499.5469	1.5251e-018	1.7116
499.5625	1.5252e-018	1.7117
499.5781	1.5252e-018	1.7118
499.5938	1.5253e-018	1.7118
499.6094	1.5253e-018	1.7119
499.625	1.5254e-018	1.712
499.6406	1.5255e-018	1.7121
499.6563	1.5255e-018	1.7122
499.6719	1.5256e-018	1.7123
499.6875	1.5257e-018	1.7124
499.7031	1.5257e-018	1.7124
499.7188	1.5258e-018	1.7125
499.7344	1.5258e-018	1.7126
499.75	1.5259e-018	1.7127
499.7656	1.526e-018	1.7128
499.7813	1.526e-018	1.7129
499.7969	1.5261e-018	1.7129
499.8125	1.5262e-018	1.713
499.8281	1.5262e-018	1.7131
499.8438	1.5263e-018	1.7132
499.8594	1.5263e-018	1.7133
499.875	1.5264e-018	1.7134
499.8906	1.5265e-018	1.7135
499.9063	1.5265e-018	1.7135
499.9219	1.5266e-018	1.7136
499.9375	1.5267e-018	1.7137
499.9531	1.5267e-018	1.7138
499.9688	1.5268e-018	1.7139
499.9844	1.5268e-018	1.714
500	1.5269e-018	1.714
500.0156	1.527e-018	1.7141
500.0313	1.527e-018	1.7142
500.0469	1.5271e-018	1.7143
500.0625	1.5272e-018	1.7144
500.0781	1.5272e-018	1.7145
500.0938	1.5273e-018	1.7146
500.1094	1.5273e-018	1.7146
500.125	1.5274e-018	1.7147
500.1406	1.5275e-018	1.7148
500.1563	1.5275e-018	1.7149
500.1719	1.5276e-018	1.715
500.1875	1.5277e-018	1.7151
500.2031	1.5277e-018	1.7151
500.2188	1.5278e-018	1.7152
500.2344	1.5278e-018	1.7153
500.25	1.5279e-018	1.7154
500.2656	1.528e-018	1.7155
500.2813	1.528e-018	1.7156
500.2969	1.5281e-018	1.7157
500.3125	1.5282e-018	1.7157
500.3281	1.5282e-018	1.7158
500.3438	1.5283e-018	1.7159
500.3594	1.5284e-018	1.716
500.375	1.5284e-018	1.7161
500.3906	1.5285e-018	1.7162
500.4063	1.5285e-018	1.7163
500.4219	1.5286e-018	1.7163
500.4375	1.5287e-018	1.7164
500.4531	1.5287e-018	1.7165
500.4688	1.5288e-018	1.7166
500.4844	1.5289e-018	1.7167
500.5	1.5289e-018	1.7168
500.5156	1.529e-018	1.7168
500.5313	1.529e-018	1.7169
500.5469	1.5291e-018	1.717
500.5625	1.5292e-018	1.7171
500.5781	1.5292e-018	1.7172
500.5938	1.5293e-018	1.7173
500.6094	1.5294e-018	1.7174
500.625	1.5294e-018	1.7174
500.6406	1.5295e-018	1.7175
500.6563	1.5295e-018	1.7176
500.6719	1.5296e-018	1.7177
500.6875	1.5297e-018	1.7178
500.7031	1.5297e-018	1.7179
500.7188	1.5298e-018	1.7179
500.7344	1.5299e-018	1.718
500.75	1.5299e-018	1.7181
500.7656	1.53e-018	1.7182
500.7813	1.5301e-018	1.7183
500.7969	1.5301e-018	1.7184
500.8125	1.5302e-018	1.7185
500.8281	1.5302e-018	1.7185
500.8438	1.5303e-018	1.7186
500.8594	1.5304e-018	1.7187
500.875	1.5304e-018	1.7188
500.8906	1.5305e-018	1.7189
500.9063	1.5306e-018	1.719
500.9219	1.5306e-018	1.719
500.9375	1.5307e-018	1.7191
500.9531	1.5307e-018	1.7192
500.9688	1.5308e-018	1.7193
500.9844	1.5309e-018	1.7194
501	1.5309e-018	1.7195
501.0156	1.531e-018	1.7196
501.0313	1.5311e-018	1.7196
501.0469	1.5311e-018	1.7197
501.0625	1.5312e-018	1.7198
501.0781	1.5313e-018	1.7199
501.0938	1.5313e-018	1.72
501.1094	1.5314e-018	1.7201
501.125	1.5314e-018	1.7201
501.1406	1.5315e-018	1.7202
501.1563	1.5316e-018	1.7203
501.1719	1.5316e-018	1.7204
501.1875	1.5317e-018	1.7205
501.2031	1.5318e-018	1.7206
501.2188	1.5318e-018	1.7206
501.2344	1.5319e-018	1.7207
501.25	1.5319e-018	1.7208
501.2656	1.532e-018	1.7209
501.2813	1.5321e-018	1.721
501.2969	1.5321e-018	1.7211
501.3125	1.5322e-018	1.7212
501.3281	1.5323e-018	1.7212
501.3438	1.5323e-018	1.7213
501.3594	1.5324e-018	1.7214
501.375	1.5325e-018	1.7215
501.3906	1.5325e-018	1.7216
501.4063	1.5326e-018	1.7217
501.4219	1.5326e-018	1.7217
501.4375	1.5327e-018	1.7218
501.4531	1.5328e-018	1.7219
501.4688	1.5328e-018	1.722
501.4844	1.5329e-018	1.7221
501.5	1.533e-018	1.7222
501.5156	1.533e-018	1.7223
501.5313	1.5331e-018	1.7223
501.5469	1.5332e-018	1.7224
501.5625	1.5332e-018	1.7225
501.5781	1.5333e-018	1.7226
501.5938	1.5333e-018	1.7227
501.6094	1.5334e-018	1.7228
501.625	1.5335e-018	1.7228
501.6406	1.5335e-018	1.7229
501.6563	1.5336e-018	1.723
501.6719	1.5337e-018	1.7231
501.6875	1.5337e-018	1.7232
501.7031	1.5338e-018	1.7233
501.7188	1.5339e-018	1.7234
501.7344	1.5339e-018	1.7234
501.75	1.534e-018	1.7235
501.7656	1.534e-018	1.7236
501.7813	1.5341e-018	1.7237
501.7969	1.5342e-018	1.7238
501.8125	1.5342e-018	1.7239
501.8281	1.5343e-018	1.7239
501.8438	1.5344e-018	1.724
501.8594	1.5344e-018	1.7241
501.875	1.5345e-018	1.7242
501.8906	1.5346e-018	1.7243
501.9063	1.5346e-018	1.7244
501.9219	1.5347e-018	1.7244
501.9375	1.5347e-018	1.7245
501.9531	1.5348e-018	1.7246
501.9688	1.5349e-018	1.7247
501.9844	1.5349e-018	1.7248
502	1.535e-018	1.7249
502.0156	1.5351e-018	1.725
502.0313	1.5351e-018	1.725
502.0469	1.5352e-018	1.7251
502.0625	1.5353e-018	1.7252
502.0781	1.5353e-018	1.7253
502.0938	1.5354e-018	1.7254
502.1094	1.5354e-018	1.7255
502.125	1.5355e-018	1.7255
502.1406	1.5356e-018	1.7256
502.1563	1.5356e-018	1.7257
502.1719	1.5357e-018	1.7258
502.1875	1.5358e-018	1.7259
502.2031	1.5358e-018	1.726
502.2188	1.5359e-018	1.726
502.2344	1.536e-018	1.7261
502.25	1.536e-018	1.7262
502.2656	1.5361e-018	1.7263
502.2813	1.5362e-018	1.7264
502.2969	1.5362e-018	1.7265
502.3125	1.5363e-018	1.7266
502.3281	1.5363e-018	1.7266
502.3438	1.5364e-018	1.7267
502.3594	1.5365e-018	1.7268
502.375	1.5365e-018	1.7269
502.3906	1.5366e-018	1.727
502.4063	1.5367e-018	1.7271
502.4219	1.5367e-018	1.7271
502.4375	1.5368e-018	1.7272
502.4531	1.5369e-018	1.7273
502.4688	1.5369e-018	1.7274
502.4844	1.537e-018	1.7275
502.5	1.537e-018	1.7276
502.5156	1.5371e-018	1.7276
502.5313	1.5372e-018	1.7277
502.5469	1.5372e-018	1.7278
502.5625	1.5373e-018	1.7279
502.5781	1.5374e-018	1.728
502.5938	1.5374e-018	1.7281
502.6094	1.5375e-018	1.7282
502.625	1.5376e-018	1.7282
502.6406	1.5376e-018	1.7283
502.6563	1.5377e-018	1.7284
502.6719	1.5378e-018	1.7285
502.6875	1.5378e-018	1.7286
502.7031	1.5379e-018	1.7287
502.7188	1.5379e-018	1.7287
502.7344	1.538e-018	1.7288
502.75	1.5381e-018	1.7289
502.7656	1.5381e-018	1.729
502.7813	1.5382e-018	1.7291
502.7969	1.5383e-018	1.7292
502.8125	1.5383e-018	1.7292
502.8281	1.5384e-018	1.7293
502.8438	1.5385e-018	1.7294
502.8594	1.5385e-018	1.7295
502.875	1.5386e-018	1.7296
502.8906	1.5387e-018	1.7297
502.9063	1.5387e-018	1.7298
502.9219	1.5388e-018	1.7298
502.9375	1.5388e-018	1.7299
502.9531	1.5389e-018	1.73
502.9688	1.539e-018	1.7301
502.9844	1.539e-018	1.7302
503	1.5391e-018	1.7303
503.0156	1.5392e-018	1.7303
503.0313	1.5392e-018	1.7304
503.0469	1.5393e-018	1.7305
503.0625	1.5394e-018	1.7306
503.0781	1.5394e-018	1.7307
503.0938	1.5395e-018	1.7308
503.1094	1.5396e-018	1.7308
503.125	1.5396e-018	1.7309
503.1406	1.5397e-018	1.731
503.1563	1.5398e-018	1.7311
503.1719	1.5398e-018	1.7312
503.1875	1.5399e-018	1.7313
503.2031	1.5399e-018	1.7314
503.2188	1.54e-018	1.7314
503.2344	1.5401e-018	1.7315
503.25	1.5401e-018	1.7316
503.2656	1.5402e-018	1.7317
503.2813	1.5403e-018	1.7318
503.2969	1.5403e-018	1.7319
503.3125	1.5404e-018	1.7319
503.3281	1.5405e-018	1.732
503.3438	1.5405e-018	1.7321
503.3594	1.5406e-018	1.7322
503.375	1.5407e-018	1.7323
503.3906	1.5407e-018	1.7324
503.4063	1.5408e-018	1.7324
503.4219	1.5408e-018	1.7325
503.4375	1.5409e-018	1.7326
503.4531	1.541e-018	1.7327
503.4688	1.541e-018	1.7328
503.4844	1.5411e-018	1.7329
503.5	1.5412e-018	1.7329
503.5156	1.5412e-018	1.733
503.5313	1.5413e-018	1.7331
503.5469	1.5414e-018	1.7332
503.5625	1.5414e-018	1.7333
503.5781	1.5415e-018	1.7334
503.5938	1.5416e-018	1.7335
503.6094	1.5416e-018	1.7335
503.625	1.5417e-018	1.7336
503.6406	1.5418e-018	1.7337
503.6563	1.5418e-018	1.7338
503.6719	1.5419e-018	1.7339
503.6875	1.542e-018	1.734
503.7031	1.542e-018	1.734
503.7188	1.5421e-018	1.7341
503.7344	1.5421e-018	1.7342
503.75	1.5422e-018	1.7343
503.7656	1.5423e-018	1.7344
503.7813	1.5423e-018	1.7345
503.7969	1.5424e-018	1.7345
503.8125	1.5425e-018	1.7346
503.8281	1.5425e-018	1.7347
503.8438	1.5426e-018	1.7348
503.8594	1.5427e-018	1.7349
503.875	1.5427e-018	1.735
503.8906	1.5428e-018	1.735
503.9063	1.5429e-018	1.7351
503.9219	1.5429e-018	1.7352
503.9375	1.543e-018	1.7353
503.9531	1.5431e-018	1.7354
503.9688	1.5431e-018	1.7355
503.9844	1.5432e-018	1.7355
504	1.5432e-018	1.7356
504.0156	1.5433e-018	1.7357
504.0313	1.5434e-018	1.7358
504.0469	1.5434e-018	1.7359
504.0625	1.5435e-018	1.736
504.0781	1.5436e-018	1.7361
504.0938	1.5436e-018	1.7361
504.1094	1.5437e-018	1.7362
504.125	1.5438e-018	1.7363
504.1406	1.5438e-018	1.7364
504.1563	1.5439e-018	1.7365
504.1719	1.544e-018	1.7366
504.1875	1.544e-018	1.7366
504.2031	1.5441e-018	1.7367
504.2188	1.5442e-018	1.7368
504.2344	1.5442e-018	1.7369
504.25	1.5443e-018	1.737
504.2656	1.5444e-018	1.7371
504.2813	1.5444e-018	1.7371
504.2969	1.5445e-018	1.7372
504.3125	1.5446e-018	1.7373
504.3281	1.5446e-018	1.7374
504.3438	1.5447e-018	1.7375
504.3594	1.5447e-018	1.7376
504.375	1.5448e-018	1.7376
504.3906	1.5449e-018	1.7377
504.4063	1.5449e-018	1.7378
504.4219	1.545e-018	1.7379
504.4375	1.5451e-018	1.738
504.4531	1.5451e-018	1.7381
504.4688	1.5452e-018	1.7381
504.4844	1.5453e-018	1.7382
504.5	1.5453e-018	1.7383
504.5156	1.5454e-018	1.7384
504.5313	1.5455e-018	1.7385
504.5469	1.5455e-018	1.7386
504.5625	1.5456e-018	1.7387
504.5781	1.5457e-018	1.7387
504.5938	1.5457e-018	1.7388
504.6094	1.5458e-018	1.7389
504.625	1.5459e-018	1.739
504.6406	1.5459e-018	1.7391
504.6563	1.546e-018	1.7392
504.6719	1.5461e-018	1.7392
504.6875	1.5461e-018	1.7393
504.7031	1.5462e-018	1.7394
504.7188	1.5463e-018	1.7395
504.7344	1.5463e-018	1.7396
504.75	1.5464e-018	1.7397
504.7656	1.5464e-018	1.7397
504.7813	1.5465e-018	1.7398
504.7969	1.5466e-018	1.7399
504.8125	1.5466e-018	1.74
504.8281	1.5467e-018	1.7401
504.8438	1.5468e-018	1.7402
504.8594	1.5468e-018	1.7402
504.875	1.5469e-018	1.7403
504.8906	1.547e-018	1.7404
504.9063	1.547e-018	1.7405
504.9219	1.5471e-018	1.7406
504.9375	1.5472e-018	1.7407
504.9531	1.5472e-018	1.7407
504.9688	1.5473e-018	1.7408
504.9844	1.5474e-018	1.7409
505	1.5474e-018	1.741
505.0156	1.5475e-018	1.7411
505.0313	1.5476e-018	1.7412
505.0469	1.5476e-018	1.7412
505.0625	1.5477e-018	1.7413
505.0781	1.5478e-018	1.7414
505.0938	1.5478e-018	1.7415
505.1094	1.5479e-018	1.7416
505.125	1.548e-018	1.7417
505.1406	1.548e-018	1.7417
505.1563	1.5481e-018	1.7418
505.1719	1.5482e-018	1.7419
505.1875	1.5482e-018	1.742
505.2031	1.5483e-018	1.7421
505.2188	1.5484e-018	1.7422
505.2344	1.5484e-018	1.7422
505.25	1.5485e-018	1.7423
505.2656	1.5486e-018	1.7424
505.2813	1.5486e-018	1.7425
505.2969	1.5487e-018	1.7426
505.3125	1.5487e-018	1.7427
505.3281	1.5488e-018	1.7427
505.3438	1.5489e-018	1.7428
505.3594	1.5489e-018	1.7429
505.375	1.549e-018	1.743
505.3906	1.5491e-018	1.7431
505.4063	1.5491e-018	1.7432
505.4219	1.5492e-018	1.7433
505.4375	1.5493e-018	1.7433
505.4531	1.5493e-018	1.7434
505.4688	1.5494e-018	1.7435
505.4844	1.5495e-018	1.7436
505.5	1.5495e-018	1.7437
505.5156	1.5496e-018	1.7438
505.5313	1.5497e-018	1.7438
505.5469	1.5497e-018	1.7439
505.5625	1.5498e-018	1.744
505.5781	1.5499e-018	1.7441
505.5938	1.5499e-018	1.7442
505.6094	1.55e-018	1.7443
505.625	1.5501e-018	1.7443
505.6406	1.5501e-018	1.7444
505.6563	1.5502e-018	1.7445
505.6719	1.5503e-018	1.7446
505.6875	1.5503e-018	1.7447
505.7031	1.5504e-018	1.7448
505.7188	1.5505e-018	1.7448
505.7344	1.5505e-018	1.7449
505.75	1.5506e-018	1.745
505.7656	1.5507e-018	1.7451
505.7813	1.5507e-018	1.7452
505.7969	1.5508e-018	1.7453
505.8125	1.5509e-018	1.7453
505.8281	1.5509e-018	1.7454
505.8438	1.551e-018	1.7455
505.8594	1.5511e-018	1.7456
505.875	1.5511e-018	1.7457
505.8906	1.5512e-018	1.7458
505.9063	1.5513e-018	1.7458
505.9219	1.5513e-018	1.7459
505.9375	1.5514e-018	1.746
505.9531	1.5515e-018	1.7461
505.9688	1.5515e-018	1.7462
505.9844	1.5516e-018	1.7463
506	1.5517e-018	1.7463
506.0156	1.5517e-018	1.7464
506.0313	1.5518e-018	1.7465
506.0469	1.5519e-018	1.7466
506.0625	1.5519e-018	1.7467
506.0781	1.552e-018	1.7468
506.0938	1.5521e-018	1.7468
506.1094	1.5521e-018	1.7469
506.125	1.5522e-018	1.747
506.1406	1.5523e-018	1.7471
506.1563	1.5523e-018	1.7472
506.1719	1.5524e-018	1.7473
506.1875	1.5525e-018	1.7473
506.2031	1.5525e-018	1.7474
506.2188	1.5526e-018	1.7475
506.2344	1.5527e-018	1.7476
506.25	1.5527e-018	1.7477
506.2656	1.5528e-018	1.7478
506.2813	1.5529e-018	1.7478
506.2969	1.5529e-018	1.7479
506.3125	1.553e-018	1.748
506.3281	1.5531e-018	1.7481
506.3438	1.5531e-018	1.7482
506.3594	1.5532e-018	1.7483
506.375	1.5532e-018	1.7483
506.3906	1.5533e-018	1.7484
506.4063	1.5534e-018	1.7485
506.4219	1.5534e-018	1.7486
506.4375	1.5535e-018	1.7487
506.4531	1.5536e-018	1.7488
506.4688	1.5536e-018	1.7488
506.4844	1.5537e-018	1.7489
506.5	1.5538e-018	1.749
506.5156	1.5538e-018	1.7491
506.5313	1.5539e-018	1.7492
506.5469	1.554e-018	1.7493
506.5625	1.554e-018	1.7493
506.5781	1.5541e-018	1.7494
506.5938	1.5542e-018	1.7495
506.6094	1.5542e-018	1.7496
506.625	1.5543e-018	1.7497
506.6406	1.5544e-018	1.7498
506.6563	1.5544e-018	1.7498
506.6719	1.5545e-018	1.7499
506.6875	1.5546e-018	1.75
506.7031	1.5546e-018	1.7501
506.7188	1.5547e-018	1.7502
506.7344	1.5548e-018	1.7503
506.75	1.5548e-018	1.7503
506.7656	1.5549e-018	1.7504
506.7813	1.555e-018	1.7505
506.7969	1.555e-018	1.7506
506.8125	1.5551e-018	1.7507
506.8281	1.5552e-018	1.7508
506.8438	1.5552e-018	1.7508
506.8594	1.5553e-018	1.7509
506.875	1.5554e-018	1.751
506.8906	1.5555e-018	1.7511
506.9063	1.5555e-018	1.7512
506.9219	1.5556e-018	1.7513
506.9375	1.5557e-018	1.7513
506.9531	1.5557e-018	1.7514
506.9688	1.5558e-018	1.7515
506.9844	1.5559e-018	1.7516
507	1.5559e-018	1.7517
507.0156	1.556e-018	1.7518
507.0313	1.5561e-018	1.7518
507.0469	1.5561e-018	1.7519
507.0625	1.5562e-018	1.752
507.0781	1.5563e-018	1.7521
507.0938	1.5563e-018	1.7522
507.1094	1.5564e-018	1.7523
507.125	1.5565e-018	1.7523
507.1406	1.5565e-018	1.7524
507.1563	1.5566e-018	1.7525
507.1719	1.5567e-018	1.7526
507.1875	1.5567e-018	1.7527
507.2031	1.5568e-018	1.7528
507.2188	1.5569e-018	1.7528
507.2344	1.5569e-018	1.7529
507.25	1.557e-018	1.753
507.2656	1.5571e-018	1.7531
507.2813	1.5571e-018	1.7532
507.2969	1.5572e-018	1.7533
507.3125	1.5573e-018	1.7533
507.3281	1.5573e-018	1.7534
507.3438	1.5574e-018	1.7535
507.3594	1.5575e-018	1.7536
507.375	1.5575e-018	1.7537
507.3906	1.5576e-018	1.7537
507.4063	1.5577e-018	1.7538
507.4219	1.5577e-018	1.7539
507.4375	1.5578e-018	1.754
507.4531	1.5579e-018	1.7541
507.4688	1.5579e-018	1.7542
507.4844	1.558e-018	1.7542
507.5	1.5581e-018	1.7543
507.5156	1.5581e-018	1.7544
507.5313	1.5582e-018	1.7545
507.5469	1.5583e-018	1.7546
507.5625	1.5583e-018	1.7547
507.5781	1.5584e-018	1.7547
507.5938	1.5585e-018	1.7548
507.6094	1.5585e-018	1.7549
507.625	1.5586e-018	1.755
507.6406	1.5587e-018	1.7551
507.6563	1.5587e-018	1.7552
507.6719	1.5588e-018	1.7552
507.6875	1.5589e-018	1.7553
507.7031	1.5589e-018	1.7554
507.7188	1.559e-018	1.7555
507.7344	1.5591e-018	1.7556
507.75	1.5591e-018	1.7557
507.7656	1.5592e-018	1.7557
507.7813	1.5593e-018	1.7558
507.7969	1.5593e-018	1.7559
507.8125	1.5594e-018	1.756
507.8281	1.5595e-018	1.7561
507.8438	1.5595e-018	1.7562
507.8594	1.5596e-018	1.7562
507.875	1.5597e-018	1.7563
507.8906	1.5597e-018	1.7564
507.9063	1.5598e-018	1.7565
507.9219	1.5599e-018	1.7566
507.9375	1.5599e-018	1.7567
507.9531	1.56e-018	1.7567
507.9688	1.5601e-018	1.7568
507.9844	1.5602e-018	1.7569
508	1.5602e-018	1.757
508.0156	1.5603e-018	1.7571
508.0313	1.5604e-018	1.7572
508.0469	1.5604e-018	1.7572
508.0625	1.5605e-018	1.7573
508.0781	1.5606e-018	1.7574
508.0938	1.5606e-018	1.7575
508.1094	1.5607e-018	1.7576
508.125	1.5608e-018	1.7576
508.1406	1.5608e-018	1.7577
508.1563	1.5609e-018	1.7578
508.1719	1.561e-018	1.7579
508.1875	1.561e-018	1.758
508.2031	1.5611e-018	1.7581
508.2188	1.5612e-018	1.7581
508.2344	1.5612e-018	1.7582
508.25	1.5613e-018	1.7583
508.2656	1.5614e-018	1.7584
508.2813	1.5614e-018	1.7585
508.2969	1.5615e-018	1.7586
508.3125	1.5616e-018	1.7586
508.3281	1.5616e-018	1.7587
508.3438	1.5617e-018	1.7588
508.3594	1.5618e-018	1.7589
508.375	1.5618e-018	1.759
508.3906	1.5619e-018	1.7591
