%Time	alpha*beta	alpha	beta	darm	LineAmp/ref
714251100          0          0          0          0          0
714251160          0          0          0          0          0
714251220          0          0          0          0          0
714251280          0          0          0          0          0
714251340          0          0          0          0          0
714251400          0          0          0          0          0
714251460          0          0          0          0          0
714251520          0          0          0          0          0
714251580          0          0          0          0          0
714251640          0          0          0          0          0
714251700          0          0          0          0          0
714251760          0          0          0          0          0
714251820                   0                   0                   0                   0     0.2061539853902
714251880                   0                   0                   0                   0     0.6759453890754
714251940          0          0          0          0          0
714252000                   0                   0                   0                   0     0.1952387920057
714252060          0          0          0          0          0
714252120                   0                   0                   0                   0     0.3442060320863
714252180                   0                   0                   0                   0     0.2738830419945
714252240          0          0          0          0          0
714252300                   0                   0                   0                   0     0.7546545432492
714252360          0          0          0          0          0
714252420          0          0          0          0          0
714252480          0          0          0          0          0
714252540          0          0          0          0          0
714252600          0          0          0          0          0
714252660          0          0          0          0          0
714252720          0          0          0          0          0
714252780          0          0          0          0          0
714252840          0          0          0          0          0
714252900          0          0          0          0          0
714252960          0          0          0          0          0
714253020          0          0          0          0          0
714253080          0          0          0          0          0
714253140          0          0          0          0          0
714253200          0          0          0          0          0
714253260          0          0          0          0          0
714253320          0          0          0          0          0
714253380          0          0          0          0          0
714253440          0          0          0          0          0
714253500          0          0          0          0          0
714253560          0          0          0          0          0
714253620          0          0          0          0          0
714253680          0          0          0          0          0
714253740          0          0          0          0          0
714253800                   0                   0                   0                   0   0.007243844388986
714253860          0          0          0          0          0
714253920          0          0          0          0          0
714253980          0          0          0          0          0
714254040          0          0          0          0          0
714254100          0          0          0          0          0
714254160          0          0          0          0          0
714254220          0          0          0          0          0
714254280          0          0          0          0          0
714254340          0          0          0          0          0
714254400                   0                   0                   0                   0    0.06788017769739
714254460                   0                   0                   0                   0   0.009364876928232
714254520                   0                   0                   0                   0    0.01663245511732
714254580          0          0          0          0          0
714254640          0          0          0          0          0
714254700          0          0          0          0          0
714254760          0          0          0          0          0
714254820          0          0          0          0          0
714254880          0          0          0          0          0
714254940          0          0          0          0          0
714255000          0          0          0          0          0
714255060          0          0          0          0          0
714255120                   0                   0                   0                   0     0.0303829591436
714255180          0          0          0          0          0
714255240          0          0          0          0          0
714255300          0          0          0          0          0
714255360          0          0          0          0          0
714255420          0          0          0          0          0
714255480          0          0          0          0          0
714255540          0          0          0          0          0
714255600          0          0          0          0          0
714255660          0          0          0          0          0
714255720          0          0          0          0          0
714255780          0          0          0          0          0
714255840                   0                   0                   0                   0     0.2872613341046
714255900          0          0          0          0          0
714255960          0          0          0          0          0
714256020                   0                   0                   0                   0     0.3512672451552
714256080                   0                   0                   0                   0     0.3504331509083
714256140                   0                   0                   0                   0    0.02490047546995
714256200          0          0          0          0          0
714256260          0          0          0          0          0
714256320          0          0          0          0          0
714256380          0          0          0          0          0
714256440          0          0          0          0          0
714256500          0          0          0          0          0
714256560                   0                   0                   0                   0   0.002421761703047
714256620          0          0          0          0          0
714256680          0          0          0          0          0
714256740          0          0          0          0          0
714256800          0          0          0          0          0
714256860          0          0          0          0          0
714256920          0          0          0          0          0
714256980          0          0          0          0          0
714257040                   0                   0                   0                   0    0.01075892825742
714257100          0          0          0          0          0
714257160                   0                   0                   0                   0    0.02036918526803
714257220                   0                   0                   0                   0    0.01763697265991
714257280          0          0          0          0          0
714257340                   0                   0                   0                   0   0.007600153270478
714257400                   0                   0                   0                   0    0.00759802803577
714257460          0          0          0          0          0
714257520          0          0          0          0          0
714257580          0          0          0          0          0
714257640          0          0          0          0          0
714257700          0          0          0          0          0
714257760          0          0          0          0          0
714257820          0          0          0          0          0
714257880          0          0          0          0          0
714257940          0          0          0          0          0
714258000          0          0          0          0          0
714258060          0          0          0          0          0
714258120          0          0          0          0          0
714258180          0          0          0          0          0
714258240          0          0          0          0          0
714258300          0          0          0          0          0
714258360          0          0          0          0          0
714258420          0          0          0          0          0
714258480          0          0          0          0          0
714258540          0          0          0          0          0
714258600          0          0          0          0          0
714258660          0          0          0          0          0
714258720          0          0          0          0          0
714258780          0          0          0          0          0
714258840          0          0          0          0          0
714258900          0          0          0          0          0
714258960          0          0          0          0          0
714259020          0          0          0          0          0
714259080          0          0          0          0          0
714259140          0          0          0          0          0
714259200          0          0          0          0          0
714259260                   0                   0                   0                   0   0.004839365311937
714259320          0          0          0          0          0
714259380                   0                   0                   0                   0    0.01048125909772
714259440          0          0          0          0          0
714259500          0          0          0          0          0
714259560                   0                   0                   0                   0    0.01661535060048
714259620          0          0          0          0          0
714259680          0          0          0          0          0
714259740          0          0          0          0          0
714259800          0          0          0          0          0
714259860                   0                   0                   0                   0   0.003961005203414
714259920          0          0          0          0          0
714259980          0          0          0          0          0
714260040          0          0          0          0          0
714260100          0          0          0          0          0
714260160          0          0          0          0          0
714260220                   0                   0                   0                   0   0.007003215896707
714260280          0          0          0          0          0
714260340          0          0          0          0          0
714260400                   0                   0                   0                   0    0.02207429971479
714260460          0          0          0          0          0
714260520          0          0          0          0          0
714260580                   0                   0                   0                   0   0.007608207427013
714260640                   0                   0                   0                   0   0.001454314412113
714260700          0          0          0          0          0
714260760          0          0          0          0          0
714260820          0          0          0          0          0
714260880          0          0          0          0          0
714260940          0          0          0          0          0
714261000          0          0          0          0          0
714261060          0          0          0          0          0
714261120          0          0          0          0          0
714261180          0          0          0          0          0
714261240                   0                   0                   0                   0    0.01876090182765
714261300          0          0          0          0          0
714261360          0          0          0          0          0
714261420          0          0          0          0          0
714261480          0          0          0          0          0
714261540                   0                   0                   0                   0    0.01272375604564
714261600          0          0          0          0          0
714261660          0          0          0          0          0
714261720          0          0          0          0          0
714261780          0          0          0          0          0
714261840                   0                   0                   0                   0   0.002428122916934
714261900          0          0          0          0          0
714261960          0          0          0          0          0
714262020          0          0          0          0          0
714262080                   0                   0                   0                   0   0.002807311882088
714262140          0          0          0          0          0
714262200          0          0          0          0          0
714262260          0          0          0          0          0
714262320          0          0          0          0          0
714262380                   0                   0                   0                   0   0.006350388472679
714262440          0          0          0          0          0
714262500                   0                   0                   0                   0   0.000333795280065
714262560                   0                   0                   0                   0   0.009177795897953
714262620                   0                   0                   0                   0   0.002399374287431
714262680                   0                   0                   0                   0   0.005990840419537
714262740                   0                   0                   0                   0    0.01283034381135
714262800          0          0          0          0          0
714262860          0          0          0          0          0
714262920          0          0          0          0          0
714262980          0          0          0          0          0
714263040          0          0          0          0          0
714263100          0          0          0          0          0
714263160          0          0          0          0          0
714263220          0          0          0          0          0
714263280          0          0          0          0          0
714263340          0          0          0          0          0
714263400          0          0          0          0          0
714263460          0          0          0          0          0
714263520                   0                   0                   0                   0  0.0003245272643312
714263580          0          0          0          0          0
714263640          0          0          0          0          0
714263700          0          0          0          0          0
714263760                   0                   0                   0                   0    0.01947004193384
714263820                   0                   0                   0                   0    0.03186575109704
714263880                   0                   0                   0                   0  0.0009629595438932
714263940          0          0          0          0          0
714264000                   0                   0                   0                   0   0.002010481693805
714264060          0          0          0          0          0
714264120                   0                   0                   0                   0   0.001361608293101
714264180          0          0          0          0          0
714264240                   0                   0                   0                   0    0.01187684397695
714264300          0          0          0          0          0
714264360          0          0          0          0          0
714264420          0          0          0          0          0
714264480          0          0          0          0          0
714264540                   0                   0                   0                   0  0.0002209748409342
714264600          0          0          0          0          0
714264660          0          0          0          0          0
714264720                   0                   0                   0                   0    0.01243835272213
714264780                   0                   0                   0                   0    0.02040167358611
714264840                   0                   0                   0                   0   0.006854117399233
714264900          0          0          0          0          0
714264960          0          0          0          0          0
714265020          0          0          0          0          0
714265080                   0                   0                   0                   0   0.006849021666013
714265140          0          0          0          0          0
714265200          0          0          0          0          0
714265260                   0                   0                   0                   0     0.0032025717272
714265320          0          0          0          0          0
714265380                   0                   0                   0                   0 2.477692808976e-005
714265440                   0                   0                   0                   0    0.00444201223139
714265500          0          0          0          0          0
714265560          0          0          0          0          0
714265620          0          0          0          0          0
714265680                   0                   0                   0                   0   0.002847683492659
714265740                   0                   0                   0                   0    0.01260969373285
714265800          0          0          0          0          0
714265860          0          0          0          0          0
714265920          0          0          0          0          0
714265980                   0                   0                   0                   0    0.02220856987009
714266040          0          0          0          0          0
714266100          0          0          0          0          0
714266160          0          0          0          0          0
714266220          0          0          0          0          0
714266280          0          0          0          0          0
714266340                   0                   0                   0                   0   0.007961932216303
714266400          0          0          0          0          0
714266460          0          0          0          0          0
714266520          0          0          0          0          0
714266580          0          0          0          0          0
714266640          0          0          0          0          0
714266700          0          0          0          0          0
714266760          0          0          0          0          0
714266820          0          0          0          0          0
714266880          0          0          0          0          0
714266940          0          0          0          0          0
714267000          0          0          0          0          0
714267060                   0                   0                   0                   0    0.01068208170241
714267120          0          0          0          0          0
714267180                   0                   0                   0                   0   0.002410660370498
714267240          0          0          0          0          0
714267300                   0                   0                   0                   0    0.02809950312677
714267360          0          0          0          0          0
714267420          0          0          0          0          0
714267480          0          0          0          0          0
714267540                   0                   0                   0                   0   0.001849140757646
714267600          0          0          0          0          0
714267660                   0                   0                   0                   0    0.02315582078995
714267720          0          0          0          0          0
714267780                   0                   0                   0                   0   0.002547239303511
714267840          0          0          0          0          0
714267900          0          0          0          0          0
714267960          0          0          0          0          0
714268020          0          0          0          0          0
714268080          0          0          0          0          0
714268140          0          0          0          0          0
714268200          0          0          0          0          0
714268260          0          0          0          0          0
714268320          0          0          0          0          0
714268380          0          0          0          0          0
714268440          0          0          0          0          0
714268500                   0                   0                   0                   0    0.01116188966331
714268560                   0                   0                   0                   0   0.001497679464071
714268620          0          0          0          0          0
714268680                   0                   0                   0                   0   0.006011787264126
714268740          0          0          0          0          0
714268800          0          0          0          0          0
714268860          0          0          0          0          0
714268920          0          0          0          0          0
714268980                   0                   0                   0                   0   0.007354308293007
714269040          0          0          0          0          0
714269100          0          0          0          0          0
714269160          0          0          0          0          0
714269220          0          0          0          0          0
714269280          0          0          0          0          0
714269340          0          0          0          0          0
714269400          0          0          0          0          0
714269460          0          0          0          0          0
714269520          0          0          0          0          0
714269580          0          0          0          0          0
714269640                   0                   0                   0                   0    0.00870295084311
714269700          0          0          0          0          0
714269760          0          0          0          0          0
714269820          0          0          0          0          0
714269880                   0                   0                   0                   0    0.01013346323025
714269940          0          0          0          0          0
714270000                   0                   0                   0                   0   0.008562540450024
714270060          0          0          0          0          0
714270120          0          0          0          0          0
714270180          0          0          0          0          0
714270240          0          0          0          0          0
714270300          0          0          0          0          0
714270360          0          0          0          0          0
714270420          0          0          0          0          0
714270480          0          0          0          0          0
714270540          0          0          0          0          0
714270600          0          0          0          0          0
714270660          0          0          0          0          0
714270720          0          0          0          0          0
714270780                   0                   0                   0                   0    0.02278478016787
714270840          0          0          0          0          0
714270900          0          0          0          0          0
714270960          0          0          0          0          0
714271020          0          0          0          0          0
714271080          0          0          0          0          0
714271140          0          0          0          0          0
714271200          0          0          0          0          0
714271260          0          0          0          0          0
714271320                   0                   0                   0                   0    0.01138534722516
714271380          0          0          0          0          0
714271440          0          0          0          0          0
714271500          0          0          0          0          0
