700000000   14400.000000   4385
700000000    499.0047837027308  0  0    -0  9.935118329317663e-05  0    -1.978068736838917e-11 -0 0
700014400    499.0027328424692  1.430655079468272  0    -2.848415078806962e-07  9.935077496964866e-05  0    -1.97806060717223e-11 -5.67115622599291e-14 0
700028800    498.9965802785422  2.86129839923505  0    -5.69680674420594e-07  9.93495500024211e-05  0    -1.978036218238991e-11 -1.134226583620448e-13 0
700043200    498.9863260615227  4.2919181996955  0    -8.545151582981403e-07  9.934750840156294e-05  0    -1.977995570239675e-11 -1.701328221523657e-13 0
700057600    498.9719702756983  5.722502721438112  0    -1.139342618230272e-06  9.934465018385572e-05  0    -1.977938663508398e-11 -2.268415874845732e-13 0
700072000    498.9535130390705  7.153040205341366  0    -1.424160712991663e-06  9.934097537279343e-05  0    -1.977865498512922e-11 -2.835484882238446e-13 0
700086400    498.9309545033544  8.583518892670375  0    -1.708967101433966e-06  9.933648399858229e-05  0    -1.977776075854651e-11 -3.40253058250683e-13 0
700100800    498.9042948539766  10.01392702517355  0    -1.993759442505056e-06  9.933117609814051e-05  0    -1.97767039626862e-11 -3.969548314647499e-13 0
700115200    498.8735343100741  11.44425284517926  0    -2.278535395268278e-06  9.932505171509799e-05  0    -1.977548460623494e-11 -4.536533417886962e-13 0
700129600    498.8386731244926  12.87448459569246  0    -2.563292618921682e-06  9.931811089979591e-05  0    -1.977410269921561e-11 -5.103481231719926e-13 0
700144000    498.7997115837841  14.30461052049132  0    -2.84802877281727e-06  9.931035370928644e-05  0    -1.97725582529872e-11 -5.670387095947614e-13 0
700158400    498.7566500082046  15.7346188642239  0    -3.132741516480232e-06  9.930178020733213e-05  0    -1.977085128024476e-11 -6.237246350716065e-13 0
700172800    498.7094887517119  17.16449787250474  0    -3.417428509628187e-06  9.929239046440548e-05  0    -1.976898179501927e-11 -6.804054336554438e-13 0
700187200    498.6582282019622  18.59423579201151  0    -3.702087412190415e-06  9.928218455768831e-05  0    -1.976694981267752e-11 -7.370806394413311e-13 0
700201600    498.6028687803069  20.02382087058157  0    -3.986715884327099e-06  9.927116257107113e-05  0    -1.976475534992201e-11 -7.937497865702983e-13 0
700216000    498.5434109417897  21.45324135730863  0    -4.271311586448552e-06  9.925932459515252e-05  0    -1.976239842479079e-11 -8.50412409233176e-13 0
700230400    498.4798551751421  22.88248550263931  0    -4.55587217923445e-06  9.924667072723828e-05  0    -1.97598790566573e-11 -9.070680416744247e-13 0
700244800    498.41220200278  24.31154155846971  0    -4.84039532365306e-06  9.923320107134072e-05  0    -1.975719726623028e-11 -9.63716218195963e-13 0
700259200    498.3404519807989  25.74039777824198  0    -5.124878680980469e-06  9.921891573817772e-05  0    -1.975435307555349e-11 -1.020356473160996e-12 0
700273600    498.2646056989701  27.16904241704091  0    -5.409319912819805e-06  9.920381484517191e-05  0    -1.975134650800562e-11 -1.076988340997842e-12 0
700288000    498.1846637807348  28.59746373169042  0    -5.693716681120461e-06  9.918789851644962e-05  0    -1.974817758830006e-11 -1.133611356203759e-12 0
700302400    498.1006268831998  30.02564998085013  0    -5.978066648197308e-06  9.917116688283995e-05  0    -1.974484634248471e-11 -1.190225053348775e-12 0
700316800    498.0124956971317  31.45358942511183  0    -6.262367476749914e-06  9.915362008187359e-05  0    -1.974135279794175e-11 -1.246828967079507e-12 0
700331200    497.9202709469515  32.88127032709601  0    -6.546616829881762e-06  9.913525825778177e-05  0    -1.973769698338741e-11 -1.303422632122992e-12 0
700345600    497.8239533907283  34.30868095154833  0    -6.830812371119444e-06  9.911608156149506e-05  0    -1.973387892887178e-11 -1.360005583290508e-12 0
700360000    497.7235438201733  35.73580956543608  0    -7.114951764431883e-06  9.909609015064211e-05  0    -1.97298986657785e-11 -1.4165773554814e-12 0
700374400    497.6190430606335  37.16264443804459  0    -7.39903267424952e-06  9.907528418954834e-05  0    -1.972575622682455e-11 -1.473137483686901e-12 0
700388800    497.5104519710842  38.58917384107374  0    -7.683052765483525e-06  9.905366384923465e-05  0    -1.972145164605996e-11 -1.529685502993955e-12 0
700403200    497.3977714441229  40.01538604873426  0    -7.96700970354498e-06  9.903122930741596e-05  0    -1.971698495886753e-11 -1.58622094858904e-12 0
700417600    497.281002405961  41.44126933784418  0    -8.250901154364077e-06  9.900798074849973e-05  0    -1.971235620196254e-11 -1.642743355761986e-12 0
700432000    497.160145816417  42.86681198792518  0    -8.534724784409295e-06  9.898391836358454e-05  0    -1.970756541339245e-11 -1.699252259909798e-12 0
700446400    497.0352026689081  44.29200228129893  0    -8.818478260706596e-06  9.895904235045843e-05  0    -1.970261263253661e-11 -1.755747196540472e-12 0
700460800    496.9061739904423  45.71682850318339  0    -9.102159250858579e-06  9.893335291359729e-05  0    -1.969749790010589e-11 -1.812227701276815e-12 0
700475200    496.7730608416096  47.14127894178912  0    -9.385765423063674e-06  9.890685026416321e-05  0    -1.969222125814238e-11 -1.868693309860259e-12 0
700489600    496.6358643165739  48.56534188841554  0    -9.669294446135299e-06  9.887953462000271e-05  0    -1.968678275001902e-11 -1.925143558154683e-12 0
700504000    496.4945855430635  49.98900563754718  0    -9.952743989521019e-06  9.885140620564501e-05  0    -1.968118242043929e-11 -1.981577982150221e-12 0
700518400    496.3492256823618  51.4122584869499  0    -1.023611172332171e-05  9.882246525230006e-05  0    -1.967542031543677e-11 -2.037996117967083e-12 0
700532800    496.1997859292982  52.83508873776708  0    -1.05193953183107e-05  9.879271199785682e-05  0    -1.966949648237484e-11 -2.094397501859362e-12 0
