Start GPS	Stop GPS	duration(sec)

729297737	729300069	2332
729303597	729304608	1011
729312482	729317498	5016
729322734	729323929	1195
729326733	729371397	44664
729373985	729378432	4447
729380506	729381110	604
729381839	729385037	3198
729387278	729403681	16403
729404378	729438826	34448
729439373	729456763	17390
729459255	729472928	13673
729474131	729493271	19140
729497165	729498959	1794
729508651	729513247	4596
729514900	729526803	11903
729528773	729531105	2332
729534866	729535843	977
729538251	729545094	6843
729545207	729548068	2861
729549214	729551079	1865
729552059	729568237	16178
729576758	729579432	2674
729582946	729627463	44517
729627823	729638996	11173
729645995	729648606	2611
729676111	729686227	10116
729688371	729712756	24385
729719126	729729112	9986
729742727	729744541	1814
729745266	729749845	4579
729754417	729771598	17181
729774752	729779913	5161
729786491	729787187	696
729830355	729832504	2149
729842600	729851480	8880
729852255	729886047	33792
729888322	729889101	779
729915047	729917193	2146
729919476	729928193	8717
729929443	729949558	20115
729955578	729968164	12586
729970905	729973849	2944
729975778	729980020	4242
729981784	729993550	11766
729995493	729997478	1985
730002370	730007342	4972
730008028	730012341	4313
730013725	730014602	877
730020093	730022078	1985
730023812	730054327	30515
730076416	730081227	4811
730084519	730088269	3750
730093318	730109663	16345
730115590	730120457	4867
730127797	730139924	12127
730142271	730147183	4912
730151171	730151958	787
730152377	730155152	2775
730171706	730201013	29307
730210193	730227970	17777
730253537	730257158	3621
730259701	730262648	2947
730263346	730273736	10390
730274200	730287632	13432
730290186	730295140	4954
730295700	730299745	4045
730304635	730305391	756
730307103	730314488	7385
730316485	730321738	5253
730322560	730324527	1967
730330106	730332490	2384
730334400	730338776	4376
730339863	730342963	3100
730343842	730347344	3502
730350169	730353663	3494
730353969	730358402	4433
730358944	730361644	2700
730361939	730371098	9159
730371951	730378414	6463
730378915	730388741	9826
730389478	730395657	6179
730397906	730406261	8355
730408673	730411932	3259
730412656	730418469	5813
730419619	730429530	9911
730431196	730445086	13890
730446401	730448848	2447
730449986	730458345	8359
730459718	730472861	13143
730473872	730480988	7116
730487391	730495233	7842
730497814	730506496	8682
730508517	730516931	8414
730517959	730529763	11804
730530172	730536821	6649
730540451	730544770	4319
730546432	730548006	1574
730548019	730548893	874
730553536	730576325	22789
730580454	730582041	1587
730584041	730590154	6113
730592055	730594095	2040
730597835	730603902	6067
730606644	730607461	817
730611095	730613806	2711
730616533	730625296	8763
730626460	730635830	9370
730637521	730645815	8294
730649408	730654640	5232
730692554	730700349	7795
730701152	730713293	12141
730719915	730721661	1746
730724069	730739714	15645
730743361	730753707	10346
730758409	730761317	2908
730762256	730763248	992
730766095	730767661	1566
730770296	730777693	7397
730786356	730791251	4895
730792898	730805829	12931
730807515	730808328	813
730809548	730815556	6008
730816375	730818924	2549
730821435	730825621	4186
730829915	730834185	4270
730835031	730838612	3581
730839120	730845645	6525
730848715	730851545	2830
730857536	730870738	13202
730871137	730872508	1371
730872912	730880279	7367
730880436	730883901	3465
730884221	730884826	605
730885265	730892673	7408
730898483	730899994	1511
730900459	730903313	2854
730903878	730910556	6678
730917897	730923587	5690
730924941	730926006	1065
730931113	730936901	5788
730937500	730939666	2166
730950379	730951543	1164
730953888	730955410	1522
730955670	730957993	2323
730973365	730974609	1244
730979970	730981699	1729
730983435	730987092	3657
730987957	730998447	10490
731000717	731005363	4646
731007656	731013497	5841
731014799	731017236	2437
731048054	731051536	3482
731052460	731053070	610
731053163	731053776	613
731055060	731058856	3796
731061515	731072505	10990
731075064	731079694	4630
731081864	731089409	7545
731092316	731103814	11498
731124806	731137158	12352
731137902	731143523	5621
731143984	731164944	20960
731166756	731171233	4477
731172061	731181269	9208
731183046	731204503	21457
731206515	731249536	43021
731251592	731256829	5237
731285824	731289210	3386
731312012	731320218	8206
731320678	731335179	14501
731336148	731339355	3207
731342133	731348823	6690
731350380	731355228	4848
731366843	731367852	1009
731368572	731370458	1886
731379045	731389303	10258
731415096	731417854	2758
731422129	731422797	668
731425804	731431451	5647
731510284	731512593	2309
731544538	731546441	1903
731560921	731563300	2379
731563409	731565078	1669
731654691	731655428	737
731656863	731658348	1485
731674509	731675620	1111
731678251	731682168	3917
731683714	731687851	4137
731688794	731692602	3808
731695291	731698565	3274
731716967	731717736	769
731732435	731733627	1192
731738187	731743210	5023
731754700	731759260	4560
731849042	731851694	2652
731859941	731862101	2160
