# link: https://git.ligo.org/extreme-matter/eos-models-in-lal-and-bilby/eos_tables/-/blob/main/Modified_tables/eos_Crust_BsK24_nbmin_1e-11_core_GMSR_LN55_interpolated.d
# SHA: 2e3690ed9867cb3bc16a62a46657112b7a8a42bd
#
# Model Crust_BsK24_nbmin_1e-11_core_GMSR_LS
# Model computed at temperature 0.0  MeV
#
#1000	number of points in H
# This table has been interpolated from the original one in H
#  n_B [1/fm^3]   eps[g/cm^3]   P[dyn/cm^2] mu_B [MeV] mu_e [MeV] log-enthalpy H [dimensionless] Y_e+Y_mu[dimensionless] cs2[speed of sound squared]
#
0	1.0015396354520298e-11	1.6586122468902155e+04	1.6736726261730990e+19	9.3041428045287444e+02	9.4999999999999996e-01	1.0000000000000000e-10	4.6428571428571430e-01	2.2362879491571580e-06
1	1.0000010562307256e-11	1.6586139987699633e+04	1.6741666711644674e+19	9.3041428045527402e+02	9.4999999999999996e-01	1.0230888773190071e-10	4.6428571428571430e-01	2.2362889674970982e-06
2	1.0000021368486345e-11	1.6586157910986476e+04	1.6746608619910838e+19	9.3041428045772886e+02	9.4999999999999996e-01	1.0467108508938666e-10	4.6428571428571430e-01	2.2362900093493648e-06
3	1.0000032424167977e-11	1.6586176248101896e+04	1.6751551986959913e+19	9.3041428046024055e+02	9.4999999999999996e-01	1.0708782293186289e-10	4.6428571428571430e-01	2.2362910752568306e-06
4	1.0000043735112885e-11	1.6586195008600720e+04	1.6756496813222633e+19	9.3041428046281010e+02	9.4999999999999996e-01	1.0956036053789626e-10	4.6428571428571430e-01	2.2362921657749025e-06
5	1.0000055307214814e-11	1.6586214202258401e+04	1.6761443099129498e+19	9.3041428046543911e+02	9.4999999999999996e-01	1.1208998626138197e-10	4.6428571428571430e-01	2.2362932814718128e-06
6	1.0000067146503583e-11	1.6586233839076089e+04	1.6766390845111491e+19	9.3041428046812871e+02	9.4999999999999996e-01	1.1467801820285983e-10	4.6428571428571430e-01	2.2362944229289122e-06
7	1.0000079259148238e-11	1.6586253929285853e+04	1.6771340051599610e+19	9.3041428047088050e+02	9.4999999999999996e-01	1.1732580489633255e-10	4.6428571428571430e-01	2.2362955907409747e-06
8	1.0000091651460260e-11	1.6586274483356003e+04	1.6776290719024976e+19	9.3041428047369573e+02	9.4999999999999996e-01	1.2003472601193779e-10	4.6428571428571430e-01	2.2362967855165065e-06
9	1.0000104329896855e-11	1.6586295511996559e+04	1.6781242847818834e+19	9.3041428047657598e+02	9.4999999999999996e-01	1.2280619307484809e-10	4.6428571428571430e-01	2.2362980078780637e-06
10	1.0000117301064316e-11	1.6586317026164816e+04	1.6786196438412564e+19	9.3041428047952274e+02	9.4999999999999996e-01	1.2564165020076759e-10	4.6428571428571430e-01	2.2362992584625771e-06
11	1.0000130571721471e-11	1.6586339037071066e+04	1.6791151491237665e+19	9.3041428048253761e+02	9.4999999999999996e-01	1.2854257484841075e-10	4.6428571428571430e-01	2.2363005379216830e-06
12	1.0000144148783201e-11	1.6586361556184427e+04	1.6796108006725769e+19	9.3041428048562204e+02	9.4999999999999996e-01	1.3151047858935504e-10	4.6428571428571430e-01	2.2363018469220629e-06
13	1.0000158039324044e-11	1.6586384595238836e+04	1.6801065985308756e+19	9.3041428048877765e+02	9.4999999999999996e-01	1.3454690789566860e-10	4.6428571428571430e-01	2.2363031861457926e-06
14	1.0000172250581880e-11	1.6586408166239144e+04	1.6806025427418270e+19	9.3041428049200624e+02	9.4999999999999996e-01	1.3765344494572349e-10	4.6428571428571430e-01	2.2363045562906942e-06
15	1.0000186789961705e-11	1.6586432281467391e+04	1.6810986333486440e+19	9.3041428049530919e+02	9.4999999999999996e-01	1.4083170844861404e-10	4.6428571428571430e-01	2.2363059580707034e-06
16	1.0000201665039487e-11	1.6586456953489178e+04	1.6815948703945415e+19	9.3041428049868853e+02	9.4999999999999996e-01	1.4408335448760978e-10	4.6428571428571430e-01	2.2363073922162393e-06
17	1.0000216883566115e-11	1.6586482195160253e+04	1.6820912539227453e+19	9.3041428050214586e+02	9.4999999999999996e-01	1.4741007738308525e-10	4.6428571428571430e-01	2.2363088594745859e-06
18	1.0000232453471439e-11	1.6586508019633173e+04	1.6825877839764957e+19	9.3041428050568300e+02	9.4999999999999996e-01	1.5081361057536871e-10	4.6428571428571430e-01	2.2363103606102800e-06
19	1.0000248382868395e-11	1.6586534440364183e+04	1.6830844605990447e+19	9.3041428050930188e+02	9.4999999999999996e-01	1.5429572752797995e-10	4.6428571428571430e-01	2.2363118964055120e-06
20	1.0000264680057243e-11	1.6586561471120211e+04	1.6835812838336573e+19	9.3041428051300420e+02	9.4999999999999996e-01	1.5785824265172047e-10	4.6428571428571430e-01	2.2363134676605319e-06
21	1.0000281353529885e-11	1.6586589125986044e+04	1.6840782537236238e+19	9.3041428051679213e+02	9.4999999999999996e-01	1.6150301225010014e-10	4.6428571428571430e-01	2.2363150751940661e-06
22	1.0000298411974293e-11	1.6586617419371683e+04	1.6845753703122102e+19	9.3041428052066749e+02	9.4999999999999996e-01	1.6523193548659287e-10	4.6428571428571430e-01	2.2363167198437450e-06
23	1.0000315864279030e-11	1.6586646366019831e+04	1.6850726336427321e+19	9.3041428052463220e+02	9.4999999999999996e-01	1.6904695537422494e-10	4.6428571428571430e-01	2.2363184024665383e-06
24	1.0000333719537890e-11	1.6586675981013592e+04	1.6855700437585060e+19	9.3041428052868855e+02	9.4999999999999996e-01	1.7295005978801216e-10	4.6428571428571430e-01	2.2363201239392032e-06
