# link: https://git.ligo.org/extreme-matter/eos-models-in-lal-and-bilby/eos_tables/-/blob/main/Modified_tables/eos_Crust_metaModel_nbmin_1e-11_core_ABHT_QMC-RMF1.d
# SHA: 5d3adeeba0f6e56cdc258cb8f3f356cf8af061e4
#
# Model eos_Crust_metaModel_nbmin_1e-11_core_ABHT_QMC-RMF1.d
# Model Computed at temperature 0.0 MeV
#1874 	 number of points
#
# n_B [1/fm^3] 	 eps[g/cm^3] 	 P[dyn/cm^2] 	 mu_B [MeV] 	 mu_e [MeV] 	 log-enthalpy H [dimensionless] 	 Y_e+Y_mu[dimensionless] 	 cs2[speed of sound squared]
0 	 1.0000047127376015e-11 	 1.6585203401999999e+04 	 2.0089366367032472e+19 	 9.3036293384999999e+02 	 5.2072116266000001e-01 	 1.0000000000000000e-10 	 4.4158072645000002e-01 	 2.4109081519990149e-06
1 	 1.0200048069871812e-11 	 1.6916907925000000e+04 	 2.0808109096792515e+19 	 9.3036297825999998e+02 	 5.2084913236999997e-01 	 4.7845435961695704e-08 	 4.4158007287000001e-01 	 2.4285489434169315e-06
2 	 1.0404049031467250e-11 	 1.7255246555000002e+04 	 2.1552062553337180e+19 	 9.3036302334000004e+02 	 5.2097877037999996e-01 	 9.6287945682407191e-08 	 4.4157941010000001e-01 	 2.4644220981898107e-06
3 	 1.0612130011936292e-11 	 1.7600351974000001e+04 	 2.2322097256910086e+19 	 9.3036306907000005e+02 	 5.2111009800999997e-01 	 1.4545433447280767e-07 	 4.4157873801999997e-01 	 2.5007805129660532e-06
4 	 1.0824372612221883e-11 	 1.7952359519000001e+04 	 2.3119113360011690e+19 	 9.3036311549000004e+02 	 5.2124313687000001e-01 	 1.9533676756376636e-07 	 4.4157805649999998e-01 	 2.5376303699598844e-06
5 	 1.1040860064449303e-11 	 1.8311407233000002e+04 	 2.3944041728868516e+19 	 9.3036316257999999e+02 	 5.2137790880000001e-01 	 2.4596279673584674e-07 	 4.4157736543999998e-01 	 2.5749778113359282e-06
6 	 1.1261677265849230e-11 	 1.8677635920000001e+04 	 2.4797844813415088e+19 	 9.3036321037000005e+02 	 5.2151443593000002e-01 	 2.9732432215750739e-07 	 4.4157666470000001e-01 	 2.6128290760107944e-06
7 	 1.1486910811130849e-11 	 1.9051189200000001e+04 	 2.5681517895389499e+19 	 9.3036325885999997e+02 	 5.2165274066000000e-01 	 3.4944965771989237e-07 	 4.4157595412000000e-01 	 2.6511905339114350e-06
8 	 1.1716649027664479e-11 	 1.9432213565999999e+04 	 2.6596090038424179e+19 	 9.3036330807000002e+02 	 5.2179284564999995e-01 	 4.0233043413445813e-07 	 4.4157523363000001e-01 	 2.6900685109264205e-06
9 	 1.1950982007799051e-11 	 1.9820858439000000e+04 	 2.7542625296087077e+19 	 9.3036335799000005e+02 	 5.2193477385999998e-01 	 4.5599574434590398e-07 	 4.4157450304000001e-01 	 2.7294695439973458e-06
10 	 1.2190001648322799e-11 	 2.0217276232000000e+04 	 2.8522223913514099e+19 	 9.3036340863999999e+02 	 5.2207854851000002e-01 	 5.1043694257699607e-07 	 4.4157376227000000e-01 	 2.7694001154646863e-06
11 	 1.2433801680912337e-11 	 2.0621622402000001e+04 	 2.9536023415287103e+19 	 9.3036346003999995e+02 	 5.2222419311000001e-01 	 5.6568392107169324e-07 	 4.4157301107000002e-01 	 2.8098669637046769e-06
12 	 1.2682477714669533e-11 	 2.1034055519000001e+04 	 3.0585200121092944e+19 	 9.3036351219000005e+02 	 5.2237173146000004e-01 	 6.2172775111805860e-07 	 4.4157224956000002e-01 	 2.8508766738904049e-06
13 	 1.2936127268918721e-11 	 2.1454737322000001e+04 	 3.1670970004490170e+19 	 9.3036356508999995e+02 	 5.2252118764000000e-01 	 6.7859914289928663e-07 	 4.4157147735000002e-01 	 2.8924359148187260e-06
14 	 1.3194849814603331e-11 	 2.1883832785999999e+04 	 3.2794590476131623e+19 	 9.3036361877000002e+02 	 5.2267258602000000e-01 	 7.3628886742170700e-07 	 4.4157069439000002e-01 	 2.9345517119128454e-06
15 	 1.3458746810632733e-11 	 2.2321510183999999e+04 	 3.3957361519707656e+19 	 9.3036367323000002e+02 	 5.2282595128999998e-01 	 7.9482848483734203e-07 	 4.4156990053000000e-01 	 2.9772308958690905e-06
16 	 1.3727921746554998e-11 	 2.2767941156000001e+04 	 3.5160627165948637e+19 	 9.3036372847999996e+02 	 5.2298130841000001e-01 	 8.5420845729273552e-07 	 4.4156909564000002e-01 	 3.0204804359595109e-06
17 	 1.4002480181845675e-11 	 2.3223300776000000e+04 	 3.6405776969831834e+19 	 9.3036378452999998e+02 	 5.2313868266999997e-01 	 9.1446120837718196e-07 	 4.4156827956000000e-01 	 3.0643074639772076e-06
18 	 1.4282529785640912e-11 	 2.3687767616000001e+04 	 3.7694247585521000e+19 	 9.3036384138999995e+02 	 5.2329809962999996e-01 	 9.7557688765796793e-07 	 4.4156745215999998e-01 	 3.1087190989030210e-06
19 	 1.4568180380771981e-11 	 2.4161523820999999e+04 	 3.9027524209927569e+19 	 9.3036389908000001e+02 	 5.2345958519000002e-01 	 1.0375888029316916e-06 	 4.4156661329000002e-01 	 3.1537225373031970e-06
20 	 1.4859543989005244e-11 	 2.4644755182000001e+04 	 4.0407142356320150e+19 	 9.3036395761000006e+02 	 5.2362316555999999e-01 	 1.1004867790091968e-06 	 4.4156576279999998e-01 	 3.1993250554719743e-06
