# link: https://git.ligo.org/extreme-matter/eos-models-in-lal-and-bilby/eos_tables/-/blob/main/Modified_tables/eos_Crust_BsK24_nbmin_1e-11_core_XMLSLZ_NL3_modified.d
# SHA: 2e3690ed9867cb3bc16a62a46657112b7a8a42bd
#
# Model Crust_BsK24_nbmin_1e-11_core_XMLSLZ_NL3
# Model computed at temperature 0.0  MeV
#
#1220	number of points
#
#  n_B [1/fm^3]   eps[g/cm^3]   P[dyn/cm^2] mu_B [MeV] mu_e [MeV] log-enthalpy H [dimensionless] Y_e+Y_mu[dimensionless] cs2[speed of sound squared]
#
0	1.0000277604598038e-11	1.6586122468902155e+04	1.6736726261730990e+19	9.3041428045287444e+02	9.4999999999999996e-01		1.0000000000000000e-10	4.6428571428571430e-01	2.2668030651801529e-06
1	1.0787607443037841e-11	1.7891962713257999e+04	1.9397115889571701e+19	9.3041445884631128e+02	9.4999999999999996e-01		1.7205453159074403e-07	4.6428571428571430e-01	2.3421417091460509e-06
2	1.1636924399541444e-11	1.9300613062577795e+04	2.2465232334597919e+19	9.3041464873865948e+02	9.4999999999999996e-01		3.5538789637272457e-07	4.6428571428571430e-01	2.5031545408274672e-06
3	1.2553108758440256e-11	2.0820167878023280e+04	2.6001289359112102e+19	9.3041485076360118e+02	9.4999999999999996e-01		5.5179686862750596e-07	4.6428571428571430e-01	2.6735268322718000e-06
4	1.3541425057976562e-11	2.2459358801981180e+04	3.0074065763251061e+19	9.3041506558292542e+02	9.4999999999999996e-01		7.6093853088612542e-07	4.6428571428571430e-01	2.8536904276418667e-06
5	1.4607552288795455e-11	2.4227604932516530e+04	3.4762078516346429e+19	9.3041529388743493e+02	9.4999999999999996e-01		9.8470989419356394e-07	4.6428571428571430e-01	3.0440907868659824e-06
6	1.5757616586265115e-11	2.6135066948207146e+04	4.0154910599816987e+19	9.3041553639787242e+02	9.4999999999999996e-01		1.2226934956691920e-06	4.6428571428571430e-01	3.2451871196877919e-06
7	1.6998226363187832e-11	2.8192705494390961e+04	4.6354713211534311e+19	9.3041579386586398e+02	9.4999999999999996e-01		1.4770057106732825e-06	4.6428571428571430e-01	3.4574525092052665e-06
8	1.8336510361715290e-11	3.0412344166344785e+04	5.3477904386684649e+19	9.3041606707488302e+02	9.4999999999999996e-01		1.7471431091122763e-06	4.6428571428571430e-01	3.6813740246136278e-06
9	1.9780158525462396e-11	3.2806737451334338e+04	6.1657088779237695e+19	9.3041635684123264e+02	9.4999999999999996e-01		2.0354619097312432e-06	4.6428571428571430e-01	3.9174528228941495e-06
10	2.1337466290826866e-11	3.5389644019970627e+04	7.1043226353616093e+19	9.3041666401504881e+02	9.4999999999999996e-01		2.3413600507213102e-06	4.6428571428571430e-01	4.1662042392053791e-06
11	2.3017382134811967e-11	3.8175905788049378e+04	8.1808081093967266e+19	9.3041698948132114e+02	9.4999999999999996e-01		2.6674554800183062e-06	4.6428571428571430e-01	4.4281578657657044e-06
12	2.4829559130283173e-11	4.1181533203215848e+04	9.4146984588679856e+19	9.3041733416093564e+02	9.4999999999999996e-01		3.0130335147047022e-06	4.6428571428571430e-01	4.7038576190435973e-06
13	2.6784410258216102e-11	4.4423797246567374e+04	1.0828195353457266e+20	9.3041769901173677e+02	9.4999999999999996e-01		3.3809971793885958e-06	4.6428571428571430e-01	4.9938617950915195e-06
14	2.8893168420028508e-11	4.7921328677899837e+04	1.2446520487793698e+20	9.3041808502960839e+02	9.4999999999999996e-01		3.7705037728782468e-06	4.6428571428571430e-01	5.2987431128962188e-06
15	3.1167950780102694e-11	5.1694225094929869e+04	1.4298311752273225e+20	9.3041849324957616e+02	9.4999999999999996e-01		4.1847662601594101e-06	4.6428571428571430e-01	5.6190887456381625e-06
16	3.3621828624773347e-11	5.5764166421737318e+04	1.6416069535036051e+20	9.3041892474692850e+02	9.4999999999999996e-01		4.6227970336222852e-06	4.6428571428571430e-01	5.9555003397913774e-06
17	3.6268902206827213e-11	6.0154539490110466e+04	1.8836659277764130e+20	9.3041938063835664e+02	9.4999999999999996e-01		5.0881454326107032e-06	4.6428571428571430e-01	6.3085940220156461e-06
18	3.9124382069624140e-11	6.4890572429739630e+04	2.1601877130417802e+20	9.3041986208311482e+02	9.4999999999999996e-01		5.5796604808202785e-06	4.6428571428571430e-01	6.6790003938225257e-06
19	4.2204676104477369e-11	6.9999479639571757e+04	2.4759086354979704e+20	9.3042037028419759e+02	9.4999999999999996e-01		6.1012559496653585e-06	4.6428571428571430e-01	7.0673645140392821e-06
20	4.5527484225122223e-11	7.5510618173459108e+04	2.8361933024846047e+20	9.3042090648953570e+02	9.4999999999999996e-01		6.6515973750082318e-06	4.6428571428571430e-01	7.4743458691119795e-06
21	4.9111899626809198e-11	8.1455656438829421e+04	3.2471150564793601e+20	9.3042147199320698e+02	9.4999999999999996e-01		7.2349926945518040e-06	4.6428571428571430e-01	7.9006183313238248e-06
22	5.2978519007199520e-11	8.7868756177871357e+04	3.7155463787684895e+20	9.3042206813666587e+02	9.4999999999999996e-01		7.8499020983996935e-06	4.6428571428571430e-01	8.3468701050385340e-06
23	5.7149560338883899e-11	9.4786768777075209e+04	4.2492604320634955e+20	9.3042269630998555e+02	9.4999999999999996e-01		8.5010591532781895e-06	4.6428571428571430e-01	8.8138036611088173e-06
24	6.1648991195118588e-11	1.0224944703331254e+05	4.8570450688983158e+20	9.3042335795311226e+02	9.4999999999999996e-01		9.1866950260674620e-06	4.6428571428571430e-01	9.3021356596139474e-06
