# link: https://git.ligo.org/extreme-matter/eos-models-in-lal-and-bilby/eos_tables/-/blob/main/Modified_tables/eos_Crust_BsK24_nbmin_1e-11_core_XMLSLZ_DDLZ1_modified.d
# SHA: 2e3690ed9867cb3bc16a62a46657112b7a8a42bd
#
# Model Crust_BsK24_nbmin_1e-11_core_XMLSLZ_DDLZ1
# Model computed at temperature 0.0  MeV
#
#1217	number of points
#
#  n_B [1/fm^3]   eps[g/cm^3]   P[dyn/cm^2] mu_B [MeV] mu_e [MeV] log-enthalpy H [dimensionless] Y_e+Y_mu[dimensionless] cs2[speed of sound squared]
#
0	9.9994727146309513e-12	1.6586122468902155e+04	1.6736726261730990e+19	9.3041428045287444e+02	9.4999999999999996e-01		1.0000000000000000e-10	4.6428571428571430e-01	2.2704814232190145e-06
1	1.0824941601086016e-11	1.7955329135174776e+04	1.9530738883584324e+19	9.3041446744421660e+02	9.4999999999999996e-01		1.8038467148120803e-07	4.6428571428571430e-01	2.3494042807285298e-06
2	1.1718553981786846e-11	1.9437565798984757e+04	2.2774357629130088e+19	9.3041466706428514e+02	9.4999999999999996e-01		3.7314262973493774e-07	4.6428571428571430e-01	2.5185965208559895e-06
3	1.2685935174055884e-11	2.1042163272795377e+04	2.6537283433327665e+19	9.3041488004188068e+02	9.4999999999999996e-01		5.8032795963427443e-07	4.6428571428571430e-01	2.6980851206334967e-06
4	1.3733174901540805e-11	2.2779222646171933e+04	3.0899622572967805e+19	9.3041510713963453e+02	9.4999999999999996e-01		8.0154188396327198e-07	4.6428571428571430e-01	2.8883670217707922e-06
5	1.4866865568255034e-11	2.4659678874126646e+04	3.5953382101905068e+19	9.3041534915515217e+02	9.4999999999999996e-01		1.0389801983719738e-06	4.6428571428571430e-01	3.0899555284736910e-06
6	1.6094143828590031e-11	2.6695369614903087e+04	4.1804172183143457e+19	9.3041560692217706e+02	9.4999999999999996e-01		1.2921534781349869e-06	4.6428571428571430e-01	3.3033804736866585e-06
7	1.7422735431381066e-11	2.8899109750568572e+04	4.8573142880812253e+19	9.3041588131178457e+02	9.4999999999999996e-01		1.5635234027645619e-06	4.6428571428571430e-01	3.5291883714502618e-06
8	1.8861003947873922e-11	3.1284772059558225e+04	5.6399186513167057e+19	9.3041617323359571e+02	9.4999999999999996e-01		1.8524953818809476e-06	4.6428571428571430e-01	3.7679425549875167e-06
9	2.0418003312269803e-11	3.3867374549049084e+04	6.5441440643876717e+19	9.3041648363702132e+02	9.4999999999999996e-01		2.1618229372570401e-06	4.6428571428571430e-01	4.0202233001609891e-06
10	2.2103534941683578e-11	3.6663174996969334e+04	7.5882131255509697e+19	9.3041681351252771e+02	9.4999999999999996e-01		2.4907901462449001e-06	4.6428571428571430e-01	4.2866279339883885e-06
11	2.3928209292387543e-11	3.9689773298838365e+04	8.7929800664747655e+19	9.3041716389293140e+02	9.4999999999999996e-01		2.8424701925766780e-06	4.6428571428571430e-01	4.5677709279362490e-06
12	2.5903512818956011e-11	4.2966222263775097e+04	1.0182297036870033e+20	9.3041753585471849e+02	9.4999999999999996e-01		3.2160078929427291e-06	4.6428571428571430e-01	4.8642839757495989e-06
13	2.8041880091087007e-11	4.6513147557204640e+04	1.1783429532848390e+20	9.3041793051939146e+02	9.4999999999999996e-01		3.6148258495955567e-06	4.6428571428571430e-01	5.1768160556090493e-06
14	3.0356772289212512e-11	5.0352877545380114e+04	1.3627527328105423e+20	9.3041834905483984e+02	9.4999999999999996e-01		4.0379098141761381e-06	4.6428571428571430e-01	5.5060334764644453e-06
15	3.2862761690912430e-11	5.4509583859182952e+04	1.5750158061376625e+20	9.3041879267673971e+02	9.4999999999999996e-01		4.4890635758476899e-06	4.6428571428571430e-01	5.8526199084187166e-06
16	3.5575623693704566e-11	5.9009433562150552e+04	1.8191911523849644e+20	9.3041926264997619e+02	9.4999999999999996e-01		4.9670920262571125e-06	4.6428571428571430e-01	6.2172763970781494e-06
17	3.8512435789214723e-11	6.3880753880740929e+04	2.0999083687622885e+20	9.3041976029009334e+02	9.4999999999999996e-01		5.4762139959169744e-06	4.6428571428571430e-01	6.6007213618444182e-06
18	4.1691685448183320e-11	6.9154210533943173e+04	2.4224450633320556e+20	9.3042028696476621e+02	9.4999999999999996e-01		6.0150296166315968e-06	4.6428571428571430e-01	7.0036905781464256e-06
19	4.5133386062353773e-11	7.4863000784960648e+04	2.7928143785539610e+20	9.3042084409529707e+02	9.4999999999999996e-01		6.5882087740726074e-06	4.6428571428571430e-01	7.4269371436729725e-06
20	4.8859203430818002e-11	8.1043062430393315e+04	3.2178639264404223e+20	9.3042143315813553e+02	9.4999999999999996e-01		7.1941207218897966e-06	4.6428571428571430e-01	7.8712314286937981e-06
21	5.2892591572946646e-11	8.7733300042685863e+04	3.7053875727321471e+20	9.3042205568641657e+02	9.4999999999999996e-01		7.8379246463956370e-06	4.6428571428571430e-01	8.3373610106123157e-06
22	5.7258941029456968e-11	9.4975829890250679e+04	4.2642516826309460e+20	9.3042271327152105e+02	9.4999999999999996e-01		8.5177304740984456e-06	4.6428571428571430e-01	8.8261305929404023e-06
23	6.1985737945065326e-11	1.0281624507726938e+05	4.9045376364221845e+20	9.3042340756465103e+02	9.4999999999999996e-01		9.2392272402690728e-06	4.6428571428571430e-01	9.3383619089119078e-06
24	6.7102737954346270e-11	1.1130390257248843e+05	5.6377026421590799e+20	9.3042414027842210e+02	9.4999999999999996e-01		1.0000234654305314e-05	4.6428571428571430e-01	9.8748936100257121e-06
