258	870177827	870178075	248	
259	870178386	870180980	2594	
260	870183283	870183592	309	
261	870183903	870194880	10977	
262	870211722	870212080	358	
263	870213770	870220720	6950	
264	870229870	870264940	35070	
265	870267060	870334225	67165	
266	870334536	870335017	481	
267	870336085	870344870	8785	
268	870345390	870378460	33070	
269	870380210	870383170	2960	
270	870383190	870383200	10	
271	870383240	870383280	40	
272	870385300	870387439	2139	
273	870387750	870393580	5830	
274	870393610	870395460	1850	
275	870397074	870397250	176	
276	870399380	870451047	51667	
277	870451358	870456476	5118	
278	870456787	870473312	16525	
279	870473623	870479657	6034	
280	870479968	870483520	3552	
281	870486280	870495371	9091	
282	870495682	870538010	42328	
283	870538321	870589805	51484	
284	870613230	870613640	410	
285	870613660	870617203	3543	
286	870617980	870628710	10730
