# Veto file created Thu Apr 24 18:31:02 PDT 2008 by kipp on ldas-pcdev1.ligo.caltech.edu
# Input: S4H1H2L1v11_segs.txt (run S4, ifos H1H2L1, version 11)
# Don't analyze data with the following flags: H1:ADC_OVERFLOW H1:INJECTION_BURST H1:INJECTION_INSPIRAL H1:INJECTION_PULSTART H1:INJECTION_STOCHASTIC H1:JET H1:OUTSIDE_S4 H1:PRELOCKLOSS_30 H1:RDS_C04_LX_HFHTDIFF_GT_10_PERCENT H1:SEISMIC_0D9_1D1 H2:ADC_OVERFLOW H2:INJECTION_BURST H2:INJECTION_INSPIRAL H2:INJECTION_PULSTART H2:INJECTION_STOCHASTIC H2:JET H2:OUTSIDE_S4 H2:PRELOCKLOSS_30 H2:RDS_C04_LX_HFHTDIFF_GT_10_PERCENT H2:SEISMIC_0D9_1D1 H2:WIND_OVER_30MPH L1:ADC_OVERFLOW L1:INJECTION_BURST L1:INJECTION_INSPIRAL L1:INJECTION_PULSTART L1:INJECTION_STOCHASTIC L1:NO_DATA L1:NO_RDS L1:OUT_OF_LOCK L1:OUTSIDE_S4 L1:PRELOCKLOSS_30 L1:RDS_C04_LX_HFHTDIFF_GT_10_PERCENT
# Analyze but then veto data with the following flags: H1:ASDC_LOW_THRESH H1:CALIB_LINE_DROPOUT H1:LIGHTDIP_04PERCENT H2:CALIB_LINE_DROPOUT H2:LIGHTDIP_05PERCENT L1:ASDC_LOW_THRESH L1:CALIB_LINE_DROPOUT L1:LIGHTDIP_05PERCENT
# Total analyzed data to be vetoed: 36296
# start      stop
793223334 793223336
793223339 793223341
793223484 793223486
793223496 793223499
793223501 793223503
793223720 793223722
793223790 793223794
793223823 793223825
793224096 793224098
793224141 793224144
793224328 793224330
793224347 793224349
793224508 793224510
793224518 793224520
793224593 793224596
793224630 793224632
793224644 793224646
793224674 793224676
793224696 793224698
793224715 793224717
793224737 793224739
793224755 793224757
793224767 793224770
793228952 793228954
793228967 793228969
793228975 793228977
793228984 793228986
793229009 793229011
793229023 793229025
793229034 793229039
793229042 793229044
793229102 793229104
793229110 793229112
793229142 793229144
793229155 793229157
793229161 793229166
793229168 793229172
793229175 793229177
793229179 793229181
793229182 793229185
793229198 793229200
793229202 793229205
793229220 793229223
793229248 793229250
793229252 793229255
793229271 793229277
793229278 793229280
793229284 793229286
793229317 793229319
793229327 793229329
793229339 793229341
793229379 793229383
793229470 793229472
793229516 793229518
793229528 793229530
793229541 793229543
793229545 793229548
793229592 793229595
793231432 793231435
793231563 793231565
793231608 793231611
793231628 793231630
793231661 793231663
793231673 793231675
793231680 793231686
793231688 793231692
793231696 793231698
793231707 793231709
793231715 793231717
793231720 793231722
793231726 793231728
793231730 793231732
793231738 793231741
793231745 793231747
793231785 793231787
793231791 793231793
793231797 793231800
793231811 793231813
793231843 793231845
793231865 793231868
793231880 793231883
793231886 793231889
793231891 793231893
793231894 793231897
793231952 793231955
793231973 793231975
793232052 793232054
793232055 793232057
793232165 793232167
793232470 793232472
793232824 793232826
793232945 793232947
793232968 793232970
793233007 793233009
793233014 793233016
793233020 793233022
793233029 793233031
793233039 793233045
793233053 793233055
793233059 793233062
793233065 793233067
793233068 793233070
793233111 793233113
793233118 793233120
793233121 793233123
793233147 793233149
793233150 793233152
793233158 793233161
793233170 793233174
793233177 793233179
793233192 793233195
793233208 793233210
793233218 793233220
793233225 793233228
793233230 793233233
793233241 793233243
793233245 793233248
793235113 793235115
793235145 793235154
793235158 793235161
793235264 793235267
793235444 793235446
793235473 793235475
793235489 793235492
793235515 793235517
793235521 793235523
793235662 793235666
793235673 793235676
793235691 793235694
793235696 793235698
793235702 793235704
793235729 793235731
793235734 793235736
793235740 793235742
793235749 793235751
793235754 793235759
793235764 793235767
793235770 793235775
793235777 793235780
793235786 793235789
793235793 793235797
793235800 793235805
793235807 793235812
793235814 793235819
793235823 793235827
793235842 793235844
793235848 793235850
793235854 793235858
793235865 793235869
793235871 793235874
793235877 793235879
793235884 793235889
793235894 793235896
793235899 793235902
793235918 793235920
793235930 793235932
793235939 793235943
793235949 793235951
793235953 793235955
793235959 793235962
793235990 793235992
793236165 793236168
793236344 793236347
793239378 793239381
793239383 793239385
793239476 793239478
793239505 793239507
793239518 793239521
793239525 793239527
793239528 793239533
793239534 793239536
793239537 793239539
793239549 793239552
793239554 793239558
793239561 793239563
793246728 793246731
793247431 793247433
793247479 793247481
793247482 793247484
793247498 793247500
793247505 793247508
793247509 793247511
793247532 793247535
793247536 793247538
793247550 793247552
793247563 793247565
793247570 793247572
793247580 793247582
793247593 793247595
793247599 793247604
793247606 793247610
793247619 793247621
793247622 793247624
793247629 793247631
793247632 793247634
793247644 793247647
793247649 793247651
793247655 793247657
793247658 793247660
793247812 793247814
793248700 793248702
793248803 793248805
793248812 793248819
793248821 793248824
793248830 793248833
793248862 793248864
793248867 793248869
793248886 793248896
793248899 793248901
793248902 793248911
793248914 793248916
793248918 793248922
793248925 793248927
793248931 793248933
793248942 793248944
793248948 793248950
793248959 793248961
793248962 793248966
793248967 793248969
793248984 793248988
793248990 793248993
793248998 793249001
793249004 793249007
793249010 793249012
793249018 793249020
793249029 793249031
793249048 793249050
793249111 793249113
793250295 793250299
793250327 793250329
793250335 793250338
793250348 793250351
793250381 793250383
793250385 793250387
793250390 793250392
793250408 793250411
793250413 793250416
793250428 793250431
793250433 793250437
793250443 793250445
793250463 793250465
793250470 793250472
793251547 793251549
793251652 793251654
793251675 793251677
793251689 793251691
793251703 793251706
793251716 793251718
793251723 793251727
793251730 793251734
793251737 793251740
793251750 793251752
793251761 793251763
793251772 793251774
793251780 793251783
793251788 793251793
793251795 793251798
793251800 793251804
793251806 793251816
793251826 793251829
793251860 793251864
793251865 793251869
793251873 793251876
793251877 793251884
793251886 793251888
793251898 793251901
793251914 793251917
793251922 793251925
793251926 793251928
793251934 793251940
793251943 793251946
793251948 793251950
793251964 793251966
793251972 793251974
793252035 793252037
793252040 793252045
793252046 793252048
793252087 793252090
793252955 793252958
793253230 793253232
793253245 793253250
793253253 793253255
793253263 793253266
793253273 793253275
793253322 793253324
793253345 793253347
793253348 793253350
793253353 793253365
793253366 793253368
793253372 793253374
793253376 793253378
793253387 793253405
793253438 793253440
793253489 793253491
793253494 793253498
793253564 793253566
793253572 793253574
793253620 793253623
793253640 793253642
793253649 793253651
793254584 793254586
793254588 793254590
793254593 793254595
793254598 793254614
793254618 793254620
793254623 793254635
793254636 793254642
793254643 793254648
793254649 793254654
793254655 793254660
793254661 793254668
793254669 793254680
793254681 793254687
793254688 793254692
793254693 793254701
793254702 793254719
793254722 793254725
793254728 793254730
793254737 793254739
793254758 793254760
793254808 793254810
793254811 793254813
793254816 793254818
793254902 793254904
793256537 793256539
793256591 793256593
793256632 793256634
793256645 793256648
793256659 793256663
793256698 793256701
793256718 793256721
793256725 793256727
793258230 793258235
793258239 793258242
793258245 793258255
793258313 793258317
793258384 793258388
793258421 793258426
793258437 793258441
793258455 793258458
793258472 793258477
793258509 793258511
793258547 793258550
793258574 793258576
793258580 793258584
793258586 793258588
793258593 793258595
793258600 793258602
793258606 793258608
793258649 793258651
793258653 793258656
793258661 793258663
793258671 793258673
793258694 793258697
793258721 793258724
793258726 793258728
793258729 793258731
793258733 793258735
793258742 793258745
793258786 793258789
793258972 793258975
793259481 793259484
793261895 793261897
793265072 793265074
793265255 793265257
793265268 793265270
793265559 793265563
793267657 793267659
793270822 793270826
793270953 793270955
793270956 793270959
793270965 793270967
793270975 793270979
793270995 793270997
793270999 793271003
793271012 793271017
793271018 793271021
793271022 793271024
793271034 793271039
793271066 793271068
793271071 793271074
793271075 793271078
793271093 793271100
793273046 793273048
793273076 793273078
793273088 793273090
793273109 793273112
793410460 793410462
793410562 793410565
793410603 793410606
793410698 793410700
793410723 793410725
793410727 793410729
793410858 793410861
793412088 793412091
793412142 793412145
793412151 793412155
793412500 793412502
793412632 793412635
793412681 793412683
793413503 793413505
793413585 793413589
793413605 793413609
793413610 793413612
793413625 793413627
793413693 793413696
793413728 793413731
793413837 793413840
793413843 793413846
793414171 793414175
793414211 793414213
793414246 793414250
793414294 793414296
793414299 793414302
793414440 793414443
793414631 793414635
793415304 793415306
793415496 793415499
793415526 793415528
793415562 793415566
793415568 793415571
793415635 793415639
793415737 793415739
793415805 793415808
793415917 793415919
793415939 793415941
793416022 793416024
793416088 793416091
793416351 793416353
793417478 793417480
793417573 793417577
793417579 793417581
793417675 793417678
793417856 793417858
793417945 793417948
793417955 793417957
793417969 793417971
793418443 793418447
793418448 793418450
793418454 793418458
793418740 793418744
793419222 793419224
793419266 793419268
793419472 793419476
793419478 793419480
793419656 793419658
793419707 793419709
793419797 793419800
793419840 793419842
793419875 793419877
793420053 793420057
793420060 793420062
793420266 793420268
793420290 793420294
793420303 793420307
793420341 793420344
793420407 793420411
793420496 793420498
793420505 793420507
793420559 793420562
793420747 793420749
793420756 793420759
793420767 793420770
793420922 793420926
793420934 793420937
793421107 793421109
793421148 793421152
793421189 793421191
793421209 793421212
793421237 793421239
793421305 793421312
793421411 793421413
793421447 793421449
793421577 793421579
793421656 793421658
793421709 793421711
793421715 793421717
793421819 793421822
793422144 793422146
793422287 793422289
793422323 793422325
793422585 793422588
793422649 793422652
793422686 793422688
793422709 793422711
793422712 793422714
793422728 793422730
793422792 793422796
793422835 793422838
793422863 793422865
793422892 793422895
793422917 793422920
793423085 793423087
793423134 793423136
793423160 793423163
793423187 793423189
793423214 793423217
793423290 793423292
793423369 793423373
793423465 793423467
793423759 793423762
793423851 793423854
793424065 793424067
793424074 793424077
793424084 793424086
793424090 793424093
793424094 793424096
793424110 793424113
793424132 793424135
793424137 793424139
793424334 793424337
793424339 793424341
793424348 793424351
793424491 793424493
793424542 793424544
793424565 793424569
793424747 793424749
793424873 793424875
793424970 793424973
793424975 793424979
793424996 793424999
793425024 793425028
793425037 793425039
793425101 793425103
793425120 793425124
793425242 793425244
793425332 793425335
793425542 793425548
793425570 793425572
793425611 793425613
793425621 793425624
793428778 793428781
793428798 793428801
793429079 793429082
793429152 793429154
793429157 793429160
793429164 793429167
793429265 793429267
793429327 793429329
793429383 793429385
793429683 793429685
793429969 793429972
793430155 793430157
793430243 793430246
793430326 793430328
793430376 793430378
793430422 793430424
793430721 793430723
793430773 793430775
793430875 793430878
793430983 793430985
793431035 793431038
793431104 793431106
793431126 793431128
793431179 793431181
793431549 793431552
793431567 793431572
793431761 793431763
793431791 793431793
793431795 793431797
793431925 793431927
793432073 793432076
793432128 793432130
793432203 793432205
793432209 793432212
793432213 793432215
793432285 793432287
793432343 793432345
793432376 793432379
793432388 793432390
793432429 793432431
793432438 793432440
793432446 793432448
793432521 793432523
793432535 793432537
793432761 793432763
793432787 793432790
793432846 793432849
793432940 793432942
793432997 793432999
793433008 793433010
793433019 793433022
793433039 793433042
793433052 793433054
793433274 793433276
793433336 793433338
793433563 793433565
793433592 793433594
793433597 793433599
793433699 793433701
793433796 793433798
793433806 793433808
793433839 793433841
793433846 793433848
793433863 793433865
793433868 793433870
793434135 793434137
793434201 793434208
793434226 793434228
793434272 793434274
793434369 793434372
793434389 793434391
793434415 793434417
793434465 793434468
793434471 793434473
793434688 793434690
793434691 793434694
793434746 793434749
793435050 793435052
793435056 793435058
793435133 793435136
793435152 793435154
793435229 793435231
793435289 793435291
793435328 793435331
793435333 793435337
793435338 793435342
793435343 793435345
793435447 793435449
793435548 793435550
793435551 793435554
793435605 793435607
793435685 793435688
793435773 793435775
793435842 793435845
793435931 793435934
793436012 793436014
793436046 793436048
793436153 793436155
793436316 793436319
793436506 793436509
793436518 793436521
793436544 793436546
793436639 793436641
793436675 793436677
793436684 793436686
793436767 793436769
793436773 793436775
793436794 793436796
793436800 793436802
793436938 793436940
793436943 793436945
793436958 793436961
793437000 793437003
793437062 793437064
793437125 793437127
793437139 793437141
793437205 793437208
793437297 793437300
793437317 793437319
793437343 793437345
793437746 793437748
793437799 793437801
793437880 793437882
793437993 793437995
793438075 793438077
793438167 793438169
793438170 793438172
793438255 793438257
793438356 793438359
793438360 793438363
793438393 793438395
793438421 793438423
793438452 793438457
793438459 793438461
793438481 793438483
793438493 793438495
793438652 793438655
793438688 793438690
793438705 793438707
793438768 793438770
793439114 793439116
793439163 793439165
793439257 793439259
793439269 793439271
793439305 793439307
793439308 793439310
793439350 793439352
793439426 793439428
793439566 793439568
793439579 793439582
793439633 793439635
793439679 793439682
793439782 793439785
793439816 793439818
793439943 793439945
793439979 793439981
793440117 793440119
793440147 793440149
793440196 793440198
793440295 793440298
793440435 793440437
793440573 793440575
793440664 793440666
793440692 793440694
793440702 793440705
793440947 793440952
793440973 793440975
793441007 793441009
793441894 793441897
793441902 793441904
793441947 793441953
793441964 793441967
793441968 793441973
793441979 793441981
793441990 793441992
793441993 793441998
793442016 793442019
793442025 793442027
793442031 793442034
793442038 793442043
793442054 793442056
793442057 793442059
793442068 793442070
793442073 793442075
793442089 793442092
793442106 793442108
793442111 793442113
793442130 793442132
793442134 793442137
793442150 793442152
793442155 793442157
793442172 793442174
793442177 793442179
793442208 793442215
793442227 793442231
793442242 793442245
793442247 793442252
793443033 793443036
793443143 793443145
793443287 793443289
793443290 793443292
793443321 793443323
793443335 793443337
793443364 793443366
793443414 793443416
793443437 793443441
793443515 793443517
793443557 793443559
793443561 793443568
793443635 793443637
793443659 793443661
793443663 793443665
793443668 793443671
793443688 793443691
793443695 793443697
793443701 793443708
793443724 793443732
793443735 793443737
793443748 793443750
793443759 793443769
793443789 793443793
793443799 793443801
793443819 793443822
793443829 793443831
793443833 793443835
793443929 793443931
793444420 793444422
793444426 793444428
793444514 793444516
793444525 793444530
793444531 793444533
793444629 793444631
793444639 793444641
793444681 793444683
793444738 793444741
793444804 793444806
793444932 793444934
793445233 793445235
793449791 793449793
793451433 793451435
793452022 793452025
793453226 793453229
793455454 793455457
793456270 793456274
793456412 793456415
793456753 793456756
793481879 793481882
793481908 793481911
793481925 793481927
793481943 793481945
793482309 793482311
793482624 793482627
793482651 793482654
793482663 793482665
793482698 793482700
793482765 793482768
793482788 793482791
793482953 793482955
793483017 793483022
793483035 793483037
793483275 793483277
793483405 793483408
793483642 793483644
793483724 793483727
793483758 793483760
793483989 793483991
793484107 793484110
793484145 793484147
793488380 793488382
793489260 793489262
793489351 793489353
793489568 793489570
793489932 793489934
793490031 793490033
793490531 793490533
793490667 793490671
793497143 793497146
793501108 793501110
793501129 793501131
793501422 793501424
793501430 793501433
793501438 793501440
793501454 793501457
793501460 793501463
793501520 793501522
793501698 793501700
793501750 793501753
793501806 793501809
793501859 793501861
793501943 793501947
793502011 793502013
793502197 793502199
793502223 793502225
793502252 793502254
793502362 793502364
793502391 793502393
793502499 793502501
793502517 793502519
793502657 793502659
793503110 793503112
793503132 793503134
793503152 793503155
793503164 793503168
793503234 793503236
793503321 793503324
793503345 793503347
793503360 793503362
793503500 793503503
793503669 793503671
793503864 793503866
793503919 793503921
793504155 793504157
793504194 793504196
793504493 793504495
793504497 793504499
793504506 793504509
793504704 793504706
793504780 793504782
793504790 793504793
793504879 793504881
793504882 793504884
793505018 793505024
793505149 793505151
793505259 793505261
793505371 793505373
793505380 793505382
793505495 793505497
793505517 793505520
793505523 793505526
793505540 793505542
793505604 793505606
793505745 793505747
793505798 793505800
793506038 793506041
793506095 793506098
793506250 793506253
793506447 793506449
793506467 793506470
793506817 793506819
793506999 793507002
793507296 793507298
793507299 793507301
793507355 793507357
793507464 793507466
793507710 793507712
793507776 793507779
793507780 793507782
793507792 793507794
793507814 793507816
793507825 793507828
793507897 793507899
793507912 793507914
793508345 793508347
