# Id	q	chi1	chi2	chi1_x	chi1_y	chi1_z	chi2_x chi2_y	chi2_z	eccentricity	omega0	num_orbs	af	af_x	af_y	af_z	M_f	m1	m2	Lx	Ly	Lz	L
SXS:BBH:0001 0.999999989944003 1.20934838741642e-07 1.22205281651101e-07 7.09752141352352e-10 -6.66051760900737e-10 1.20930921804212e-07 5.84453420302603e-10 1.30504445112796e-09 1.22196915413626e-07 0.00027 0.012275409653554 28.1190834141 0.621632567933 -6.60625106334e-10 6.70538896538e-10 0.621632567933 0.951609417715 0.499999999999249 0.500000000000854 4.27581822e-08 -2.342625073e-07 1.18471556635066 1.18471556635068
SXS:BBH:0002 0.999999998330001 9.48427864861594e-08 9.31596306882018e-08 6.50756283833664e-10 -3.03798339473161e-10 9.48400673306762e-08 1.04268898120221e-09 1.0406653646617e-09 9.31479822929592e-08 0.00017 0.0113390396156673 32.4210679419 0.621620341575 3.39783464121e-10 1.20090414287e-09 0.621620341575 0.951609624635 0.500000000083316 0.49999999991769 2.7620419806e-06 -2.4287931932e-06 1.21013052284848 1.21013052285407
SXS:BBH:0003 1.00043969924388 0.499391495895269 1.12830797546181e-07 0.496597740224453 0.0527490759398311 -0.000292513205638836 5.75293372556626e-08 4.64810884587644e-08 8.52095807143782e-08 0.00028 0.0113202231345528 32.3375744724 0.62839648696292 0.060117053206 0.00866210250158 0.625454277083 0.951082695452 0.499999999868023 0.500000000047857 0.125177401553091 -0.0006755685628109 1.21020380397115 1.21666062868768
SXS:BBH:0004 1.00045915401437 0.499501999998503 1.40561628990535e-07 -2.4244276992504e-12 -1.44916865037725e-11 -0.499501999998503 -1.09050429699013e-09 -8.82338184208211e-10 1.40554629323191e-07 0.00037 0.0115086268780405 30.1887486629 0.557867303283 8.38132542272e-10 -3.46071522391e-10 0.557867303283 0.957720872946 0.500000000113953 0.499999999931152 8.163645183e-07 7.736321355e-07 1.09445748712262 1.0944574871232
SXS:BBH:0005 1.00045809027834 0.499499999997407 1.16257409590065e-07 5.36334817497024e-14 2.99056416916691e-11 0.499499999997407 -2.03257211654475e-09 -1.87455118421385e-09 1.1622452406029e-07 0.00025 0.0124011305926727 30.2565911548 0.676536820704588 -0.000136090173632 0.000191570338323 0.676536779894 0.942939493632 0.499999999899483 0.500000000074783 9.790607752e-07 1.026494432e-07 1.30090968940697 1.30090968940734
SXS:BBH:0006 1.34509801389695 0.320174737958485 0.150374108163063 0.233999919924737 0.147679673684164 -0.16107952781946 0.0911301985338389 0.064010465375693 -0.101046126315692 0.00025 0.0145182377168117 20.0780737015 0.581605519328063 0.0466094549397 0.0275813208324 0.579078414003 0.956545323918 0.573560766913926 0.426439232695657 0.100573032330839 0.0447975576151179 1.04259791627476 1.04839504530543
SXS:BBH:0007 1.49999927986295 8.64459363959988e-08 1.55364298449341e-07 -5.97535162782946e-10 -4.37418262031579e-10 8.64427645114058e-08 3.19756848120203e-10 -1.57963937970072e-10 1.55363889097848e-07 0.00042 0.012288132835668 29.0922488341 0.606009583319 2.78902913204e-09 1.50231762125e-08 0.606009583319 0.955269623847 0.600000000214254 0.399999999780508 2.044698506e-07 5.1456568e-07 1.13715348869604 1.13715348869617
SXS:BBH:0008 1.49999897500088 1.4735897326191e-07 2.36909541949071e-07 -1.71655005639102e-09 -7.40668572557358e-10 1.47347113533906e-07 -4.20259055638843e-09 -7.11391027444822e-09 2.36765414661308e-07 0.00151 0.0146468937289938 21.2800498763 0.606006216131003 4.9020586551e-08 2.4917857264e-08 0.606006216131 0.955267129967 0.599999999917219 0.400000000087093 7.9360295477e-06 -8.823079551e-07 1.08638149495627 1.08638149498561
SXS:BBH:0009 1.50068441819299 0.499512906015216 4.11124736382978e-07 -2.37902937782112e-12 2.83657568796299e-11 0.499512906015216 -5.41000522179643e-09 -1.7847324135319e-09 4.11085265413011e-07 0.00011 0.0175937983908841 17.0954696238 0.697379996867001 -3.72234202311e-08 -8.00679721389e-09 0.697379996867 0.94460853583 0.600000000268512 0.399999999926235 1.2656585322e-06 2.185127269e-07 1.20091232583237 1.20091232583306
SXS:BBH:0010 1.50069353114066 0.499567858624647 3.81706660261469e-07 0.247781870676964 0.0284336026317396 -0.432855310901945 -4.26715742857664e-08 3.38011905263313e-08 3.77804963909874e-07 0.00044 0.0145592945379197 19.4002995234 0.520835991129387 0.0570362017774 0.00996960868951 0.517607581325 0.961575097951 0.599999999928208 0.400000000002064 0.090107276195909 -0.0002896338226621 0.942869221105519 0.947165124579302
