H2 science mode segment list
START-GPS   STOP-GPS   LENGTH
754662275 754669715 7440
754669955 754672175 2220
754677935 754685435 7500
754687355 754689575 2220
754692875 754695275 2400
754703915 754713095 9180
754713335 754744535 31200
754749155 754754435 5280
754755275 754757315 2040
754757975 754762895 4920
754765115 754767515 2400
754772615 754773875 1260
754774595 754777955 3360
754778504 754782995 4491
754783664 754845684 62020
754847315 754863095 15780
754863575 754877135 13560
754879055 754883975 4920
754884644 754890635 5991
754891124 754898975 7851
754901075 754902755 1680
754903895 754907915 4020
754908755 754917155 8400
754917995 754932695 14700
754934675 754942415 7740
754943315 754949315 6000
754951235 754951955 720
754951978 754957124 5146
754958458 754959358 900
754959898 754993904 34006
754994518 755009444 14926
755010658 755025944 15286
755026858 755027564 706
755037088 755039788 2700
755042188 755043985 1797
755045068 755045607 539
755053648 755064208 10560
755071768 755075428 3660
755076328 755095108 18780
755096608 755114668 18060
755117188 755119048 1860
755119948 755125345 5397
755127208 755128281 1073
755135848 755165848 30000
755167468 755190628 23160
755192128 755199568 7440
755201008 755202022 1014
755203348 755205628 2280
755206408 755207248 840
755208328 755210248 1920
755210788 755212888 2100
755213608 755213968 360
755214868 755215401 533
755219968 755248168 28200
755251168 755252908 1740
755255128 755263828 8700
755267248 755279118 11870
755282608 755286319 3711
755298088 755300187 2099
755301628 755304568 2940
755305828 755306308 480
755309128 755332408 23280
755334268 755357908 23640
755359408 755369839 10431
755371888 755378068 6180
755379208 755400921 21713
755403088 755407348 4260
755413648 755418148 4500
755424808 755427328 2520
755455620 755460704 5084
755463420 755463524 104
755469780 755471504 1724
755476800 755477024 224
755480160 755480324 164
755482260 755482544 284
755486460 755486984 524
755488500 755494904 6404
755497140 755500964 3824
755503980 755505944 1964
755510040 755517284 7244
755518500 755519204 704
755520720 755523464 2744
755525160 755529524 4364
755532000 755540640 8640
755543220 755543804 584
755544840 755545544 704
755546280 755546744 464
755547960 755551484 3524
755552940 755553944 1004
755555580 755556644 1064
755557740 755559044 1304
755559600 755560664 1064
755561700 755563124 1424
755565000 755567684 2684
755569140 755569904 764
755570640 755579204 8564
755579880 755585024 5144
755585880 755600924 15044
755602140 755605964 3824
755606520 755610464 3944
755611200 755612744 1544
755614260 755615444 1184
755618100 755620064 1964
755622060 755622944 884
755628300 755628764 464
755648340 755648624 284
755663700 755663984 284
755669040 755670284 1244
755674440 755675264 824
755679000 755681684 2684
755682660 755683364 704
755686260 755686964 704
755688660 755688824 164
755692020 755692304 284
755693400 755693684 284
755705760 755709224 3464
755721480 755721584 104
755723040 755723384 344
755727360 755727524 164
755730360 755730824 464
755733780 755734184 404
755735160 755735264 104
755737620 755737724 104
755738640 755738804 164
755740560 755741744 1184
755742600 755743724 1124
755744400 755744564 164
755748000 755748464 464
755749140 755750924 1784
755751600 755758364 6764
755759220 755760404 1184
755761080 755762084 1004
755763480 755764424 944
755764980 755765924 944
755766540 755771864 5324
755772600 755772704 104
755773560 755776544 2984
755777160 755797244 20084
755800260 755803080 2820
755805660 755805764 104
755806980 755808464 1484
755809920 755810384 464
755811000 755811764 764
755814540 755814944 404
755816340 755816864 524
755818860 755819264 404
755820000 755820464 464
755822100 755822504 404
755823480 755824064 584
755829180 755830784 1604
755831984 755832041 57
755832064 755832524 460
755833324 755834684 1360
