L1 science mode segment list
START-GPS   STOP-GPS   LENGTH
731499491 731500200 709
731503870 731504026 156
731504028 731504029 1
731504031 731504160 129
731506921 731506980 59
731507040 731507160 120
731508700 731508778 78
731508823 731509039 216
731509101 731509140 39
731509466 731509658 192
731509730 731510156 426
731510735 731510932 197
731510934 731511000 66
731516102 731516555 453
731516557 731516822 265
731516882 731517000 118
731519734 731519958 224
731520170 731521320 1150
731528830 731529660 830
731568790 731568960 170
731576459 731577480 1021
731578760 731582220 3460
731583440 731586600 3160
731587411 731587980 569
731589611 731589904 293
731590380 731591460 1080
731596105 731599740 3635
731603414 731605626 2212
731605893 731607840 1947
731609506 731609760 254
731613664 731614898 1234
731647964 731650851 2887
731651340 731655664 4324
731655672 731656259 587
731661720 731662560 840
731664431 731665980 1549
731667394 731671440 4046
731689267 731691000 1733
731693123 731695140 2017
731697204 731706414 9210
731714519 731715540 1021
731716479 731724300 7821
731726018 731734200 8182
731738761 731742360 3599
731743992 731745780 1788
731747460 731747880 420
731749991 731750700 709
731752500 731752740 240
731755469 731757094 1625
731757096 731757165 69
731757167 731757180 13
731758320 731759760 1440
731762160 731763840 1680
731767320 731772360 5040
731773498 731776680 3182
731791422 731791800 378
731794455 731797440 2985
731848800 731849160 360
731877093 731877840 747
731878748 731882580 3832
731883666 731884260 594
731884882 731888160 3278
731888744 731888880 136
731889721 731901660 11939
731903032 731903820 788
731904569 731906400 1831
731907053 731907631 578
731909101 731920380 11279
731921578 731921880 302
731922180 731922350 170
731922660 731923004 344
731923348 731923680 332
731924940 731926136 1196
731926138 731927400 1262
731928360 731928780 420
731931540 731933749 2209
731933797 731933820 23
731935080 731938860 3780
731940000 731940480 480
731941503 731943480 1977
731944230 731944980 750
731946096 731950440 4344
731951567 731954040 2473
731970980 731973780 2800
731985360 731988240 2880
731989980 731990141 161
731991604 731996700 5096
731998373 732001560 3187
732003420 732011100 7680
732013023 732014670 1647
732014672 732014676 4
732014678 732014700 22
732016101 732017820 1719
732021678 732022740 1062
732024000 732025380 1380
732028097 732029100 1003
732033070 732033203 133
732034481 732034555 74
732034731 732037834 3103
732037856 732038640 784
732078683 732078720 37
732083288 732086760 3472
732090482 732091749 1267
732091751 732092752 1001
732093566 732094920 1354
732094980 732097291 2311
732098333 732100560 2227
732103373 732106260 2887
732109480 732110520 1040
732115283 732115740 457
732118559 732118740 181
732121391 732121808 417
732122841 732123000 159
732123960 732124440 480
732127114 732128345 1231
732128912 732129529 617
732129536 732129600 64
732149546 732155687 6141
732161040 732163560 2520
732166280 732170460 4180
732173102 732176571 3469
732176573 732178440 1867
732184024 732190380 6356
732197600 732197940 340
732206820 732206940 120
732251152 732252440 1288
732260593 732266100 5507
732272665 732274140 1475
732276360 732278502 2142
732278504 732279480 976
732286932 732291720 4788
732291780 732297840 6060
732300060 732300802 742
732305674 732310740 5066
732319803 732321967 2164
732330089 732330349 260
732330390 732336480 6090
732339677 732339840 163
732340968 732350687 9719
732353646 732353940 294
732355489 732358500 3011
732359978 732360960 982
732361910 732362220 310
732362841 732362940 99
732363000 732364020 1020
732364578 732366060 1482
732372879 732375240 2361
732376033 732379860 3827
732381161 732382440 1279
732383235 732388920 5685
732413467 732414134 667
732414811 732416700 1889
732421496 732431921 10425
732431923 732446457 14534
732448700 732451020 2320
732452368 732453480 1112
732455889 732457500 1611
732458760 732458940 180
732460096 732462060 1964
732462685 732463320 635
732464251 732465360 1109
732466564 732471912 5348
732471914 732477600 5686
732482294 732484200 1906
732487657 732488739 1082
732488741 732509340 20599
732511169 732511904 735
732513360 732527087 13727
732527089 732528900 1811
732531466 732531960 494
732533055 732537060 4005
732538141 732538980 839
732542951 732549480 6529
732563049 732563100 51
732564645 732564720 75
732581643 732581991 348
732581993 732587387 5394
732587771 732592800 5029
732606977 732616440 9463
732617563 732624060 6497
732626484 732627240 756
732628427 732628740 313
732630313 732631200 887
732632515 732632520 5
732632580 732640260 7680
732644578 732644760 182
732648264 732654480 6216
732677404 732679440 2036
732682020 732682188 168
732682217 732687020 4803
732692283 732692504 221
732694140 732694184 44
732694193 732699660 5467
732708726 732710820 2094
732714275 732714300 25
732715007 732715440 433
732757445 732758015 570
732758030 732763680 5650
732766980 732767024 44
732767037 732767100 63
732768186 732779880 11694
732783043 732786480 3437
732794419 732795660 1241
732797764 732801660 3896
732806888 732807125 237
732807127 732807420 293
732850297 732851580 1283
732854304 732858521 4217
732858788 732859140 352
732864462 732864781 319
732864783 732870360 5577
732873552 732875333 1781
732875534 732883800 8266
732886620 732887400 780
732890639 732893940 3301
732895467 732896940 1473
732897883 732898380 497
732900096 732903180 3084
732905513 732905820 307
732906768 732907080 312
732908479 732908940 461
732910447 732910800 353
733022064 733027620 5556
733028910 733038083 9173
733045193 733047540 2347
733049374 733050660 1286
733052232 733062900 10668
733067382 733068840 1458
733073387 733079640 6253
733081490 733082520 1030
733085705 733090140 4435
733102560 733107942 5382
733108948 733111980 3032
733113307 733119840 6533
733121304 733124768 3464
733126210 733128360 2150
733130115 733133400 3285
733134222 733135260 1038
733144025 733144730 705
733195018 733195985 967
733195987 733196160 173
733197724 733198260 536
