H1 science mode segment list
START-GPS   STOP-GPS   LENGTH
732240540 732250860 10320
732250920 732282540 31620
732282600 732294240 11640
732295424 732325860 30436
732325920 732356280 30360
732356340 732385200 28860
732385440 732407844 22404
732411671 732446373 34702
732449953 732455880 5927
732459149 732470394 11245
732470396 732473220 2824
732473280 732475500 2220
732475620 732475800 180
732475980 732479467 3487
732484788 732497580 12792
732500730 732500760 30
732507299 732542280 34981
732545430 732555870 10440
732559000 732560220 1220
732560280 732564261 3981
732564912 732570240 5328
732583235 732585240 2005
732585727 732593535 7808
732601807 732605743 3936
732607216 732616980 9764
732621846 732621900 54
732621960 732622020 60
732626709 732632820 6111
732632880 732640740 7860
732640860 732644712 3852
732650745 732658740 7995
732662130 732662220 90
732662280 732666660 4380
732666720 732672060 5340
732675144 732680179 5035
732682179 732686989 4810
732692310 732713520 21210
732713580 732720124 6544
732731577 732733721 2144
732755808 732757200 1392
732762624 732814440 51816
732814500 732821460 6960
732821520 732834900 13380
732835020 732836116 1096
732847550 732851958 4408
732901651 732901680 29
732901740 732903240 1500
732903300 732905700 2400
732905820 732906141 321
732906545 732907080 535
732907140 732908640 1500
732921085 732922620 1535
732925313 732925980 667
732930121 732934800 4679
732934860 732938512 3652
732938655 732974469 35814
732976953 733002540 25587
733002600 733008120 5520
733022358 733070444 48086
733072025 733095240 23215
733095360 733099941 4581
733099996 733101540 1544
733101600 733108800 7200
733114211 733143487 29276
733144269 733152060 7791
733152120 733164240 12120
733164300 733167847 3547
733169635 733171140 1505
733171200 733179900 8700
733179960 733180860 900
733192773 733195980 3207
733196356 733230744 34388
733232778 733234140 1362
733234200 733244340 10140
733244400 733247964 3564
733248000 733252020 4020
733252080 733255559 3479
733267551 733268520 969
733268580 733284480 15900
733284540 733290840 6300
733290900 733301580 10680
733305432 733317660 12228
733317720 733324140 6420
733324200 733327512 3312
733328627 733330980 2353
733331040 733336200 5160
733350864 733355880 5016
733355940 733362840 6900
733362960 733378226 15266
733381501 733398960 17459
733401472 733430220 28748
733430280 733435200 4920
733447322 733484940 37618
733486556 733506720 20164
733506780 733511182 4402
733512512 733530332 17820
733535204 733578632 43428
733581578 733593572 11994
733593600 733595160 1560
733595220 733611300 16080
733611360 733617617 6257
733621797 733685820 64023
733691490 733696020 4530
733696080 733703572 7492
733703583 733710300 6717
733714097 733715792 1695
733715800 733751220 35420
733751280 733751640 360
733751700 733761540 9840
733782005 733783440 1435
733790724 733792647 1923
733793010 733793700 690
733793760 733794286 526
733794420 733799220 4800
733799280 733800840 1560
733802855 733812780 9925
733812900 733828500 15600
733828980 733852200 23220
733852260 733855620 3360
733859357 733863840 4483
733863840 733872600 8760
733872720 733874880 2160
733877911 733881600 3689
733884735 733918980 34245
733927963 733929420 1457
733929480 733930740 1260
733934918 733943220 8302
