# This is the BNS population 
# Sources cataloged by Ravi Kumar
# file generated by Chad Hanna March 23 2006
#NAME	     #RA       #DEC	   #DIST   #LUM	 #FUDGE 	
NGC6946      +20:33.8  +59:59.0   5500.0   3.192  1.0
NGC2683      +08:49.6  +33:38.0   5700.0   0.597  1.0
UGC7639      +12:27.5  +47:48.0   5800.0   0.021  1.0
NGC3274      +10:29.5  +27:55.0   5900.0   0.038  1.0
NGC45        +00:11.4  -23:27.0   5900.0   0.209  1.0
UGC5340      +09:53.8  +29:04.0   5900.0   0.009  1.0
UGC6900      +11:53.0  +31:49.0   5900.0   0.008  1.0
NGC1705      +04:53.1  -53:27.0   6000.0   0.048  1.0
NGC5023      +13:10.0  +44:18.0   6000.0   0.128  1.0
NGC5474      +14:03.3  +53:54.0   6000.0   0.167  1.0
NGC3344      +10:40.8  +25:11.0   6100.0   0.380  1.0
NGC6503      +17:49.9  +70:10.0   6100.0   0.445  1.0
NGC4455      +12:26.2  +23:06.0   6200.0   0.059  1.0
UGC7699      +12:30.4  +37:54.0   6200.0   0.079  1.0
NGC2903      +09:29.4  +21:44.0   6300.0   1.355  1.0
NGC1156      +02:56.8  +25:02.0   6400.0   0.150  1.0
NGC3489      +10:57.7  +14:10.0   6400.0   0.229  1.0
NGC4941      +13:01.6  -05:17.0   6400.0   0.131  1.0
NGC5229      +13:32.0  +48:10.0   6400.0   0.033  1.0
NGC5477      +14:03.8  +54:42.0   6400.0   0.012  1.0
UGC1249      +01:44.7  +27:05.0   6400.0   0.172  1.0
UGC5272      +09:47.4  +31:43.0   6500.0   0.017  1.0
NGC3621      +11:18.1  -32:48.4   6550.0   1.03  1.0 
IC5052       +20:47.4  -69:24.0   6700.0   0.189  1.0
M101         +14:03.1  +54:20.5   6700.0   3.47  1.0 
NGC3115      +10:02.7  -07:29.0   6700.0   0.731  1.0
NGC5068      +13:16.3  -20:47.0   6700.0   0.581  1.0
UGC7408      +12:18.8  +46:06.0   6700.0   0.034  1.0
NGC24        +00:07.4  -25:15.0   6800.0   0.200  1.0
UGC7774      +12:33.9  +40:17.0   6800.0   0.026  1.0
NGC4631      +12:39.8  +32:49.0   6900.0   1.738  1.0
UGC12713     +23:35.7  +30:26.0   6900.0   0.012  1.0
UGC5151      +09:37.2  +48:34.0   6900.0   0.032  1.0
UGC5764      +10:33.9  +31:49.0   6900.0   0.014  1.0
NGC5585      +14:18.2  +56:57.0   7000.0   0.238  1.0
NGC5457      +14:03.2  +54:20.9   7013.9  18.365  1.0
NGC2784      +09:10.1  -23:58.0   7100.0   0.479  1.0
UGC5918      +10:46.2  +65:48.0   7100.0   0.007  1.0
UGCA320      +13:00.7  -17:08.0   7100.0   0.063  1.0
NGC3521      +11:03.2  +00:14.0   7200.0   1.393  1.0
NGC4656      +12:41.6  +32:26.0   7200.0   0.752  1.0
NGC5055      +13:13.5  +42:17.0   7200.0   1.770  1.0
UGC3860      +07:24.8  +40:52.0   7200.0   0.011  1.0
PGC169678    +13:08.5  -20:49.4   7222.2   0.003  1.0
NGC3623      +11:16.3  +13:23.0   7300.0   1.306  1.0
NGC4248      +12:15.4  +47:41.0   7300.0   0.044  1.0
NGC4618      +12:39.2  +41:25.0   7300.0   0.275  1.0
IC0559       +09:44.7  +09:36.9   7347.2   0.015  1.0
NGC1800      +05:04.5  -32:01.0   7400.0   0.050  1.0
NGC3486      +10:57.8  +29:15.0   7400.0   0.433  1.0
UGC3966      +07:38.0  +40:14.0   7400.0   0.024  1.0
PGC001242    +00:19.1  -22:40.1   7444.4   0.006  1.0
ESO443-009   +12:54.9  -28:20.4   7500.0   0.002  1.0
NGC4242      +12:14.9  +45:54.0   7500.0   0.227  1.0
NGC672       +01:45.0  +27:11.0   7500.0   0.449  1.0
PGC736170    +00:09.7  -28:53.3   7500.0   0.001  1.0
UGC7271      +12:13.0  +43:42.0   7500.0   0.024  1.0
UGC7690      +12:30.0  +42:59.0   7500.0   0.055  1.0
ESO302-021   +03:55.9  -40:41.0   7555.6   0.019  1.0
PGC018431    +06:07.3  -34:12.2   7597.2   0.009  1.0
UGC7608      +12:26.3  +43:30.0   7600.0   0.030  1.0
ESO472-015   +00:06.8  -24:56.6   7652.8   0.004  1.0
ESO264-035   +10:42.8  -47:37.0   7694.4   0.057  1.0
NGC3628      +11:17.7  +13:53.0   7700.0   1.500  1.0
NGC5194      +13:27.8  +47:27.0   7700.0   3.105  1.0
M106         +12:18.5  +47:18.1   7730.0   3.70  1.0 
ESO104-044   +19:11.3  -64:13.1   7736.1   0.013  1.0
PGC135659    +02:43.1  -00:15.7   7763.9   0.002  1.0
NGC1744      +04:57.9  -26:06.0   7800.0   0.261  1.0
NGC3432      +10:49.7  +36:54.0   7800.0   0.350  1.0
NGC4490      +12:28.3  +41:55.0   7800.0   1.028  1.0
UGC4787      +09:04.4  +33:28.0   7800.0   0.042  1.0
UGC7267      +12:12.9  +51:39.0   7800.0   0.024  1.0
ESO409-015   +00:05.5  -28:05.9   7819.4   0.015  1.0
ESO364-029   +06:05.7  -33:05.0   7847.2   0.048  1.0
PGC013409    +03:38.3  -43:58.1   7847.2   0.005  1.0
NGC2188      +06:08.4  -34:06.0   7900.0   0.219  1.0
NGC3510      +11:01.0  +29:09.0   7900.0   0.084  1.0
NGC4204      +12:12.7  +20:56.0   7900.0   0.080  1.0
ESO104-022   +18:55.7  -64:48.6   7944.4   0.012  1.0
ESO358-060   +03:45.2  -35:34.2   7944.4   0.017  1.0
PGC877092    +21:48.5  -17:48.7   7944.4   0.001  1.0
NGC4020      +11:56.3  +30:41.0   8000.0   0.077  1.0
