# This is the BNS population 
# Sources cataloged by Ravi Kumar
# file generated by Chad Hanna March 23 2006
#NAME	     #RA       #DEC	   #DIST   #LUM	 #FUDGE 	
IC3268       +12:24.1  +06:36.5  10916.7   0.044  1.0
PGC138064    +00:02.8  +18:58.1  10916.7   0.001  1.0
ESO358-059   +03:45.1  -35:58.3  10930.6   0.047  1.0
PGC042497    +12:40.8  +04:31.5  10930.6   0.008  1.0
ESO208-021   +07:33.9  -50:26.5  10944.4   0.520  1.0
NGC4241      +12:18.0  +06:39.1  10986.1   0.064  1.0
ESO164-010   +08:26.2  -54:02.0  11000.0   0.033  1.0
NGC1527      +04:06.9  -48:01.0  11000.0   0.275  1.0
NGC4670      +12:42.8  +27:24.0  11000.0   0.122  1.0
NGC3413      +10:51.3  +32:46.0  11013.9   0.174  1.0
PGC2392619   +11:58.0  +51:20.9  11013.9   0.003  1.0
PGC049929    +14:01.5  -33:05.5  11027.8   0.004  1.0
PGC053410    +14:56.5  +59:35.6  11055.6   0.006  1.0
ESO567-048   +10:19.7  -17:45.0  11083.3   0.038  1.0
NGC2502      +07:55.8  -52:18.4  11097.2   0.592  1.0
IC5201       +22:18.3  -46:19.0  11100.0   0.731  1.0
UGC7490      +12:22.1  +70:37.0  11100.0   0.111  1.0
ESO255-019   +06:45.8  -47:31.8  11125.0   0.015  1.0
IC2049       +04:12.1  -58:33.4  11125.0   0.021  1.0
PGC039873    +12:20.9  +38:25.9  11152.8   0.004  1.0
PGC2390043   +12:08.8  +51:11.8  11180.6   0.002  1.0
NGC4286      +12:20.7  +29:20.8  11194.4   0.021  1.0
NGC1036      +02:37.7  +19:05.0  11200.0   0.103  1.0
NGC1411      +03:37.1  -44:15.0  11200.0   0.409  1.0
NGC5949      +15:27.2  +64:55.0  11200.0   0.213  1.0
UGC9992      +15:41.4  +67:25.0  11200.0   0.034  1.0
ESO499-037   +10:03.7  -27:01.6  11208.3   0.213  1.0
IC3292       +12:24.8  +18:11.7  11208.3   0.015  1.0
NGC2541      +08:14.4  +49:03.4  11220.0   0.43  1.0 
IC3540       +12:35.4  +12:45.0  11222.2   0.035  1.0
PGC027164    +09:33.7  +51:55.1  11236.1   0.005  1.0
PGC045889    +13:12.8  +40:32.6  11236.1   0.026  1.0
NGC1827      +05:10.0  -36:57.6  11263.9   0.356  1.0
PGC040574    +12:25.7  +13:01.1  11263.9   0.002  1.0
PGC1424345   +10:49.9  +13:09.7  11263.9   0.002  1.0
UGC01246     +01:47.0  +12:24.3  11263.9   0.023  1.0
PGC1263098   +12:53.6  +04:04.5  11291.7   0.001  1.0
ARAK99       +03:14.7  +03:26.0  11300.0   0.029  1.0
NGC1493      +03:55.9  -46:21.0  11300.0   0.380  1.0
UGC5740      +10:31.7  +51:01.0  11300.0   0.035  1.0
ESO207-007   +06:50.6  -52:08.5  11305.6   0.074  1.0
ESO376-022   +10:51.3  -34:25.7  11305.6   0.184  1.0
IC2787       +11:23.3  +13:37.8  11305.6   0.009  1.0
ESO162-017   +07:15.9  -57:20.6  11319.4   0.286  1.0
ESO208-033   +07:38.3  -50:45.4  11319.4   0.118  1.0
ESO358-042   +03:38.1  -34:31.1  11319.4   0.014  1.0
PGC170437    +03:46.0  -12:31.8  11319.4   0.022  1.0
ESO318-024   +10:57.8  -39:26.5  11333.3   0.139  1.0
ESO434-041   +09:47.7  -31:30.4  11347.2   0.058  1.0
ESO302-008   +03:47.2  -38:58.1  11388.9   0.020  1.0
ESO435-016   +09:58.7  -28:37.3  11388.9   0.143  1.0
UGC05451     +10:07.3  +47:00.4  11388.9   0.077  1.0
UGC3273      +05:13.7  +53:30.0  11400.0   0.466  1.0
UGC01200     +01:42.8  +13:09.3  11402.8   0.066  1.0
PGC027595    +09:40.3  +47:46.6  11416.7   0.010  1.0
NGC2090      +05:47.0  -34:15.0  11430.0   0.50  1.0 
ESO159-025   +05:43.1  -52:42.4  11430.6   0.022  1.0
NGC4466      +12:29.5  +07:41.8  11444.4   0.056  1.0
NGC3351      +10:43.9  +11:42.2  11472.2   2.051  1.0
IC1933       +03:24.3  -52:57.0  11500.0   0.205  1.0
NGC5832      +14:57.6  +71:53.0  11500.0   0.296  1.0
NGC7424      +22:54.5  -41:21.0  11500.0   1.028  1.0
PGC031877    +10:42.0  +12:20.1  11500.0   0.005  1.0
IC3239       +12:23.2  +11:43.6  11513.9   0.014  1.0
ESO434-034   +09:45.5  -30:20.5  11527.8   0.133  1.0
PGC1132466   +02:54.1  -00:52.6  11527.8   0.002  1.0
ESO305-017   +05:15.0  -41:23.5  11555.6   0.067  1.0
ESO174-001   +13:33.3  -53:21.2  11583.3   0.134  1.0
ESO263-024   +10:15.5  -45:07.9  11597.2   0.098  1.0
IC1954       +03:30.2  -52:05.0  11600.0   0.441  1.0
NGC1366      +03:31.9  -31:22.0  11600.0   0.149  1.0
NGC1433      +03:40.5  -47:23.0  11600.0   1.148  1.0
NGC244       +00:43.3  -15:52.0  11600.0   0.071  1.0
PGC728646    +03:32.8  -29:29.7  11611.1   0.003  1.0
ESO168-002   +10:24.7  -54:47.8  11652.8   0.360  1.0
ESO494-029   +08:07.8  -25:57.2  11652.8   0.072  1.0
PGC1372998   +12:29.3  +09:59.3  11652.8   0.005  1.0
PGC165970    +17:03.2  -62:24.6  11652.8   0.007  1.0
PGC039748    +12:20.0  -17:23.5  11666.7   0.037  1.0
PGC036976    +11:50.0  +15:01.4  11680.6   0.011  1.0
PGC042219    +12:38.2  +14:52.2  11680.6   0.005  1.0
ESO123-004   +07:20.5  -58:03.8  11708.3   0.070  1.0
IC3412       +12:29.3  +09:59.3  11708.3   0.038  1.0
PGC1249354   +12:46.5  +03:17.9  11722.2   0.008  1.0
ESO494-025   +08:05.9  -27:23.8  11750.0   0.470  1.0
PGC013979    +03:51.5  -46:35.7  11763.9   0.011  1.0
ESO036-006   +08:38.8  -75:09.4  11777.8   0.083  1.0
ESO118-019   +04:19.0  -58:15.4  11777.8   0.017  1.0
NGC1406      +03:37.5  -31:30.0  11800.0   0.377  1.0
NGC278       +00:49.3  +47:17.0  11800.0   1.096  1.0
NGC660       +01:40.3  +13:23.0  11800.0   1.057  1.0
ESO035-009   +07:28.6  -75:03.3  11833.3   0.047  1.0
ESO434-019   +09:40.7  -32:13.7  11833.3   0.058  1.0
PGC732856    +03:27.8  -29:08.4  11833.3   0.001  1.0
ESO115-022   +02:38.4  -58:14.3  11861.1   0.007  1.0
ESO434-039   +09:47.0  -30:23.2  11888.9   0.026  1.0
PGC677866    +21:57.8  -33:19.5  11888.9   0.001  1.0
NGC4600      +12:40.4  +03:07.0  11902.8   0.103  1.0
NGC4725      +12:50.2  +25:30.0  11910.0   2.44  1.0 
PGC429411    +04:01.2  -53:29.3  11916.7   0.008  1.0
UGC09660     +15:01.1  +44:41.9  11930.6   0.100  1.0
PGC041994    +12:35.8  +13:51.5  11944.4   0.004  1.0
PGC042596    +12:41.7  +04:00.4  11944.4   0.004  1.0
PGC170328    +14:04.2  -09:38.5  11944.4   0.026  1.0
PGC684913    +04:11.4  -32:51.4  11944.4   0.003  1.0
ESO209-009   +07:58.2  -49:51.2  11958.3   2.535  1.0
ESO265-007   +11:07.8  -46:31.5  11958.3   0.895  1.0
PGC166188    +15:05.2  +55:49.6  11958.3   0.007  1.0
NGC2841      +09:18.6  +51:12.0  12000.0   2.655  1.0
UGCA433      +22:36.5  -05:02.0  12000.0   0.046  1.0
PGC013216    +03:34.3  -61:05.6  12027.8   0.012  1.0
PGC1255427   +12:44.2  +03:36.4  12027.8   0.007  1.0
ESO116-012   +03:13.1  -57:21.4  12041.7   0.350  1.0
PGC163318    +21:39.5  -40:16.9  12069.4   0.003  1.0
PGC2351264   +10:58.8  +49:43.0  12069.4   0.003  1.0
NGC1947      +05:26.5  -63:48.0  12100.0   0.479  1.0
NGC2082      +05:41.6  -64:19.0  12100.0   0.172  1.0
ESO037-005   +09:46.4  -74:35.7  12125.0   0.175  1.0
UGC05571     +10:19.7  +52:03.8  12125.0   0.029  1.0
PGC142207    +03:45.8  -44:42.0  12138.9   0.006  1.0
PGC054607    +15:17.9  +16:18.7  12152.8   0.018  1.0
ESO118-034   +04:40.3  -58:44.6  12194.4   0.094  1.0
NGC1494      +03:56.2  -49:03.0  12200.0   0.402  1.0
NGC6689      +18:35.4  +70:29.0  12200.0   0.483  1.0
UGC10736     +17:08.4  +69:32.0  12200.0   0.122  1.0
IC3363       +12:27.0  +12:33.6  12222.2   0.016  1.0
PGC2167923   +14:13.4  +40:34.7  12222.2   0.001  1.0
UGC04998     +09:25.1  +68:23.0  12236.1   0.011  1.0
ESO420-005   +04:09.2  -30:25.0  12250.0   0.100  1.0
PGC045512    +13:07.9  -16:41.3  12250.0   0.055  1.0
PGC091191    +12:19.4  +00:12.7  12250.0   0.005  1.0
PGC042087    +12:36.8  +04:06.2  12277.8   0.011  1.0
IC2056       +04:15.7  -60:20.0  12300.0   0.256  1.0
NGC4561      +12:33.6  +19:36.0  12300.0   0.198  1.0
NGC4747      +12:49.3  +26:02.0  12300.0   0.205  1.0
NGC7457      +22:58.6  +29:53.0  12300.0   0.731  1.0
NGC746       +01:54.8  +44:41.0  12300.0   0.233  1.0
NGC7741      +23:41.4  +25:48.0  12300.0   0.497  1.0
UGC6161      +11:04.0  +44:00.0  12300.0   0.112  1.0
ESO494-035   +08:12.8  -27:33.2  12305.6   0.273  1.0
PGC039845    +12:20.6  +13:53.3  12319.4   0.002  1.0
PGC040512    +12:25.4  +18:08.3  12333.3   0.004  1.0
PGC083339    +10:46.9  +12:59.9  12333.3   0.005  1.0
PGC051694    +14:28.3  +49:33.7  12361.1   0.012  1.0
PGC091471    +15:43.0  -13:57.4  12388.9   0.033  1.0
UGC12732     +23:38.1  +25:57.0  12400.0   0.198  1.0
ESO311-012   +07:47.5  -41:27.1  12416.7   1.486  1.0
PGC041720    +12:33.5  +09:27.5  12416.7   0.006  1.0
PGC009119    +02:24.2  -19:49.5  12430.6   0.026  1.0
PGC034522    +11:17.9  +17:26.5  12430.6   0.022  1.0
UGC05453     +10:07.1  +15:59.0  12430.6   0.017  1.0
ESO273-014   +14:58.5  -47:41.9  12444.4   2.630  1.0
PGC1261172   +07:43.1  +03:57.0  12444.4   0.008  1.0
NGC5338      +13:53.4  +05:12.4  12472.2   0.070  1.0
NGC3599      +11:15.4  +18:06.6  12486.1   0.192  1.0
ESO434-005   +09:27.4  -32:00.6  12500.0   0.020  1.0
NGC100       +00:21.5  +16:12.0  12500.0   0.185  1.0
PGC707865    +03:16.2  -31:12.5  12500.0   0.002  1.0
ESO357-007   +03:10.4  -33:09.2  12513.9   0.117  1.0
NGC4431      +12:27.4  +12:17.4  12513.9   0.086  1.0
UGC06055     +10:58.5  +48:46.9  12513.9   0.005  1.0
PGC1229213   +12:49.9  +02:30.6  12527.8   0.003  1.0
IC3520       +12:34.5  +13:30.2  12555.6   0.019  1.0
PGC039264    +12:16.0  +08:12.1  12555.6   0.014  1.0
MARK600      +02:48.5  +04:15.0  12600.0   0.039  1.0
NGC1055      +02:39.2  +00:13.0  12600.0   0.964  1.0
ESO249-015   +03:42.7  -43:18.1  12611.1   0.030  1.0
UGC00122     +00:13.3  +17:01.7  12680.6   0.143  1.0
NGC5608      +14:21.3  +42:00.0  12700.0   0.132  1.0
UGC122       +00:10.7  +16:45.0  12700.0   0.057  1.0
IC3023       +12:10.0  +14:22.0  12708.3   0.039  1.0
NGC4252      +12:18.5  +05:33.5  12708.3   0.050  1.0
UGC09893     +15:32.9  +46:27.1  12708.3   0.022  1.0
ESO206-016   +06:31.1  -52:25.1  12722.2   0.005  1.0
ESO360-010   +04:27.4  -33:31.3  12722.2   0.014  1.0
NGC2101      +05:46.4  -52:05.4  12736.1   0.078  1.0
ESO501-080   +10:42.6  -23:56.1  12750.0   0.268  1.0
PGC041893    +12:35.0  +05:25.5  12750.0   0.021  1.0
PGC135791    +12:12.4  +02:48.6  12777.8   0.020  1.0
PGC054272    +15:12.2  +57:00.1  12791.7   0.006  1.0
NGC14        +00:06.2  +15:32.0  12800.0   0.370  1.0
NGC3495      +10:58.6  +03:53.0  12800.0   0.488  1.0
NGC3675      +11:23.5  +43:52.0  12800.0   1.343  1.0
UGC4148      +07:56.9  +42:19.0  12800.0   0.049  1.0
UGC4499      +08:33.9  +51:49.0  12800.0   0.161  1.0
ESO121-006   +06:07.4  -61:48.4  12805.6   5.105  1.0
PGC044215    +12:56.9  +04:03.8  12805.6   0.021  1.0
PGC170112    +11:07.0  -17:36.4  12805.6   0.036  1.0
ESO158-003   +04:46.3  -57:20.6  12819.4   0.094  1.0
PGC777591    +02:49.9  -25:33.4  12819.4   0.003  1.0
NGC3125      +10:06.5  -29:56.0  12847.2   0.154  1.0
ESO302-010   +03:48.5  -39:25.3  12875.0   0.007  1.0
NGC1448      +03:42.9  -44:48.0  12900.0   1.445  1.0
UGC12791     +23:46.3  +25:57.0  12900.0   0.024  1.0
ESO301-009   +03:22.9  -42:11.3  12902.8   0.055  1.0
IC1473       +23:11.0  +29:38.5  12916.7   0.076  1.0
UGC07346     +12:18.7  +17:43.1  12916.7   0.018  1.0
PGC039799    +12:20.3  +00:22.0  12930.6   0.049  1.0
NGC3113      +10:04.4  -28:26.6  12944.4   0.483  1.0
PGC066336    +21:12.2  +45:31.2  12944.4   0.191  1.0
UGC00017     +00:03.7  +15:13.1  12958.3   0.048  1.0
ESO431-015   +08:33.0  -30:23.8  12972.2   0.014  1.0
NGC4309      +12:22.2  +07:08.6  12972.2   0.054  1.0
PGC040109    +12:22.6  +06:00.7  12972.2   0.020  1.0
UGC05745     +10:34.7  -01:58.1  12972.2   0.110  1.0
UGC07567     +12:27.5  +07:38.6  12986.1   0.039  1.0
UGC09211     +14:22.5  +45:23.0  12986.1   0.005  1.0
IC3473       +12:32.3  +18:14.6  13000.0   0.038  1.0
NGC1531      +04:10.1  -32:59.0  13000.0   0.200  1.0
NGC2787      +09:14.8  +69:25.0  13000.0   0.581  1.0
NGC7462      +23:00.0  -41:07.0  13000.0   0.380  1.0
UGC12423     +23:10.6  +06:08.0  13000.0   0.138  1.0
UGC17        +00:01.1  +14:57.0  13000.0   0.025  1.0
UGC4514      +08:35.9  +53:38.0  13000.0   0.137  1.0
PGC1207185   +12:28.3  +01:49.7  13013.9   0.005  1.0
PGC158230    +12:55.6  -01:19.7  13041.7   0.007  1.0
ESO436-004   +10:14.8  -28:57.4  13055.6   0.051  1.0
PGC037401    +11:55.2  +44:09.0  13055.6   0.058  1.0
PGC039260    +12:16.0  +08:22.4  13069.4   0.004  1.0
ESO138-010   +16:59.0  -60:13.0  13083.3   1.854  1.0
PGC1051734   +11:28.3  -04:55.1  13083.3   0.002  1.0
UGC05917     +10:48.8  +46:43.2  13083.3   0.017  1.0
ESO549-002   +03:42.9  -19:01.2  13097.2   0.056  1.0
NGC4587      +12:38.6  +02:39.4  13097.2   0.074  1.0
NGC4496      +12:29.1  +04:12.0  13100.0   0.637  1.0
UGC2275      +02:45.4  +03:41.0  13100.0   0.127  1.0
IC3374       +12:27.5  +10:00.1  13111.1   0.037  1.0
NGC5906      +15:15.8  +56:19.7  13111.1   4.246  1.0
IC3718       +12:44.7  +12:21.0  13125.0   0.107  1.0
PGC351098    +02:48.2  -61:55.3  13138.9   0.002  1.0
PGC058179    +16:27.3  -60:27.4  13166.7   0.207  1.0
ESO434-017   +09:37.9  -32:17.0  13180.6   0.007  1.0
NGC3137      +10:09.1  -29:03.8  13180.6   0.887  1.0
ESO383-091   +13:50.5  -37:17.3  13208.3   0.233  1.0
PGC2340722   +11:48.7  +49:21.5  13208.3   0.002  1.0
NGC4218      +12:15.7  +48:07.9  13222.2   0.099  1.0
PGC696873    +04:13.2  -32:06.1  13222.2   0.006  1.0
PGC052893    +14:48.8  -03:43.0  13277.8   0.031  1.0
NGC2681      +08:50.0  +51:30.0  13300.0   1.067  1.0
NGC7077      +21:27.4  +02:12.0  13300.0   0.076  1.0
ESO035-021   +08:09.9  -74:30.7  13305.6   0.015  1.0
PGC041716    +12:33.5  +03:47.6  13333.3   0.005  1.0
PGC040229    +12:23.5  +05:49.0  13361.1   0.008  1.0
PGC1034827   +09:55.1  -06:16.1  13361.1   0.036  1.0
NGC6542      +17:59.6  +61:21.5  13375.0   0.054  1.0
NGC1515      +04:02.9  -54:14.0  13400.0   0.955  1.0
NGC1533      +04:08.8  -56:15.0  13400.0   0.497  1.0
NGC1536      +04:10.0  -56:37.0  13400.0   0.167  1.0
NGC1543      +04:11.8  -57:52.0  13400.0   0.661  1.0
NGC1546      +04:13.5  -56:11.0  13400.0   0.281  1.0
NGC1549      +04:14.7  -55:43.0  13400.0   1.259  1.0
NGC1553      +04:15.1  -55:54.0  13400.0   1.820  1.0
NGC1566      +04:18.9  -55:03.0  13400.0   2.355  1.0
NGC1574      +04:21.0  -57:05.0  13400.0   0.847  1.0
NGC1596      +04:26.5  -55:08.0  13400.0   0.488  1.0
NGC1617      +04:30.6  -54:42.0  13400.0   1.202  1.0
NGC3056      +09:52.3  -28:04.0  13400.0   0.251  1.0
ESO358-056   +03:43.3  -33:56.3  13402.8   0.027  1.0
PGC027182    +09:34.0  +55:14.4  13402.8   0.008  1.0
PGC170228    +13:04.2  -04:53.5  13416.7   0.041  1.0
NGC3319      +10:39.1  +41:41.1  13430.0   1.03  1.0 
PGC1192339   +11:18.4  +01:21.4  13458.3   0.002  1.0
PGC169748    +13:39.5  +39:26.0  13458.3   0.002  1.0
ESO030-008   +02:09.0  -75:56.2  13486.1   0.150  1.0
PGC1207820   +12:51.0  +01:50.7  13486.1   0.006  1.0
NGC1688      +04:47.7  -59:53.0  13500.0   0.340  1.0
NGC4527      +12:31.6  +02:56.0  13500.0   1.202  1.0
PGC041831    +12:34.5  +16:01.9  13513.9   0.013  1.0
PGC1214263   +12:46.3  +02:02.8  13513.9   0.004  1.0
PGC1364593   +12:30.0  +09:24.2  13527.8   0.001  1.0
PGC169259    +12:25.5  +11:09.5  13555.6   0.002  1.0
PGC135814    +12:54.1  -00:06.1  13569.4   0.005  1.0
PGC734587    +02:46.1  -29:00.6  13583.3   0.003  1.0
ESO249-027   +03:54.5  -44:45.2  13597.2   0.086  1.0
PGC1040545   +13:27.5  -05:46.6  13597.2   0.002  1.0
PGC1170677   +11:38.3  +00:36.8  13597.2   0.004  1.0
NGC1532      +04:10.2  -33:00.0  13600.0   1.585  1.0
NGC1792      +05:03.6  -38:03.0  13600.0   1.754  1.0
NGC2310      +06:52.7  -40:48.0  13600.0   0.441  1.0
PGC087314    +23:54.3  +10:55.3  13625.0   0.005  1.0
PGC072558    +23:50.1  -47:11.4  13638.9   0.021  1.0
PGC700524    +03:27.4  -31:50.0  13652.8   0.003  1.0
ESO418-008   +03:31.5  -30:12.8  13666.7   0.109  1.0
NGC3198      +10:19.5  +45:33.0  13680.0   2.29  1.0 
PGC041990    +12:35.8  -03:45.9  13680.6   0.019  1.0
UGC00655     +01:04.0  +41:50.5  13680.6   0.047  1.0
PGC1129667   +12:36.1  -00:59.3  13694.4   0.002  1.0
ARAK268      +10:53.5  +06:26.0  13700.0   0.046  1.0
IC3466       +12:32.0  +11:49.0  13708.3   0.016  1.0
IC1970       +03:36.5  -43:57.4  13736.1   0.305  1.0
NGC2883      +09:25.3  -34:06.2  13750.0   0.515  1.0
PGC1184482   +12:42.4  +01:05.8  13750.0   0.003  1.0
PGC101522    +14:44.2  +42:37.6  13777.8   0.009  1.0
A0103        +01:02.6  -06:29.0  13800.0   0.619  1.0
NGC2997      +09:43.3  -30:57.0  13800.0   3.076  1.0
NGC7320      +22:33.7  +33:40.0  13800.0   0.205  1.0
ESO249-021   +03:49.3  -44:13.6  13805.6   0.018  1.0
PGC126724    +12:01.7  +28:21.7  13805.6   0.009  1.0
ESO084-015   +04:22.2  -63:36.7  13819.4   0.076  1.0
NGC4802      +12:55.8  -12:03.3  13847.2   0.449  1.0
PGC1038789   +12:53.5  -05:55.7  13847.2   0.010  1.0
PGC1100776   +10:43.3  -02:08.1  13861.1   0.002  1.0
PGC723415    +03:07.4  -29:56.1  13861.1   0.002  1.0
ESO249-008   +03:37.3  -43:35.2  13875.0   0.067  1.0
PGC013635    +03:42.7  -33:55.2  13888.9   0.051  1.0
PGC033959    +11:10.9  +01:05.5  13888.9   0.027  1.0
PGC054419    +15:14.8  +56:27.3  13888.9   0.015  1.0
NGC1344      +03:26.3  -31:15.0  13900.0   0.946  1.0
NGC4420      +12:24.4  +02:46.0  13900.0   0.302  1.0
UGC12082     +22:32.0  +32:37.0  13900.0   0.090  1.0
PGC042799    +12:43.3  +03:25.2  13930.6   0.005  1.0
UGC06930     +11:57.2  +49:17.0  13944.4   0.281  1.0
PGC213911    +11:57.0  +55:35.2  13972.2   0.004  1.0
IC3371       +12:27.4  +10:52.0  14000.0   0.061  1.0
PGC103193    +04:19.1  -45:35.1  14000.0   0.011  1.0
UGC2302      +02:46.6  +01:56.0  14000.0   0.084  1.0
PGC042748    +12:42.9  +03:40.6  14041.7   0.034  1.0
PGC704620    +03:32.2  -31:29.0  14083.3   0.005  1.0
NGC3556      +11:08.7  +55:57.0  14100.0   3.162  1.0
NGC4666      +12:42.6  -00:11.0  14100.0   1.259  1.0
PGC130771    +22:18.8  -46:13.0  14125.0   0.018  1.0
PGC135765    +10:46.6  +01:46.4  14138.9   0.004  1.0
ESO250-005   +04:04.6  -46:02.5  14166.7   0.065  1.0
NGC1495      +03:58.3  -44:28.0  14194.4   0.413  1.0
PGC087128    +14:33.3  +26:59.9  14194.4   0.022  1.0
UGC06756     +11:47.0  +57:05.5  14194.4   0.041  1.0
NGC1879      +05:17.9  -32:12.0  14200.0   0.200  1.0
NGC4632      +12:40.0  +00:11.0  14200.0   0.497  1.0
NGC7013      +21:01.4  +29:42.0  14200.0   1.038  1.0
NGC7363      +22:41.0  +33:44.0  14200.0   0.079  1.0
UGC2080      +02:33.3  +38:45.0  14200.0   0.649  1.0
UGC8041      +12:52.6  +00:23.0  14200.0   0.377  1.0
UGC8146      +13:00.0  +58:58.0  14200.0   0.164  1.0
UGCA212      +10:33.0  -24:30.0  14200.0   0.201  1.0
PGC1218144   +11:57.5  +02:10.0  14208.3   0.009  1.0
NGC4341      +12:23.9  +07:06.4  14250.0   0.074  1.0
UGC06083     +11:00.4  +16:41.5  14250.0   0.139  1.0
ESO358-019   +03:34.5  -34:17.8  14263.9   0.026  1.0
IC3436       +12:30.5  +19:40.4  14277.8   0.022  1.0
NGC1511A     +04:00.3  -67:48.4  14291.7   0.134  1.0
NGC1559      +04:17.0  -62:54.0  14300.0   1.754  1.0
NGC6300      +17:12.3  -62:46.0  14300.0   2.109  1.0
PGC038113    +12:03.6  +16:03.3  14319.4   0.077  1.0
M100         +12:22.5  +15:49.2  14320.0   3.53  1.0 
ESO434-027   +09:44.0  -32:09.9  14333.3   0.042  1.0
PGC135798    +12:16.6  -01:27.0  14333.3   0.006  1.0
ESO059-012   +07:38.5  -68:46.2  14361.1   0.265  1.0
PGC101538    +16:16.4  +47:02.0  14361.1   0.005  1.0
UGC07366     +12:19.4  +17:13.8  14361.1   0.024  1.0
PGC2428941   +11:11.0  +52:59.3  14388.9   0.007  1.0
UGC08578     +13:35.6  +29:13.0  14388.9   0.016  1.0
NGC1012      +02:36.3  +29:56.0  14400.0   0.425  1.0
NGC1068      +02:40.1  -00:14.0  14400.0   5.598  1.0
UGC3203      +04:52.8  +68:14.0  14400.0   0.511  1.0
ESO360-008   +04:21.7  -33:50.8  14430.6   0.007  1.0
ESO572-034   +11:58.9  -19:01.7  14430.6   0.136  1.0
NGC4516      +12:33.1  +14:34.5  14430.6   0.180  1.0
NGC4733      +12:51.1  +10:54.7  14430.6   0.308  1.0
PGC041137    +12:29.2  +08:48.8  14444.4   0.011  1.0
NGC4536      +12:34.2  +02:11.1  14450.0   1.84  1.0 
NGC1390      +03:37.9  -19:00.5  14458.3   0.067  1.0
PGC729204    +02:17.8  -29:27.0  14458.3   0.001  1.0
PGC042666    +12:42.3  +05:44.3  14472.2   0.031  1.0
NGC1097      +02:44.3  -30:29.0  14500.0   3.221  1.0
NGC1672      +04:44.9  -59:20.0  14500.0   1.343  1.0
UGC11000     +17:47.7  +36:09.0  14500.0   0.098  1.0
UGC7685      +12:29.9  +00:38.0  14500.0   0.337  1.0
PGC032687    +10:53.3  +02:37.6  14513.9   0.021  1.0
PGC1020521   +02:41.5  -07:20.8  14513.9   0.004  1.0
NGC4496A     +12:31.3  +03:56.2  14520.0   0.61  1.0 
NGC7331      +22:37.0  +34:25.1  14520.0   5.75  1.0 
ESO361-011   +04:48.2  -35:05.8  14555.6   0.009  1.0
ESO416-032   +02:49.6  -30:34.7  14555.6   0.067  1.0
PGC037102    +11:51.5  -02:22.3  14555.6   0.008  1.0
PGC128602    +02:31.9  -54:33.1  14583.3   0.020  1.0
PGC037045    +11:50.8  +48:15.1  14597.2   0.005  1.0
NGC1339      +03:26.1  -32:28.0  14600.0   0.302  1.0
NGC4061      +12:01.5  +20:30.0  14600.0   0.069  1.0
UGC7354      +12:16.6  +04:08.0  14600.0   0.063  1.0
UGC7612      +12:26.5  +03:00.0  14600.0   0.083  1.0
ESO289-037   +22:33.3  -44:33.0  14611.1   0.034  1.0
UGC05974     +10:51.5  +04:35.0  14680.6   0.067  1.0
NGC7456      +22:59.4  -39:51.0  14700.0   0.929  1.0
UGC9211      +14:20.6  +45:36.0  14700.0   0.070  1.0
PGC054577    +15:17.4  +56:39.8  14708.3   0.064  1.0
UGC06850     +11:52.6  -02:28.1  14708.3   0.060  1.0
ESO422-033   +05:06.8  -27:39.5  14722.2   0.137  1.0
ESO548-065   +03:40.0  -19:22.0  14722.2   0.061  1.0
IC3322A      +12:25.7  +07:13.0  14722.2   0.308  1.0
PGC087509    +02:51.9  -53:30.1  14722.2   0.014  1.0
PGC135768    +10:53.0  +02:29.6  14722.2   0.010  1.0
ESO358-006   +03:27.3  -34:31.6  14736.1   0.080  1.0
NGC5058      +13:16.9  +12:32.9  14736.1   0.084  1.0
PGC013684    +03:43.6  -16:00.8  14736.1   0.128  1.0
PGC1154903   +02:42.0  +00:00.8  14736.1   0.004  1.0
PGC135629    +01:12.8  +01:02.8  14736.1   0.015  1.0
UGC05791     +10:39.4  +47:56.8  14736.1   0.050  1.0
UGC06628     +11:40.1  +45:56.5  14736.1   0.191  1.0
IC3742       +12:45.5  +13:19.9  14777.8   0.157  1.0
NGC4488      +12:30.8  +08:21.6  14777.8   0.254  1.0
PGC038153    +12:04.1  +28:58.7  14777.8   0.016  1.0
NGC4535      +12:34.2  +08:11.5  14790.0   2.42  1.0 
ESO085-014   +04:54.7  -62:48.0  14791.7   0.497  1.0
ESO120-012   +05:40.0  -58:35.1  14791.7   0.288  1.0
ESO502-024   +11:12.6  -23:27.7  14791.7   0.035  1.0
NGC3059      +09:49.7  -73:41.0  14800.0   1.236  1.0
NGC5963      +15:32.3  +56:45.0  14800.0   0.492  1.0
ESO063-012   +11:15.1  -68:10.4  14805.6   0.114  1.0
PGC030715    +10:27.0  +56:16.2  14805.6   0.011  1.0
ESO358-050   +03:41.0  -33:46.7  14819.4   0.101  1.0
PGC093120    +12:59.0  +34:50.8  14819.4   0.056  1.0
PGC2381991   +10:31.1  +50:47.2  14847.2   0.007  1.0
IC2782       +11:22.9  +13:26.4  14861.1   0.046  1.0
PGC026462    +09:21.1  +70:41.9  14861.1   0.034  1.0
PGC050212    +14:04.9  +35:36.5  14861.1   0.015  1.0
NGC2397      +07:21.5  -68:54.0  14900.0   0.724  1.0
NGC3175      +10:12.5  -28:37.0  14900.0   1.028  1.0
NGC428       +01:10.4  +00:43.0  14900.0   0.705  1.0
NGC5907      +15:14.6  +56:31.0  14900.0   2.582  1.0
