# This is the Macho population whereby we have adjusted the elliptical galaxies 
# luminosity by a factor of 10;
# Sources cataloged by Ravi Kumar
# file generated by Chad Hanna March 23 2006
#NAME			#RA		#DEC		#DIST		#LUM	#FUDGE 	
UGC7577          	 +12:25.20 	 +43:46.00 	 3000.00 	 0.011 	 1.00 
NGC4244          	 +12:15.00 	 +38:5.00 	 3100.00 	 0.171 	 1.00 
UGC6817          	 +11:48.20 	 +39:9.00 	 3100.00 	 0.008 	 1.00 
NGC2403          	 +7:36.50 	 +65:36.00 	 3130.00 	 0.670 	 1.00 
UGC4115          	 +7:54.20 	 +14:31.00 	 3200.00 	 0.004 	 1.00 
NGC5253          	 +12:39.50 	 -31:38.40 	 3250.00 	 0.120 	 1.00 
NGC2915          	 +9:26.50 	 -76:25.00 	 3300.00 	 0.020 	 1.00 
UGC8760          	 +13:48.70 	 +38:16.00 	 3300.00 	 0.005 	 1.00 
UGC8651          	 +13:37.80 	 +41:0.00 	 3400.00 	 0.005 	 1.00 
NGC4214          	 +12:13.10 	 +36:36.00 	 3500.00 	 0.166 	 1.00 
NGC5102          	 +13:19.10 	 -36:22.00 	 3500.00 	 1.690 	 1.00 
UGC7599          	 +12:26.00 	 +37:30.00 	 3500.00 	 0.002 	 1.00 
M81              	 +9:55.30 	 +69:4.00 	 3550.00 	 2.170 	 1.00 
NGC4395          	 +12:23.40 	 +33:49.00 	 3600.00 	 0.112 	 1.00 
UGC8320          	 +13:12.20 	 +46:11.00 	 3600.00 	 0.024 	 1.00 
NGC1313          	 +3:17.70 	 -66:41.00 	 3700.00 	 0.429 	 1.00 
UGC7605          	 +12:26.20 	 +36:0.00 	 3700.00 	 0.003 	 1.00 
UGC9240          	 +14:22.80 	 +44:44.00 	 3700.00 	 0.010 	 1.00 
NGC4068          	 +12:1.50 	 +52:52.00 	 3800.00 	 0.021 	 1.00 
UGC7321          	 +12:15.00 	 +22:49.00 	 3800.00 	 0.013 	 1.00 
UGC7698          	 +12:30.40 	 +31:49.00 	 3800.00 	 0.014 	 1.00 
NGC625           	 +1:32.90 	 -41:40.00 	 3900.00 	 0.054 	 1.00 
UGC2847          	 +3:42.00 	 +67:56.00 	 3900.00 	 6.546 	 1.00 
UGC8837          	 +13:52.90 	 +54:9.00 	 3900.00 	 0.013 	 1.00 
NGC4605          	 +12:37.80 	 +61:53.00 	 4000.00 	 0.143 	 1.00 
UGC6541          	 +11:30.80 	 +49:31.00 	 4000.00 	 0.009 	 1.00 
UGC8024          	 +12:51.60 	 +27:25.00 	 4000.00 	 0.007 	 1.00 
NGC4144          	 +12:7.50 	 +46:44.00 	 4100.00 	 0.087 	 1.00 
NGC4826          	 +12:54.30 	 +21:57.00 	 4100.00 	 0.711 	 1.00 
NGC5264          	 +13:38.80 	 -29:40.00 	 4200.00 	 0.029 	 1.00 
T-1834           	 +14:9.30 	 -65:6.00 	 4200.00 	 4.831 	 1.00 
NGC3738          	 +11:33.00 	 +54:47.00 	 4300.00 	 0.043 	 1.00 
NGC4736          	 +12:48.60 	 +41:23.00 	 4300.00 	 0.871 	 1.00 
UGC5139          	 +9:36.00 	 +71:25.00 	 4400.00 	 0.019 	 1.00 
IC1574           	 +0:40.70 	 -22:31.00 	 4500.00 	 0.008 	 1.00 
UGC4305          	 +8:14.10 	 +70:52.00 	 4500.00 	 0.134 	 1.00 
UGC7866          	 +12:39.70 	 +38:46.00 	 4500.00 	 0.017 	 1.00 
UGCA105          	 +5:9.60 	 +62:31.00 	 4500.00 	 0.065 	 1.00 
IC4182           	 +13:5.40 	 +37:36.20 	 4530.00 	 0.060 	 1.00 
UGC1281          	 +1:46.70 	 +32:20.00 	 4600.00 	 0.061 	 1.00 
UGC8331          	 +13:13.30 	 +47:46.00 	 4600.00 	 0.008 	 1.00 
NGC5236          	 +13:34.20 	 -29:37.00 	 4700.00 	 2.070 	 1.00 
NGC784           	 +1:58.40 	 +28:35.00 	 4700.00 	 0.095 	 1.00 
UGCA281          	 +12:23.80 	 +48:46.00 	 4700.00 	 0.005 	 1.00 
NGC5204          	 +13:27.70 	 +58:40.00 	 4800.00 	 0.081 	 1.00 
NGC5128          	 +13:22.40 	 -42:45.00 	 4900.00 	 3.802 	 1.00 
NGC5238          	 +13:32.70 	 +51:52.00 	 4900.00 	 0.018 	 1.00 
NGC1400          	 +3:37.30 	 -18:51.00 	 5000.00 	 0.650 	 1.00 
UGC5889          	 +10:44.70 	 +14:20.00 	 5100.00 	 0.009 	 1.00 
NGC3034          	 +9:51.70 	 +69:55.00 	 5200.00 	 0.912 	 1.00 
NGC4945          	 +13:2.50 	 -49:12.00 	 5200.00 	 2.831 	 1.00 
A0255            	 +2:55.40 	 -54:46.00 	 5400.00 	 0.177 	 1.00 
