#This list contains the morphological galaxy types necessary to build the Macho population
#Cataloged by Ravi Kumar 
#File generated by Chad Hanna March 23 2006 
#NAME			#RA		#DEC		#DIST		#LUM	#FUDGE 	#TYPE
NGC625           	 +1:32.90 	 -41:40.00 	 3900.00 	 0.054 	 1.00 SBm
UGC2847          	 +3:42.00 	 +67:56.00 	 3900.00 	 6.546 	 1.00 SABc
UGC8837          	 +13:52.90 	 +54:9.00 	 3900.00 	 0.013 	 1.00 IrrB
NGC4605          	 +12:37.80 	 +61:53.00 	 4000.00 	 0.143 	 1.00 SBc
UGC6541          	 +11:30.80 	 +49:31.00 	 4000.00 	 0.009 	 1.00 Irr(T)
UGC8024          	 +12:51.60 	 +27:25.00 	 4000.00 	 0.007 	 1.00 Irr
NGC4144          	 +12:7.50 	 +46:44.00 	 4100.00 	 0.087 	 1.00 SABc
NGC4826          	 +12:54.30 	 +21:57.00 	 4100.00 	 0.711 	 1.00 Sab
NGC5264          	 +13:38.80 	 -29:40.00 	 4200.00 	 0.029 	 1.00 SBm
T-1834           	 +14:9.30 	 -65:6.00 	 4200.00 	 4.831 	 1.00 Sb(T)
NGC3738          	 +11:33.00 	 +54:47.00 	 4300.00 	 0.043 	 1.00 Irr
NGC4736          	 +12:48.60 	 +41:23.00 	 4300.00 	 0.871 	 1.00 Sab
UGC5139          	 +9:36.00 	 +71:25.00 	 4400.00 	 0.019 	 1.00 IrrAB
IC1574           	 +0:40.70 	 -22:31.00 	 4500.00 	 0.008 	 1.00 IrrB
UGC4305          	 +8:14.10 	 +70:52.00 	 4500.00 	 0.134 	 1.00 Irr
UGC7866          	 +12:39.70 	 +38:46.00 	 4500.00 	 0.017 	 1.00 IrrAB
UGCA105          	 +5:9.60 	 +62:31.00 	 4500.00 	 0.065 	 1.00 Irr(T)
IC4182           	 +13:5.40 	 +37:36.20 	 4530.00 	 0.060 	 1.00 Sm
UGC1281          	 +1:46.70 	 +32:20.00 	 4600.00 	 0.061 	 1.00 Sd
UGC8331          	 +13:13.30 	 +47:46.00 	 4600.00 	 0.008 	 1.00 Irr
NGC5236          	 +13:34.20 	 -29:37.00 	 4700.00 	 2.070 	 1.00 Sc
NGC784           	 +1:58.40 	 +28:35.00 	 4700.00 	 0.095 	 1.00 SBd
UGCA281          	 +12:23.80 	 +48:46.00 	 4700.00 	 0.005 	 1.00 P(T)
NGC5204          	 +13:27.70 	 +58:40.00 	 4800.00 	 0.081 	 1.00 Sm
NGC5128          	 +13:22.40 	 -42:45.00 	 4900.00 	 3.802 	 1.00 S0
NGC5238          	 +13:32.70 	 +51:52.00 	 4900.00 	 0.018 	 1.00 SABd
NGC1400          	 +3:37.30 	 -18:51.00 	 5000.00 	 0.650 	 1.00 E-S0
UGC5889          	 +10:44.70 	 +14:20.00 	 5100.00 	 0.009 	 1.00 SABm
NGC3034          	 +9:51.70 	 +69:55.00 	 5200.00 	 0.912 	 1.00 S?
NGC4945          	 +13:2.50 	 -49:12.00 	 5200.00 	 2.831 	 1.00 SBc
A0255            	 +2:55.40 	 -54:46.00 	 5400.00 	 0.177 	 1.00 SBd
NGC3299          	 +10:33.80 	 +12:57.00 	 5400.00 	 0.024 	 1.00 SABd
NGC3593          	 +11:12.00 	 +13:5.00 	 5500.00 	 0.099 	 1.00 S0-a
NGC6946          	 +20:33.80 	 +59:59.00 	 5500.00 	 3.192 	 1.00 SABc
NGC2683          	 +8:49.60 	 +33:38.00 	 5700.00 	 0.597 	 1.00 Sb
UGC7639          	 +12:27.50 	 +47:48.00 	 5800.00 	 0.021 	 1.00 IrrAB
NGC3274          	 +10:29.50 	 +27:55.00 	 5900.00 	 0.038 	 1.00 Scd
NGC45            	 +0:11.40 	 -23:27.00 	 5900.00 	 0.209 	 1.00 SABd
UGC5340          	 +9:53.80 	 +29:4.00 	 5900.00 	 0.009 	 1.00 IrrB
UGC6900          	 +11:53.00 	 +31:49.00 	 5900.00 	 0.008 	 1.00 Irr
NGC1705          	 +4:53.10 	 -53:27.00 	 6000.00 	 0.480 	 1.00 E-S0
NGC5023          	 +13:10.00 	 +44:18.00 	 6000.00 	 0.128 	 1.00 Sc
NGC5474          	 +14:3.30 	 +53:54.00 	 6000.00 	 0.167 	 1.00 Sc
NGC3344          	 +10:40.80 	 +25:11.00 	 6100.00 	 0.380 	 1.00 Sbc
NGC6503          	 +17:49.90 	 +70:10.00 	 6100.00 	 0.445 	 1.00 Sc
NGC4455          	 +12:26.20 	 +23:6.00 	 6200.00 	 0.059 	 1.00 Sd
UGC7699          	 +12:30.40 	 +37:54.00 	 6200.00 	 0.079 	 1.00 SBc
NGC2903          	 +9:29.40 	 +21:44.00 	 6300.00 	 1.355 	 1.00 SABb
NGC1156          	 +2:56.80 	 +25:2.00 	 6400.00 	 0.150 	 1.00 IrrB
NGC3489          	 +10:57.70 	 +14:10.00 	 6400.00 	 0.229 	 1.00 SO
NGC4941          	 +13:1.60 	 -5:17.00 	 6400.00 	 0.131 	 1.00 Sab
NGC5229          	 +13:32.00 	 +48:10.00 	 6400.00 	 0.033 	 1.00 SBcd
NGC5477          	 +14:3.80 	 +54:42.00 	 6400.00 	 0.012 	 1.00 Sm
UGC1249          	 +1:44.70 	 +27:5.00 	 6400.00 	 0.172 	 1.00 SBm
UGC5272          	 +9:47.40 	 +31:43.00 	 6500.00 	 0.017 	 1.00 IrrB
NGC3621          	 +11:18.10 	 -32:48.40 	 6550.00 	 1.030 	 1.00 SBcd
IC5052           	 +20:47.40 	 -69:24.00 	 6700.00 	 0.189 	 1.00 SBcd
M101             	 +14:3.10 	 +54:20.50 	 6700.00 	 3.470 	 1.00 SABc
NGC3115          	 +10:2.70 	 -7:29.00 	 6700.00 	 7.310 	 1.00 E-SO
NGC5068          	 +13:16.30 	 -20:47.00 	 6700.00 	 0.581 	 1.00 Sc
UGC7408          	 +12:18.80 	 +46:6.00 	 6700.00 	 0.034 	 1.00 Sm
NGC24            	 +0:7.40 	 -25:15.00 	 6800.00 	 0.200 	 1.00 Sc
